sep=,
numOfChanges,GED,LCS,BehavioralProfile
0,1.0,0.4989018088998255,0.9952431289640592
1,0.946058091286307,0.4583285868693777,0.9952431289640592
2,0.9421487603305785,0.46718734236019577,0.9899577167019028
3,0.9377593360995851,0.4552621549154768,0.992600422832981
4,0.9333333333333333,0.44712340375350335,0.9916943521594684
5,0.9288702928870293,0.46082027834587874,0.9634551495016611
6,0.9243697478991597,0.45949844981897137,0.9678848283499446
7,0.9205020920502092,0.45500015220514517,0.8931339977851606
8,0.9067796610169492,0.458783521351029,0.89198606271777
9,0.8907563025210083,0.4452616403912165,0.8885017421602788
10,0.8870292887029289,0.44980007000336986,0.8925667828106852
11,0.8666666666666667,0.41899519804279184,0.8931475029036005
12,0.8630705394190872,0.4296259323109348,0.8867595818815331
13,0.859504132231405,0.4281698750128644,0.8902439024390244
14,0.8630705394190872,0.42378663221236623,0.8635307781649245
15,0.859504132231405,0.42453778135855824,0.8612078977932637
16,0.8547717842323651,0.4171253771937571,0.8588850174216028
17,0.8487394957983193,0.4088129654166618,0.8609756097560975
18,0.8461538461538461,0.42275515069412145,0.8564102564102564
19,0.8425531914893617,0.4132170661790111,0.8544871794871794
20,0.8354430379746836,0.41103313350922366,0.8557692307692307
