sep=,
model,GED,CNE,Jaccard,W-GED,LCS,GED-T,CNE-T,Jaccard-T,W-GED-T,LCS-T
Process101,0.9217391304347826,0.9217391304347826,0.9266304347826088,0.9846822222222222,0.69,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.73
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.725,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.7050000000000001
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.74,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.71
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7500000000000001,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.75
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.7050000000000001,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.665
Process101,0.8771929824561404,0.8771929824561403,0.9343529411764706,0.9875227272727273,0.77,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.6799999999999999
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7200000000000001,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.755
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.72,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.6950000000000001
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479,0.9888844444444445,0.7050000000000001,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.655
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.715,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.7150000000000001
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.735,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.74
Process101,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.625,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.56
Process101,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.675,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.655
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.66,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.7450000000000001
Process101,1.0,1.0,1.0,1.0,0.7450000000000001,1.0,1.0,1.0,1.0,0.69
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.7049999999999998,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.655
Process101,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.705,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.6699999999999999
Process101,0.9391304347826087,0.9391304347826087,0.932463768115942,0.98658,0.73,0.9391304347826087,0.9391304347826087,0.932463768115942,0.98658,0.6699999999999999
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.6799999999999999,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.715
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.745,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.77
Process101,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.991346511627907,0.7350000000000001,1.0,1.0,1.0,1.0,0.7150000000000001
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.6849999999999998,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.6699999999999999
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.605,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.655
Process101,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.7449999999999999,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.685
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.74,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.7449999999999999
Process101,0.9739130434782609,0.9739130434782609,0.9585507246376812,0.9898333333333333,0.635,0.9739130434782609,0.9739130434782609,0.9585507246376812,0.9898333333333333,0.78
Process101,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.77,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.79
Process101,0.9739130434782609,0.9739130434782609,0.9515810276679841,0.9901044444444445,0.685,0.9739130434782609,0.9739130434782609,0.9515810276679841,0.9901044444444445,0.74
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.74,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.6399999999999999
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.73,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.6950000000000001
Process101,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.6950000000000001,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.8
Process101,0.8596491228070176,0.8596491228070176,0.9297777777777778,0.9855818181818182,0.7249999999999999,0.8596491228070176,0.8596491228070176,0.9297777777777778,0.9855818181818182,0.695
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.66,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.725
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.735,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.7449999999999999
Process101,0.8947368421052632,0.8947368421052632,0.9356410256410257,0.9897409090909091,0.665,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.7249999999999999
Process101,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.6950000000000001,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.75
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.68,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.73
Process101,1.0,1.0,1.0,1.0,0.74,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.69
