model,GED,CNE,Jaccard
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.907563025210084,0.907563025210084,0.8971014492753624
Process101,0.8524590163934427,0.8524590163934426,0.8455000000000001
Process101,0.8,0.8,0.7996503496503496
Process101,0.75,0.75,0.7585328863346106
Process101,0.732824427480916,0.732824427480916,0.7315714285714287
Process101,0.7164179104477613,0.7164179104477612,0.7064623085479593
Process101,0.7007299270072993,0.7007299270072993,0.6830208333333333
Process101,0.6762589928057554,0.6762589928057554,0.6549968374446553
Process101,0.6338028169014085,0.6338028169014085,0.6262931034482759
Process101,0.6206896551724138,0.6206896551724138,0.6074774774774775
Process101,0.6081081081081081,0.6081081081081081,0.5897608109457706
Process101,0.5960264900662251,0.5960264900662252,0.5730494505494506
Process101,0.5751633986928104,0.5751633986928104,0.5568753142282554
Process101,0.5548387096774193,0.5548387096774193,0.5371893055178565
Process101,0.5443037974683544,0.5443037974683544,0.5231578947368422
Process101,0.5093167701863355,0.5093167701863354,0.5037083412083413
Process101,0.5,0.5,0.4912280701754387
Process101,0.49397590361445787,0.4939759036144578,0.47955433387285823
Process101,0.485207100591716,0.48520710059171596,0.4682292884420544
Process101,0.4767441860465116,0.47674418604651164,0.4574273255813954
Process101,0.4685714285714285,0.4685714285714286,0.44711299153807865
Process101,0.4606741573033708,0.4606741573033708,0.4372539682539683
Process101,0.4444444444444444,0.4444444444444444,0.4243669374104157
Process101,0.43956043956043955,0.43956043956043955,0.4155732064001836
Process101,0.43243243243243246,0.43243243243243246,0.40697674418604657
Process101,0.42553191489361697,0.425531914893617,0.39872912801484234
Process101,0.418848167539267,0.418848167539267,0.39080952380952383
Process101,0.41237113402061853,0.41237113402061853,0.38319872571454217
Process101,0.40609137055837563,0.40609137055837563,0.37587899994356344
Process101,0.4,0.4,0.3688339462743844
Process101,0.39603960396039606,0.39603960396039606,0.36255684948178896
Process101,0.37073170731707317,0.37073170731707317,0.35195114111218256
Process101,0.3653846153846154,0.36538461538461536,0.3457063098192131
Process101,0.36190476190476195,0.3619047619047619,0.34010181418244334
Process101,0.34905660377358494,0.3490566037735849,0.3316027569941445
Process101,0.32558139534883723,0.32558139534883723,0.32239599383667183
Process101,0.3211009174311926,0.3211009174311927,0.3170540156361052
Process101,0.31818181818181823,0.3181818181818182,0.3119489599118336
Process101,0.2959641255605381,0.29596412556053814,0.30360003178134437
Process101,0.2920353982300885,0.2920353982300885,0.2988088606971395
Process101,0.28820960698689957,0.28820960698689957,0.2941666666666667
Process101,0.26724137931034486,0.2672413793103448,0.28657132318422646
Process101,0.2638297872340426,0.26382978723404255,0.28225396825396826
Process101,0.26050420168067223,0.2605042016806723,0.27806485663786334
Process101,0.2572614107883817,0.2572614107883817,0.2739983545865899
Process101,0.25409836065573765,0.2540983606557377,0.270049153744806
Process101,0.23481781376518218,0.23481781376518218,0.2634138655462185
Process101,0.23199999999999998,0.232,0.25972307273593254
Process101,0.22924901185770752,0.22924901185770752,0.25613433991482776
Process101,0.22745098039215683,0.22745098039215686,0.25265354961922054
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.2178988326848249,0.2178988326848249,0.24737565296388828
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22568093385214005,0.22568093385214008,0.24938543668392643
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22568093385214005,0.22568093385214008,0.24926640926640928
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
Process101,0.22568093385214005,0.22568093385214008,0.24938543668392643
Process101,0.22480620155038755,0.2248062015503876,0.24925634890423623
