sep=,
model,GED,CNE,Jaccard
Process101,0.9854545454545455,0.9122807017543859,0.9500000000000001
Process101,0.9763636363636363,0.8596491228070176,0.9297777777777778
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9984090909090909,0.9911504424778761,0.9964285714285714
Process101,0.9751111111111112,0.9739130434782609,0.9515810276679841
Process101,0.9767441860465116,0.9911504424778761,0.9636363636363636
Process101,0.9731111111111111,0.9655172413793104,0.9558423913043479
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9986363636363637,0.9911504424778761,0.9928571428571429
Process101,0.9688888888888889,0.9391304347826087,0.9390810276679842
Process101,1.0,1.0,1.0
Process101,0.9751111111111112,0.9739130434782609,0.9515810276679841
Process101,0.9737777777777777,0.9655172413793104,0.9456521739130435
Process101,0.9724444444444444,0.9565217391304348,0.9391304347826087
Process101,0.9854545454545455,0.9122807017543859,0.9500000000000001
Process101,0.9984090909090909,0.991304347826087,1.0
Process101,0.9731111111111111,0.9655172413793104,0.9558423913043479
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9881818181818182,0.9298245614035088,0.961413043478261
Process101,0.9970454545454546,0.991304347826087,1.0
Process101,0.9739534883720931,0.972972972972973,0.9493506493506494
Process101,0.9666666666666667,0.9217391304347826,0.9210507246376811
Process101,0.9724444444444444,0.9565217391304348,0.9391304347826087
Process101,0.9881818181818182,0.9298245614035088,0.961413043478261
Process101,0.9751111111111112,0.9739130434782609,0.9515810276679841
Process101,0.9723255813953489,0.9636363636363636,0.9457792207792208
Process101,0.9713636363636363,0.8245614035087719,0.9073529411764707
Process101,0.985,0.9122807017543859,0.9562659846547314
Process101,0.9986363636363637,0.9911504424778761,0.9928571428571429
Process101,0.9984090909090909,0.991304347826087,1.0
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9635555555555555,0.9043478260869565,0.9152173913043479
Process101,0.46072463768115945,0.29411764705882354,0.2911764705882353
Process101,0.46072463768115945,0.29411764705882354,0.2911764705882353
Process101,0.45971014492753626,0.291970802919708,0.2911764705882353
Process101,0.4589855072463769,0.27941176470588236,0.28663865546218487
Process101,0.46072463768115945,0.29411764705882354,0.2911764705882353
Process101,0.43808823529411767,0.2814814814814815,0.27549019607843145
Process101,0.45971014492753626,0.291970802919708,0.2911764705882353
Process101,0.46173913043478265,0.2962962962962963,0.2911764705882353
Process101,0.4541428571428572,0.291970802919708,0.28574660633484167
Process101,0.4522857142857143,0.28776978417266186,0.2854945054945055
Process101,0.4694117647058824,0.3007518796992481,0.2970909090909091
Process101,0.4615942028985508,0.2962962962962963,0.2914438502673797
Process101,0.4615942028985508,0.2962962962962963,0.2914438502673797
Process101,0.4515714285714285,0.2753623188405797,0.2810897435897436
Process101,0.4541428571428572,0.291970802919708,0.28574660633484167
Process101,0.47044117647058825,0.30303030303030304,0.2970909090909091
Process101,0.4541428571428572,0.291970802919708,0.28574660633484167
Process101,0.4615942028985508,0.2962962962962963,0.2914438502673797
Process101,0.4522857142857143,0.28776978417266186,0.2854945054945055
Process101,0.4626086956521739,0.2962962962962963,0.2911764705882353
Process101,0.45971014492753626,0.291970802919708,0.2911764705882353
Process101,0.4531428571428572,0.2898550724637681,0.28574660633484167
Process101,0.4541428571428572,0.291970802919708,0.28574660633484167
Process101,0.46072463768115945,0.29411764705882354,0.2911764705882353
Process101,0.4694117647058824,0.3007518796992481,0.2970909090909091
Process101,0.4541428571428572,0.291970802919708,0.28574660633484167
Process101,0.4541428571428572,0.291970802919708,0.28574660633484167
Process101,0.4598550724637682,0.2814814814814815,0.2867647058823529
Process101,0.46173913043478265,0.2962962962962963,0.2911764705882353
Process101,0.4644927536231883,0.3235294117647059,0.29791238173591117
Process101,0.4598550724637682,0.2814814814814815,0.2867647058823529
Process101,0.46072463768115945,0.29411764705882354,0.2911764705882353
Process101,0.4531428571428572,0.2898550724637681,0.28574660633484167
Process101,0.47044117647058825,0.30303030303030304,0.2970909090909091
Process101,0.9713636363636363,0.8245614035087719,0.9073529411764707
Process101,0.972,0.9565217391304348,0.9449143610013175
Process101,0.9795454545454545,0.8771929824561403,0.9343529411764706
Process101,0.9804545454545455,0.8771929824561403,0.9266666666666667
Process101,0.9723255813953489,0.9636363636363636,0.9457792207792208
Process101,0.9704545454545455,0.8245614035087719,0.9159919028340081
Process101,1.0,1.0,1.0
Process101,0.9763636363636363,0.8596491228070176,0.9297777777777778
Process101,0.9691111111111111,0.9401709401709402,0.9362771739130435
Process101,0.9739534883720931,0.972972972972973,0.9493506493506494
Process101,0.9790909090909091,0.8771929824561403,0.9402777777777778
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9970454545454546,0.991304347826087,1.0
Process101,0.9970454545454546,0.991304347826087,1.0
Process101,0.9854545454545455,0.9122807017543859,0.9500000000000001
Process101,0.9984090909090909,0.9911504424778761,0.9964285714285714
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9984090909090909,0.9911504424778761,0.9964285714285714
Process101,0.9777777777777777,0.991304347826087,0.9652173913043478
Process101,0.9724444444444444,0.9565217391304348,0.9391304347826087
Process101,0.9970454545454546,0.991304347826087,1.0
Process101,0.9667441860465116,0.9245283018867925,0.9172077922077922
Process101,0.9737209302325581,0.972972972972973,0.952922077922078
Process101,0.9723255813953489,0.9636363636363636,0.9457792207792208
Process101,0.9854545454545455,0.9122807017543859,0.9500000000000001
Process101,1.0,1.0,1.0
