model,Jac
Process101,0.9708695652173913
Process101,0.9479150197628459
Process101,0.9604347826086957
Process101,0.9499184782608696
Process101,0.9972727272727273
Process101,0.9616883116883117
Process101,0.9708695652173913
Process101,0.9971428571428572
Process101,0.9654150197628459
Process101,1.0
Process101,0.9971428571428572
Process101,0.9616883116883117
Process101,0.9348695652173914
Process101,0.9577445652173914
Process101,0.9971428571428572
Process101,0.9950000000000001
Process101,0.9950000000000001
Process101,0.9499184782608696
Process101,0.9950000000000001
Process101,0.9499184782608696
Process101,0.9708695652173913
Process101,0.9972727272727273
Process101,0.9499184782608696
Process101,0.9953333333333334
Process101,0.9972727272727273
Process101,0.9645454545454546
Process101,0.9560816864295126
Process101,0.9708695652173913
Process101,0.9499184782608696
Process101,0.9708695652173913
Process101,0.9953333333333334
Process101,0.9311636828644502
Process101,0.9971428571428572
Process101,0.9616883116883117
Process101,0.9708695652173913
Process101,0.9499184782608696
Process101,0.9499184782608696
Process101,0.93
Process101,0.9616883116883117
Process101,0.9429347826086957
Process101,1.0
Process101,0.9616883116883117
Process101,0.9538311688311688
Process101,0.9499184782608696
Process101,0.9695454545454545
Process101,0.9971428571428572
Process101,0.8700000000000001
Process101,0.9311636828644502
Process101,0.9950000000000001
Process101,0.9708695652173913
Process101,0.4306583321289204
Process101,0.41344594594594597
Process101,0.43111287758346584
Process101,0.43087223587223594
Process101,0.4306583321289204
Process101,0.42160427807486633
Process101,0.4306583321289204
Process101,0.42160427807486633
Process101,0.42160427807486633
Process101,0.43087223587223594
Process101,0.43087223587223594
Process101,0.4304566514566515
Process101,0.4158333333333334
Process101,0.4158333333333334
Process101,0.43111287758346584
Process101,0.43087223587223594
Process101,0.42160427807486633
Process101,0.42140259740259745
Process101,0.42140259740259745
Process101,0.42160427807486633
Process101,0.42160427807486633
Process101,0.41255022402081226
Process101,0.4408838383838384
Process101,0.4209875776397516
Process101,0.42160427807486633
Process101,0.42160427807486633
Process101,0.43087223587223594
Process101,0.3606583321289204
Process101,0.4306583321289204
Process101,0.4408838383838384
Process101,0.4132186732186732
Process101,0.41125
Process101,0.42140259740259745
Process101,0.4158333333333334
Process101,0.44042929292929295
Process101,0.42160427807486633
Process101,0.4129914004914005
Process101,0.43111287758346584
Process101,0.4306583321289204
Process101,0.43111287758346584
Process101,0.42160427807486633
Process101,0.40760369995664114
Process101,0.42160427807486633
Process101,0.42160427807486633
Process101,0.41255022402081226
Process101,0.4209875776397516
Process101,0.42160427807486633
Process101,0.42160427807486633
Process101,0.42160427807486633
Process101,0.4304566514566515
