model,Jac, JacTrim
Process101,0.8700000000000001,0.9708695652173913
Process101,0.8700000000000001,0.9708695652173913
Process101,0.9383695652173913,0.9708695652173913
Process101,0.9499184782608696,0.9429347826086957
Process101,0.8700000000000001,0.9708695652173913
Process101,0.9616883116883117,0.9695454545454545
Process101,0.9429347826086957,0.9950000000000001
Process101,0.9479150197628459,0.9971428571428572
Process101,0.8700000000000001,0.9971428571428572
Process101,0.9654150197628459,0.9499184782608696
Process101,0.9950000000000001,0.9950000000000001
Process101,0.9708695652173913,0.9499184782608696
Process101,0.9708695652173913,0.9971428571428572
Process101,0.9708695652173913,0.9311636828644502
Process101,0.9429347826086957,0.93
Process101,0.9708695652173913,0.9950000000000001
Process101,0.9695454545454545,0.9971428571428572
Process101,0.9950000000000001,0.9708695652173913
Process101,0.9971428571428572,0.9499184782608696
Process101,0.9971428571428572,1.0
Process101,0.9499184782608696,0.9972727272727273
Process101,0.9950000000000001,0.9708695652173913
Process101,0.9499184782608696,0.9708695652173913
Process101,0.9971428571428572,0.9560816864295126
Process101,0.9311636828644502,0.9695454545454545
Process101,0.93,0.9695454545454545
Process101,0.9950000000000001,0.9971428571428572
Process101,0.9971428571428572,1.0
Process101,0.9708695652173913,0.9971428571428572
Process101,0.9499184782608696,0.9971428571428572
Process101,1.0,0.39925974025974026
Process101,0.9972727272727273,0.3783742833742834
Process101,0.9708695652173913,0.38843434343434347
Process101,0.9708695652173913,0.3777790834312574
Process101,0.9560816864295126,0.3783742833742834
Process101,0.9695454545454545,0.3888888888888889
Process101,0.9695454545454545,0.36982323232323233
Process101,0.9971428571428572,0.3783742833742834
Process101,1.0,0.3882541632541633
Process101,0.9971428571428572,0.3783742833742834
Process101,0.9971428571428572,0.38843434343434347
Process101,0.9972727272727273,0.3783742833742834
Process101,0.93,0.3783742833742834
Process101,0.9708695652173913,0.3731139835487662
Process101,0.9971428571428572,0.37819410319410324
Process101,0.9971428571428572,0.37819410319410324
Process101,0.9695454545454545,0.3880193236714976
Process101,0.9972727272727273,0.38843434343434347
Process101,0.9708695652173913,0.38843434343434347
Process101,0.9950000000000001,0.3880193236714976
Process101,0.38843434343434347,0.37795926361143756
Process101,0.3995238095238095,0.38862481962481965
Process101,0.3727323376007587,0.3995238095238095
Process101,0.38862481962481965,0.38843434343434347
Process101,0.3783742833742834,0.3852525252525253
Process101,0.38843434343434347,0.3727323376007587
Process101,0.3783742833742834,0.3783742833742834
Process101,0.37795926361143756,0.36982323232323233
Process101,0.43982323232323234,0.36823672356567094
Process101,0.3852525252525253,0.37819410319410324
Process101,0.39925974025974026,0.0
Process101,0.3783742833742834,0.0
Process101,0.38843434343434347,0.0
Process101,0.3777790834312574,0.0
Process101,0.3783742833742834,0.0
Process101,0.3888888888888889,0.0
Process101,0.36982323232323233,0.0
Process101,0.3783742833742834,0.0
Process101,0.3882541632541633,0.0
Process101,0.3783742833742834,0.0
Process101,0.38843434343434347,0.0
Process101,0.3783742833742834,0.0
Process101,0.3783742833742834,0.0
Process101,0.3731139835487662,0.0
Process101,0.37819410319410324,0.0
Process101,0.37819410319410324,0.0
Process101,0.3880193236714976,0.0
Process101,0.38843434343434347,0.0
Process101,0.38843434343434347,0.0
Process101,0.3880193236714976,0.0
Process101,0.37795926361143756,0.0
Process101,0.38862481962481965,0.0
Process101,0.3995238095238095,0.0
Process101,0.38843434343434347,0.0
Process101,0.3852525252525253,0.0
Process101,0.3727323376007587,0.0
Process101,0.3783742833742834,0.0
Process101,0.36982323232323233,0.0
Process101,0.36823672356567094,0.0
Process101,0.37819410319410324,0.0
Process101,0.3783742833742834,0.0
Process101,0.38862481962481965,0.0
Process101,0.3852525252525253,0.0
Process101,0.3777790834312574,0.0
Process101,0.38862481962481965,0.0
Process101,0.3783742833742834,0.0
Process101,0.3888888888888889,0.0
Process101,0.3783742833742834,0.0
Process101,0.3783742833742834,0.0
Process101,0.36497474747474745,0.0
