model,Jac, JacTrim
Process101,0.9401709401709402,0.991304347826087
Process101,0.9911504424778761,0.9401709401709402
Process101,0.9655172413793104,0.9911504424778761
Process101,0.9911504424778761,0.991304347826087
Process101,0.9911504424778761,0.9401709401709402
Process101,0.9655172413793104,0.972972972972973
Process101,0.991304347826087,0.9911504424778761
Process101,0.9911504424778761,0.9636363636363636
Process101,0.991304347826087,0.9217391304347826
Process101,0.9565217391304348,0.9911504424778761
Process101,0.991304347826087,0.9565217391304348
Process101,0.9401709401709402,0.991304347826087
Process101,0.9911504424778761,0.9655172413793104
Process101,0.991304347826087,0.9911504424778761
Process101,0.9401709401709402,0.9911504424778761
Process101,0.972972972972973,0.9911504424778761
Process101,0.9911504424778761,1.0
Process101,0.9636363636363636,0.9911504424778761
Process101,0.9217391304347826,0.9821428571428571
Process101,0.9911504424778761,0.972972972972973
Process101,0.9565217391304348,0.9565217391304348
Process101,0.991304347826087,0.9655172413793104
Process101,0.9655172413793104,0.9401709401709402
Process101,0.9911504424778761,0.9911504424778761
Process101,0.9911504424778761,0.9636363636363636
Process101,0.9911504424778761,0.991304347826087
Process101,1.0,0.9401709401709402
Process101,0.9911504424778761,0.972972972972973
Process101,0.9821428571428571,0.9401709401709402
Process101,0.972972972972973,0.991304347826087
Process101,0.9565217391304348,0.991304347826087
Process101,0.9655172413793104,0.3697478991596639
Process101,0.9401709401709402,0.3414634146341463
Process101,0.9911504424778761,0.360655737704918
Process101,0.9636363636363636,0.32478632478632474
Process101,0.991304347826087,0.3666666666666667
Process101,0.9401709401709402,0.3577235772357723
Process101,0.972972972972973,0.32258064516129037
Process101,0.9401709401709402,0.360655737704918
Process101,0.991304347826087,0.35
Process101,0.991304347826087,0.35
Process101,0.9391304347826087,0.360655737704918
Process101,0.9911504424778761,0.3666666666666667
Process101,0.9911504424778761,0.360655737704918
Process101,0.991304347826087,0.360655737704918
Process101,0.991304347826087,0.3577235772357723
Process101,0.9401709401709402,0.3577235772357723
Process101,0.9401709401709402,0.3666666666666667
Process101,0.9401709401709402,0.3666666666666667
Process101,0.9911504424778761,0.360655737704918
Process101,0.36363636363636365,0.3697478991596639
Process101,0.3666666666666667,0.360655737704918
Process101,0.3697478991596639,0.3697478991596639
Process101,0.3666666666666667,0.3577235772357723
Process101,0.3666666666666667,0.3666666666666667
Process101,0.360655737704918,0.33613445378151263
Process101,0.360655737704918,0.3548387096774194
Process101,0.3577235772357723,0.3666666666666667
Process101,0.35,0.3666666666666667
Process101,0.360655737704918,0.360655737704918
Process101,0.3697478991596639,0.3620689655172413
Process101,0.3414634146341463,0.0
Process101,0.360655737704918,0.0
Process101,0.32478632478632474,0.0
Process101,0.3666666666666667,0.0
Process101,0.3577235772357723,0.0
Process101,0.32258064516129037,0.0
Process101,0.360655737704918,0.0
Process101,0.35,0.0
Process101,0.35,0.0
Process101,0.360655737704918,0.0
Process101,0.3666666666666667,0.0
Process101,0.360655737704918,0.0
Process101,0.360655737704918,0.0
Process101,0.3577235772357723,0.0
Process101,0.3577235772357723,0.0
Process101,0.3666666666666667,0.0
Process101,0.3666666666666667,0.0
Process101,0.360655737704918,0.0
Process101,0.3697478991596639,0.0
Process101,0.360655737704918,0.0
Process101,0.3697478991596639,0.0
Process101,0.3577235772357723,0.0
Process101,0.3666666666666667,0.0
Process101,0.33613445378151263,0.0
Process101,0.3548387096774194,0.0
Process101,0.3666666666666667,0.0
Process101,0.3666666666666667,0.0
Process101,0.360655737704918,0.0
Process101,0.3620689655172413,0.0
Process101,0.360655737704918,0.0
Process101,0.360655737704918,0.0
Process101,0.3666666666666667,0.0
Process101,0.32258064516129037,0.0
Process101,0.360655737704918,0.0
Process101,0.3666666666666667,0.0
Process101,0.360655737704918,0.0
Process101,0.3529411764705882,0.0
Process101,0.3666666666666667,0.0
Process101,0.3697478991596639,0.0
