sep=,
model,GED,CNE,Jaccard
Process101,0.991304347826087,0.991304347826087,0.9652173913043478
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9217391304347826,0.9217391304347826,0.9266304347826088
Process101,0.972972972972973,0.972972972972973,0.952922077922078
Process101,0.8771929824561404,0.8771929824561403,0.9402777777777778
Process101,0.991304347826087,0.991304347826087,0.9652173913043478
Process101,0.991304347826087,0.991304347826087,0.9652173913043478
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.991304347826087,0.991304347826087,1.0
Process101,0.9391304347826087,0.9391304347826087,0.9390810276679842
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.8771929824561404,0.8771929824561403,0.9402777777777778
Process101,0.8695652173913043,0.8695652173913043,0.8918840579710146
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714
Process101,0.9911504424778761,0.9911504424778761,0.9636363636363636
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.991304347826087,0.991304347826087,1.0
Process101,0.991304347826087,0.991304347826087,0.9652173913043478
Process101,0.991304347826087,0.991304347826087,0.9652173913043478
Process101,1.0,1.0,1.0
Process101,0.8421052631578947,0.8421052631578947,0.9256842105263159
Process101,0.9217391304347826,0.9217391304347826,0.9210507246376811
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9298245614035088,0.9298245614035088,0.9359560276679841
Process101,0.8717948717948718,0.8717948717948718,0.8798611111111112
Process101,0.711864406779661,0.711864406779661,0.7820645161290323
Process101,0.7,0.7,0.7299163679808842
Process101,0.5901639344262295,0.5901639344262295,0.6780124223602485
Process101,0.5901639344262295,0.5901639344262295,0.6574719992944705
Process101,0.5378151260504201,0.5378151260504201,0.6180059970014993
Process101,0.55,0.55,0.6464745568392275
Process101,0.4873949579831933,0.48739495798319327,0.6298132183908047
Process101,0.47457627118644063,0.4745762711864407,0.602227011494253
Process101,0.4666666666666667,0.4666666666666667,0.6050788288288288
Process101,0.4576271186440678,0.4576271186440678,0.5977225069897484
Process101,0.4590163934426229,0.45901639344262296,0.5859040976460331
Process101,0.44628099173553715,0.4462809917355372,0.5839040976460331
Process101,0.44628099173553715,0.4462809917355372,0.5663288288288288
Process101,0.4201680672268907,0.42016806722689076,0.5215468432859738
Process101,0.4273504273504274,0.42735042735042733,0.521969696969697
Process101,0.4132231404958677,0.4132231404958678,0.49245593419506467
Process101,0.4,0.4,0.4571256038647343
Process101,0.41025641025641024,0.41025641025641024,0.45816727053140094
Process101,0.41025641025641024,0.41025641025641024,0.446352886977887
Process101,0.41025641025641024,0.41025641025641024,0.4352755054792406
Process101,0.41025641025641024,0.41025641025641024,0.4352755054792406
Process101,0.40336134453781514,0.40336134453781514,0.4142228739002933
Process101,0.39669421487603307,0.39669421487603307,0.3951752548526742
Process101,0.39669421487603307,0.39669421487603307,0.3951752548526742
Process101,0.3448275862068966,0.3448275862068966,0.3501298701298701
Process101,0.360655737704918,0.36065573770491804,0.3706489863572613
Process101,0.3577235772357723,0.35772357723577236,0.36256817827645316
Process101,0.3492063492063492,0.3492063492063492,0.3473475749256463
Process101,0.3492063492063492,0.3492063492063492,0.3473475749256463
Process101,0.34375,0.34375,0.340255376344086
Process101,0.3384615384615385,0.3384615384615385,0.3334526552556506
Process101,0.32835820895522383,0.3283582089552239,0.32049632352941176
Process101,0.32835820895522383,0.3283582089552239,0.31455372073578597
Process101,0.3410852713178295,0.34108527131782945,0.3211064425770308
Process101,0.3384615384615385,0.3384615384615385,0.3209982174688057
Process101,0.32835820895522383,0.3283582089552239,0.30889941517372776
Process101,0.3308270676691729,0.3308270676691729,0.30899822940297683
Process101,0.32592592592592595,0.32592592592592595,0.3033089190171939
Process101,0.3188405797101449,0.3188405797101449,0.29777050395256915
Process101,0.3098591549295775,0.30985915492957744,0.28756316742944316
Process101,0.29166666666666663,0.2916666666666667,0.2686977533960293
Process101,0.3120567375886525,0.3120567375886525,0.28771437710686254
Process101,0.273972602739726,0.273972602739726,0.2711864406779661
Process101,0.2684563758389261,0.2684563758389262,0.26229508196721313
Process101,0.27210884353741494,0.272108843537415,0.26666666666666666
Process101,0.2684563758389261,0.2684563758389262,0.26229508196721313
Process101,0.2684563758389261,0.2684563758389262,0.25806451612903225
Process101,0.26490066225165565,0.26490066225165565,0.25396825396825395
Process101,0.2597402597402597,0.2597402597402597,0.24615384615384617
Process101,0.25806451612903225,0.25806451612903225,0.24242424242424243
Process101,0.261437908496732,0.26143790849673204,0.24615384615384617
Process101,0.25806451612903225,0.25806451612903225,0.24242424242424243
Process101,0.261437908496732,0.26143790849673204,0.25
Process101,0.261437908496732,0.26143790849673204,0.25
Process101,0.261437908496732,0.26143790849673204,0.24615384615384617
Process101,0.2547770700636943,0.25477707006369427,0.24242424242424243
Process101,0.26315789473684215,0.2631578947368421,0.25
Process101,0.25806451612903225,0.25806451612903225,0.24242424242424243
Process101,0.2597402597402597,0.2597402597402597,0.24615384615384617
Process101,0.25806451612903225,0.25806451612903225,0.24242424242424243
Process101,0.25806451612903225,0.25806451612903225,0.24615384615384617
Process101,0.2516556291390728,0.25165562913907286,0.23384615384615387
Process101,0.25806451612903225,0.25806451612903225,0.24242424242424243
Process101,0.25806451612903225,0.25806451612903225,0.24615384615384617
Process101,0.261437908496732,0.26143790849673204,0.24615384615384617
Process101,0.25806451612903225,0.25806451612903225,0.24615384615384617
