model,Jac, JacTrim
Process101,0.9911504424778761,1.0
Process101,0.9911504424778761,0.991304347826087
Process101,0.9911504424778761,0.991304347826087
Process101,0.8869565217391304,0.972972972972973
Process101,0.9655172413793104,0.991304347826087
Process101,0.9911504424778761,0.9911504424778761
Process101,0.9655172413793104,0.9655172413793104
Process101,0.991304347826087,0.9245283018867925
Process101,0.9911504424778761,0.9911504424778761
Process101,0.991304347826087,0.9911504424778761
Process101,1.0,0.9911504424778761
Process101,0.991304347826087,0.9401709401709402
Process101,0.991304347826087,0.9391304347826087
Process101,0.972972972972973,0.4424778761061947
Process101,0.991304347826087,0.42105263157894735
Process101,0.9911504424778761,0.4173913043478261
Process101,0.9655172413793104,0.4035087719298246
Process101,0.9245283018867925,0.3931623931623932
Process101,0.9911504424778761,0.3793103448275862
Process101,0.9911504424778761,0.38983050847457623
Process101,0.9911504424778761,0.38655462184873945
Process101,0.9401709401709402,0.39655172413793105
Process101,0.9391304347826087,0.3111111111111111
Process101,0.9911504424778761,0.31343283582089554
Process101,0.991304347826087,0.3111111111111111
Process101,0.972972972972973,0.3088235294117647
Process101,0.9541284403669725,0.3088235294117647
Process101,0.9454545454545454,0.3157894736842105
Process101,0.9158878504672897,0.3088235294117647
Process101,0.7962962962962963,0.31343283582089554
Process101,0.7924528301886793,0.3111111111111111
Process101,0.7850467289719626,0.31343283582089554
Process101,0.7884615384615384,0.3088235294117647
Process101,0.7766990291262136,0.31818181818181823
Process101,0.7766990291262136,0.3088235294117647
Process101,0.7884615384615384,0.31343283582089554
Process101,0.7289719626168225,0.31818181818181823
Process101,0.7222222222222222,0.303030303030303
Process101,0.7222222222222222,0.3088235294117647
Process101,0.7289719626168225,0.31818181818181823
Process101,0.6727272727272727,0.31343283582089554
Process101,0.6666666666666667,0.3088235294117647
Process101,0.5585585585585586,0.0
Process101,0.5535714285714286,0.0
Process101,0.5486725663716814,0.0
Process101,0.5217391304347826,0.0
Process101,0.5043478260869565,0.0
Process101,0.47787610619469023,0.0
Process101,0.4424778761061947,0.0
Process101,0.4385964912280702,0.0
Process101,0.4424778761061947,0.0
Process101,0.42105263157894735,0.0
Process101,0.4173913043478261,0.0
Process101,0.4035087719298246,0.0
Process101,0.3931623931623932,0.0
Process101,0.3793103448275862,0.0
Process101,0.38983050847457623,0.0
Process101,0.38655462184873945,0.0
Process101,0.39655172413793105,0.0
Process101,0.3833333333333333,0.0
Process101,0.3739837398373984,0.0
Process101,0.368,0.0
Process101,0.3650793650793651,0.0
Process101,0.36220472440944884,0.0
Process101,0.36220472440944884,0.0
Process101,0.359375,0.0
Process101,0.31999999999999995,0.0
Process101,0.3307086614173228,0.0
Process101,0.32307692307692304,0.0
Process101,0.31818181818181823,0.0
Process101,0.3111111111111111,0.0
Process101,0.31343283582089554,0.0
Process101,0.3111111111111111,0.0
Process101,0.3088235294117647,0.0
Process101,0.3088235294117647,0.0
Process101,0.3157894736842105,0.0
Process101,0.3088235294117647,0.0
Process101,0.31343283582089554,0.0
Process101,0.3111111111111111,0.0
Process101,0.31343283582089554,0.0
Process101,0.3088235294117647,0.0
Process101,0.31818181818181823,0.0
Process101,0.3088235294117647,0.0
Process101,0.31343283582089554,0.0
Process101,0.31818181818181823,0.0
Process101,0.303030303030303,0.0
Process101,0.3088235294117647,0.0
Process101,0.31818181818181823,0.0
Process101,0.31343283582089554,0.0
Process101,0.3088235294117647,0.0
Process101,0.31343283582089554,0.0
Process101,0.32307692307692304,0.0
Process101,0.3088235294117647,0.0
Process101,0.31343283582089554,0.0
Process101,0.3157894736842105,0.0
Process101,0.31343283582089554,0.0
Process101,0.31343283582089554,0.0
Process101,0.31343283582089554,0.0
Process101,0.32307692307692304,0.0
Process101,0.31343283582089554,0.0
