model,Jac
Process101,0.9499184782608696
Process101,0.9950000000000001
Process101,0.9695454545454545
Process101,0.9499184782608696
Process101,0.9604347826086957
Process101,0.9577445652173914
Process101,0.9588311688311688
Process101,0.9708695652173913
Process101,0.9708695652173913
Process101,0.9708695652173913
Process101,0.9708695652173913
Process101,0.8700000000000001
Process101,0.9616883116883117
Process101,0.93
Process101,0.9708695652173913
Process101,0.9708695652173913
Process101,0.9577445652173914
Process101,0.9695454545454545
Process101,0.9950000000000001
Process101,0.9499184782608696
Process101,0.9971428571428572
Process101,0.9638311688311688
Process101,0.9708695652173913
Process101,0.9604347826086957
Process101,0.9311636828644502
Process101,0.9499184782608696
Process101,0.9695454545454545
Process101,0.9429347826086957
Process101,0.9950000000000001
Process101,0.9654150197628459
Process101,0.9604347826086957
Process101,0.9560816864295126
Process101,0.9950000000000001
Process101,0.9972727272727273
Process101,0.9950000000000001
Process101,0.9971428571428572
Process101,0.9499184782608696
Process101,0.9971428571428572
Process101,1.0
Process101,0.9654150197628459
Process101,0.8110774410774411
Process101,0.7862626262626262
Process101,0.8123594923594923
Process101,0.7890062111801243
Process101,0.6810774410774411
Process101,0.7786363636363636
Process101,0.7915800865800866
Process101,0.7410774410774411
Process101,0.7862626262626262
Process101,0.7877777777777777
Process101,0.7340601757944558
Process101,0.7344624746450306
Process101,0.7150000000000001
Process101,0.6640601757944558
Process101,0.7123655913978495
Process101,0.6640601757944558
Process101,0.7163379416282643
Process101,0.7340601757944558
Process101,0.7098958333333334
Process101,0.7336838317084343
Process101,0.6818501228501228
Process101,0.6734751228501228
Process101,0.6731172600619195
Process101,0.6885328574542284
Process101,0.6734751228501228
Process101,0.6670917469627147
Process101,0.6734751228501228
Process101,0.6734751228501228
Process101,0.6883339938178648
Process101,0.6183339938178648
Process101,0.6692403846153846
Process101,0.6885328574542284
Process101,0.6183339938178648
Process101,0.6734751228501228
Process101,0.6731172600619195
Process101,0.6667210905920583
Process101,0.6734751228501228
Process101,0.6883339938178648
Process101,0.6862127816966527
Process101,0.6734751228501228
Process101,0.6734751228501228
Process101,0.6883339938178648
Process101,0.6885328574542284
Process101,0.6183339938178648
Process101,0.6885328574542284
Process101,0.6667210905920583
Process101,0.6885328574542284
Process101,0.6734751228501228
Process101,0.5583339938178647
Process101,0.6867123721962431
Process101,0.6731172600619195
Process101,0.6671001344086022
Process101,0.6885141739980449
Process101,0.6734751228501228
Process101,0.6734751228501228
Process101,0.6885141739980449
Process101,0.6734751228501228
Process101,0.6183339938178648
Process101,0.6734751228501228
Process101,0.6885328574542284
