model,Jac
Process101,0.93
Process101,0.9499184782608696
Process101,0.9615362318840581
Process101,0.9695454545454545
Process101,0.9708695652173913
Process101,0.9708695652173913
Process101,0.9708695652173913
Process101,0.9499184782608696
Process101,0.9615362318840581
Process101,0.9971428571428572
Process101,0.9604347826086957
Process101,0.9311636828644502
Process101,0.9588311688311688
Process101,0.9499184782608696
Process101,1.0
Process101,0.946536231884058
Process101,0.9630434782608697
Process101,0.9695454545454545
Process101,0.9616883116883117
Process101,0.9499184782608696
Process101,0.9972727272727273
Process101,0.9499184782608696
Process101,0.9708695652173913
Process101,0.9383695652173913
Process101,0.9695454545454545
Process101,0.9654150197628459
Process101,0.9387121212121212
Process101,0.9359848484848485
Process101,0.891475
Process101,0.8623777777777778
Process101,0.8397008547008548
Process101,0.8148800661703888
Process101,0.8155897435897437
Process101,0.7898205128205129
Process101,0.8122564102564103
Process101,0.7880586080586081
Process101,0.7546703296703298
Process101,0.7588227098571926
Process101,0.7402115987460816
Process101,0.722884012539185
Process101,0.592884012539185
Process101,0.5767115987460816
Process101,0.5570749907304412
Process101,0.5550060252131999
Process101,0.5556400831842143
Process101,0.571460815047022
Process101,0.5563317827889575
Process101,0.5466209677419355
Process101,0.5316358870967742
Process101,0.5319858870967742
Process101,0.5110483870967742
Process101,0.5178886363636364
Process101,0.5046277252159606
Process101,0.4928041958041958
Process101,0.4794984917043741
Process101,0.46120823620823626
Process101,0.3912082362082362
Process101,0.38114817614817614
Process101,0.38147125307125307
Process101,0.38147125307125307
Process101,0.3719406698564593
Process101,0.37161759293338237
Process101,0.35465
Process101,0.38252506538796865
Process101,0.36395264681555006
Process101,0.35500000000000004
Process101,0.353125
Process101,0.34495426829268294
Process101,0.3453347030752916
Process101,0.33726896292113684
Process101,0.32408504983388703
Process101,0.3170025974025974
Process101,0.31720427807486634
Process101,0.3083777777777778
Process101,0.3082426426426427
Process101,0.3082426426426427
Process101,0.3016411899313501
Process101,0.3017692126909518
Process101,0.30142580531596547
Process101,0.3856324110671937
Process101,0.3017692126909518
Process101,0.2987618052835444
Process101,0.3017692126909518
Process101,0.3017692126909518
Process101,0.3017692126909518
Process101,0.30662102102102107
Process101,0.2934888888888889
Process101,0.308475975975976
Process101,0.3016411899313501
Process101,0.3017692126909518
Process101,0.3017692126909518
Process101,0.3082426426426427
Process101,0.3017692126909518
Process101,0.30142580531596547
Process101,0.3082426426426427
Process101,0.3017692126909518
Process101,0.308475975975976
Process101,0.30811461988304095
Process101,0.3082426426426427
Process101,0.31501031941031943
