model,Jac
Process101,0.8700000000000001
Process101,0.9588311688311688
Process101,0.9616883116883117
Process101,0.9560816864295126
Process101,0.9708695652173913
Process101,0.9499184782608696
Process101,0.9950000000000001
Process101,1.0
Process101,0.9616883116883117
Process101,0.9429347826086957
Process101,0.9708695652173913
Process101,0.9615362318840581
Process101,0.9311636828644502
Process101,0.9971428571428572
Process101,0.9950000000000001
Process101,0.9708695652173913
Process101,0.9971428571428572
Process101,0.9708695652173913
Process101,0.9708695652173913
Process101,0.9950000000000001
Process101,0.9560816864295126
Process101,0.93
Process101,0.9654150197628459
Process101,0.9950000000000001
Process101,0.9695454545454545
Process101,0.9577445652173914
Process101,0.9588311688311688
Process101,0.9616883116883117
Process101,0.9972727272727273
Process101,1.0
Process101,0.9708695652173913
Process101,0.9604347826086957
Process101,0.9695454545454545
Process101,0.3578
Process101,0.36244897959183675
Process101,0.3578
Process101,0.3578
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.34440000000000004
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.3578
Process101,0.34440000000000004
Process101,0.3578
Process101,0.3533333333333334
Process101,0.4278
Process101,0.3578
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.3578
Process101,0.3533333333333334
Process101,0.3578
Process101,0.3578
Process101,0.34440000000000004
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.3578
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.36244897959183675
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.3533333333333334
Process101,0.9654150197628459
Process101,0.9630434782608697
Process101,0.9950000000000001
Process101,0.9383695652173913
Process101,0.9708695652173913
Process101,0.9616883116883117
Process101,0.9499184782608696
Process101,0.9708695652173913
Process101,0.9383695652173913
Process101,0.9511014492753624
Process101,0.9429347826086957
Process101,0.9950000000000001
Process101,0.9708695652173913
Process101,0.9348695652173914
Process101,0.9708695652173913
Process101,0.9971428571428572
Process101,0.9499184782608696
Process101,0.9499184782608696
Process101,1.0
Process101,0.9708695652173913
Process101,0.9971428571428572
Process101,0.9429347826086957
Process101,0.9630434782608697
Process101,0.9695454545454545
Process101,0.9708695652173913
Process101,0.9971428571428572
Process101,0.8700000000000001
Process101,0.9616883116883117
Process101,0.9499184782608696
Process101,0.9708695652173913
Process101,0.9971428571428572
Process101,0.9708695652173913
