model,GED,CNE,Jaccard,W-GED,LCS,GED-T,CNE-T,Jaccard-T,W-GED-T,LCS-T
Process101,0.518518519,0.518518519,0.488601399,0.861962903,0.265,0.436090226,0.436090226,0.447370059,0.849692188,0.19
Process101,0.514705882,0.514705882,0.477869691,0.858247619,0.335,0.436090226,0.436090226,0.447370059,0.849692188,0.225
Process101,0.473282443,0.473282443,0.447574279,0.848779032,0.235,0.436090226,0.436090226,0.447370059,0.849692188,0.24
Process101,0.45112782,0.45112782,0.449364361,0.851026563,0.24,0.436090226,0.436090226,0.447370059,0.849692188,0.21
Process101,0.454545455,0.454545455,0.459585035,0.854568254,0.225,0.436090226,0.436090226,0.447370059,0.849692188,0.235
Process101,0.436090226,0.436090226,0.447370059,0.849692188,0.21,0.436090226,0.436090226,0.447370059,0.849692188,0.22
Process101,0.421052632,0.421052632,0.442328042,0.848548438,0.225,0.421052632,0.421052632,0.442328042,0.848548438,0.23
Process101,0.417910448,0.417910448,0.432582749,0.845153846,0.28,0.417910448,0.417910448,0.432582749,0.845153846,0.18
Process101,0.421052632,0.421052632,0.432582749,0.845810769,0.26,0.421052632,0.421052632,0.432582749,0.845810769,0.235
Process101,0.421052632,0.421052632,0.432582749,0.845810769,0.21,0.421052632,0.421052632,0.432582749,0.845810769,0.225
Process101,0.417910448,0.417910448,0.423280423,0.842509091,0.255,0.417910448,0.417910448,0.423280423,0.842509091,0.235
Process101,0.414814815,0.414814815,0.414391534,0.83930597,0.2,0.414814815,0.414814815,0.414391534,0.83930597,0.24
Process101,0.4,0.4,0.40962963,0.838213433,0.27,0.4,0.4,0.40962963,0.838213433,0.21
Process101,0.397058824,0.397058824,0.401127214,0.835120588,0.18,0.397058824,0.397058824,0.401127214,0.835120588,0.21
Process101,0.352941176,0.352941176,0.388306701,0.831891176,0.18,0.352941176,0.352941176,0.388306701,0.831891176,0.27
Process101,0.347826087,0.347826087,0.380099953,0.828315942,0.215,0.347826087,0.347826087,0.380099953,0.828315942,0.205
Process101,0.342857143,0.342857143,0.372202381,0.82493,0.24,0.342857143,0.342857143,0.372202381,0.82493,0.23
Process101,0.345323741,0.345323741,0.372268519,0.82554,0.24,0.345323741,0.345323741,0.372268519,0.82554,0.175
Process101,0.342857143,0.342857143,0.364785525,0.822756338,0.245,0.342857143,0.342857143,0.364785525,0.822756338,0.195
Process101,0.330935252,0.330935252,0.348458995,0.814908571,0.205,0.330935252,0.330935252,0.348458995,0.814908571,0.285
Process101,0.312056738,0.312056738,0.352,0.817847222,0.2,0.312056738,0.312056738,0.352,0.817847222,0.24
Process101,0.309859155,0.309859155,0.345098039,0.815245205,0.175,0.309859155,0.309859155,0.345098039,0.815245205,0.2
Process101,0.305555556,0.305555556,0.338461538,0.812218919,0.235,0.305555556,0.305555556,0.338461538,0.812218919,0.24
Process101,0.303448276,0.303448276,0.332075472,0.809761333,0.21,0.303448276,0.303448276,0.332075472,0.809761333,0.19
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.185,0.301369863,0.301369863,0.325925926,0.807368421,0.175
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.18,0.301369863,0.301369863,0.325925926,0.807368421,0.215
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.205,0.301369863,0.301369863,0.325925926,0.807368421,0.22
Process101,0.29787234,0.29787234,0.316981132,0.803728378,0.21,0.29787234,0.29787234,0.316981132,0.803728378,0.165
Process101,0.295774648,0.295774648,0.316981132,0.803233784,0.185,0.295774648,0.295774648,0.316981132,0.803233784,0.21
Process101,0.299319728,0.299319728,0.325925926,0.806886842,0.24,0.299319728,0.299319728,0.325925926,0.806886842,0.17
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.21,0.301369863,0.301369863,0.325925926,0.807368421,0.245
