maxTraces,traceSize,observed,model_jaccard,model_precision,model_recall,log_fitness,log_precision,illegal_traces
5,5,5,0.12261904761904763,0.5,0.041666666666666664,0.23529411764705888,0.9411764705882353,trace 2trace 3trace 4trace1trace 5trace 6
5,5,10,0.2535714285714286,0.5,0.125,0.47058823529411764,0.9032258064516129,trace 2trace 3trace 4trace1trace 5trace 6
5,5,15,0.37619047619047624,0.4444444444444444,0.16666666666666666,0.5882352941176471,0.85625,trace 2trace 3trace 4trace1trace 5trace 6
5,5,20,0.5537593984962407,0.4166666666666667,0.20833333333333334,0.7058823529411764,0.6880733944954128,trace 2trace 3trace 4trace1trace 5trace 6
5,5,25,0.7382142857142858,0.3684210526315789,0.2916666666666667,0.8235294117647058,0.6855895196506551,trace 3trace1trace 5trace 6
5,5,30,0.7902255639097745,0.4,0.25,0.9117647058823529,0.5773195876288659,trace 3trace 6
maxTraces,traceSize,observed,model_jaccard,model_precision,model_recall,log_fitness,log_precision,illegal_traces
5,5,5,0.12261904761904763,0.5,0.041666666666666664,0.23529411764705888,0.9411764705882353,trace 2trace 3trace 4trace1trace 5trace 6
5,5,10,0.2535714285714286,0.5,0.125,0.47058823529411764,0.9032258064516129,trace 2trace 3trace 4trace1trace 5trace 6
5,5,15,0.37619047619047624,0.4444444444444444,0.16666666666666666,0.5882352941176471,0.85625,trace 2trace 3trace 4trace1trace 5trace 6
5,5,20,0.5537593984962407,0.4166666666666667,0.20833333333333334,0.7058823529411764,0.6880733944954128,trace 2trace 3trace 4trace1trace 5trace 6
5,5,25,0.7382142857142858,0.3684210526315789,0.2916666666666667,0.8235294117647058,0.6855895196506551,trace 3trace1trace 5trace 6
5,5,30,0.7902255639097745,0.4,0.25,0.9117647058823529,0.5773195876288659,trace 3trace 6
