sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,totalChanges,correspondence
/model7188/original,0,0,0,0,0,0,0,1.0
/model7188/original,0,0,0,0,0,1,1,0.9818181818181818
/model7188/original,0,0,0,0,0,2,2,0.962962962962963
/model7188/original,0,0,0,0,0,3,3,0.9433962264150944
/model7188/original,0,0,0,0,1,0,1,0.9824561403508771
/model7188/original,0,0,0,0,1,1,2,0.9642857142857143
/model7188/original,0,0,0,0,1,2,3,0.9454545454545454
/model7188/original,0,0,0,0,1,3,4,0.962962962962963
/model7188/original,0,0,0,0,2,0,2,0.9824561403508771
/model7188/original,0,0,0,0,2,1,3,0.9473684210526316
/model7188/original,0,0,0,0,2,2,4,0.9285714285714286
/model7188/original,0,0,0,0,2,3,5,0.9090909090909091
/model7188/original,0,0,0,0,3,0,3,0.9655172413793104
/model7188/original,0,0,0,0,3,1,4,0.9310344827586207
/model7188/original,0,0,0,0,3,2,5,0.9122807017543859
/model7188/original,0,0,0,0,3,3,6,0.9285714285714286
/model7188/original,0,0,0,1,0,0,1,0.8571428571428572
/model7188/original,0,0,0,1,0,1,2,0.8363636363636364
/model7188/original,0,0,0,1,0,2,3,0.8518518518518519
/model7188/original,0,0,0,1,0,3,4,0.8301886792452831
/model7188/original,0,0,0,1,1,0,2,0.8421052631578947
/model7188/original,0,0,0,1,1,1,3,0.8727272727272728
/model7188/original,0,0,0,1,1,2,4,0.8
/model7188/original,0,0,0,1,1,3,5,0.7777777777777778
/model7188/original,0,0,0,1,2,0,3,0.8275862068965517
/model7188/original,0,0,0,1,2,1,4,0.8070175438596492
/model7188/original,0,0,0,1,2,2,5,0.8
/model7188/original,0,0,0,1,2,3,6,0.8363636363636364
/model7188/original,0,0,0,1,3,0,4,0.8135593220338984
/model7188/original,0,0,0,1,3,1,5,0.8421052631578947
/model7188/original,0,0,0,1,3,2,6,0.8070175438596492
/model7188/original,0,0,0,1,3,3,7,0.7857142857142857
/model7188/original,0,0,0,2,0,0,2,0.6785714285714286
/model7188/original,0,0,0,2,0,1,3,0.7272727272727273
/model7188/original,0,0,0,2,0,2,4,0.7037037037037037
/model7188/original,0,0,0,2,0,3,5,0.7547169811320755
/model7188/original,0,0,0,2,1,0,3,0.736842105263158
/model7188/original,0,0,0,2,1,1,4,0.6909090909090909
/model7188/original,0,0,0,2,1,2,5,0.8
/model7188/original,0,0,0,2,1,3,6,0.7407407407407407
/model7188/original,0,0,0,2,2,0,4,0.6551724137931034
/model7188/original,0,0,0,2,2,1,5,0.6785714285714286
/model7188/original,0,0,0,2,2,2,6,0.6181818181818182
/model7188/original,0,0,0,2,2,3,7,0.6909090909090909
/model7188/original,0,0,0,2,3,0,5,0.7241379310344828
/model7188/original,0,0,0,2,3,1,6,0.75
/model7188/original,0,0,0,2,3,2,7,0.6428571428571428
/model7188/original,0,0,0,2,3,3,8,0.6785714285714286
/model7188/original,0,0,0,3,0,0,3,0.6071428571428572
/model7188/original,0,0,0,3,0,1,4,0.6181818181818182
/model7188/original,0,0,0,3,0,2,5,0.6666666666666667
/model7188/original,0,0,0,3,0,3,6,0.7547169811320755
/model7188/original,0,0,0,3,1,0,4,0.5964912280701755
/model7188/original,0,0,0,3,1,1,5,0.5714285714285714
/model7188/original,0,0,0,3,1,2,6,0.6296296296296297
/model7188/original,0,0,0,3,1,3,7,0.5925925925925926
/model7188/original,0,0,0,3,2,0,5,0.6071428571428572
/model7188/original,0,0,0,3,2,1,6,0.7017543859649122
/model7188/original,0,0,0,3,2,2,7,0.5714285714285714
/model7188/original,0,0,0,3,2,3,8,0.5818181818181818
/model7188/original,0,0,0,3,3,0,6,0.5423728813559322
/model7188/original,0,0,0,3,3,1,7,0.6206896551724138
/model7188/original,0,0,0,3,3,2,8,0.75
/model7188/original,0,0,0,3,3,3,9,0.5818181818181818
/model7188/original,0,0,1,0,0,0,1,0.9019607843137255
/model7188/original,0,0,1,0,0,1,2,0.9230769230769231
/model7188/original,0,0,1,0,0,2,3,0.8571428571428572
/model7188/original,0,0,1,0,0,3,4,0.8571428571428572
/model7188/original,0,0,1,0,1,0,2,0.9019607843137255
/model7188/original,0,0,1,0,1,1,3,0.8627450980392157
/model7188/original,0,0,1,0,1,2,4,0.9019607843137255
/model7188/original,0,0,1,0,1,3,5,0.8571428571428572
/model7188/original,0,0,1,0,2,0,3,0.8888888888888888
/model7188/original,0,0,1,0,2,1,4,0.8846153846153846
/model7188/original,0,0,1,0,2,2,5,0.8679245283018868
/model7188/original,0,0,1,0,2,3,6,0.8846153846153846
/model7188/original,0,0,1,0,3,0,4,0.8888888888888888
/model7188/original,0,0,1,0,3,1,5,0.8727272727272728
/model7188/original,0,0,1,0,3,2,6,0.8461538461538461
/model7188/original,0,0,1,0,3,3,7,0.8301886792452831
/model7188/original,0,0,1,1,0,0,2,0.8076923076923077
/model7188/original,0,0,1,1,0,1,3,0.7692307692307692
/model7188/original,0,0,1,1,0,2,4,0.7450980392156863
/model7188/original,0,0,1,1,0,3,5,0.8
/model7188/original,0,0,1,1,1,0,3,0.7777777777777778
/model7188/original,0,0,1,1,1,1,4,0.7924528301886793
/model7188/original,0,0,1,1,1,2,5,0.7058823529411764
/model7188/original,0,0,1,1,1,3,6,0.7755102040816326
/model7188/original,0,0,1,1,2,0,4,0.8148148148148149
/model7188/original,0,0,1,1,2,1,5,0.7692307692307692
/model7188/original,0,0,1,1,2,2,6,0.7307692307692308
/model7188/original,0,0,1,1,2,3,7,0.7692307692307692
/model7188/original,0,0,1,1,3,0,5,0.7547169811320755
/model7188/original,0,0,1,1,3,1,6,0.7692307692307692
/model7188/original,0,0,1,1,3,2,7,0.7450980392156863
/model7188/original,0,0,1,1,3,3,8,0.7058823529411764
/model7188/original,0,0,1,2,0,0,3,0.679245283018868
/model7188/original,0,0,1,2,0,1,4,0.7307692307692308
/model7188/original,0,0,1,2,0,2,5,0.5306122448979591
/model7188/original,0,0,1,2,0,3,6,0.64
/model7188/original,0,0,1,2,1,0,4,0.7037037037037037
/model7188/original,0,0,1,2,1,1,5,0.6153846153846154
/model7188/original,0,0,1,2,1,2,6,0.6538461538461539
/model7188/original,0,0,1,2,1,3,7,0.6122448979591837
/model7188/original,0,0,1,2,2,0,5,0.6153846153846154
/model7188/original,0,0,1,2,2,1,6,0.6296296296296297
/model7188/original,0,0,1,2,2,2,7,0.6923076923076923
/model7188/original,0,0,1,2,2,3,8,0.6
/model7188/original,0,0,1,2,3,0,6,0.6037735849056604
