sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,totalChanges,correspondence
/model5047/original,0,0,0,0,0,0,0,1.0
/model5047/original,0,0,0,0,0,1,1,0.9879518072289156
/model5047/original,0,0,0,0,0,2,2,0.975609756097561
/model5047/original,0,0,0,0,0,3,3,0.962962962962963
/model5047/original,0,0,0,0,1,0,1,0.9882352941176471
/model5047/original,0,0,0,0,1,1,2,0.9879518072289156
/model5047/original,0,0,0,0,1,2,3,0.975609756097561
/model5047/original,0,0,0,0,1,3,4,0.962962962962963
/model5047/original,0,0,0,0,2,0,2,0.9767441860465116
/model5047/original,0,0,0,0,2,1,3,0.9761904761904762
/model5047/original,0,0,0,0,2,2,4,0.963855421686747
/model5047/original,0,0,0,0,2,3,5,0.9397590361445783
/model5047/original,0,0,0,0,3,0,3,0.9655172413793104
/model5047/original,0,0,0,0,3,1,4,0.9761904761904762
/model5047/original,0,0,0,0,3,2,5,0.9411764705882353
/model5047/original,0,0,0,0,3,3,6,0.9523809523809523
/model5047/original,0,0,0,1,0,0,1,0.9285714285714286
/model5047/original,0,0,0,1,0,1,2,0.9156626506024097
/model5047/original,0,0,0,1,0,2,3,0.8780487804878049
/model5047/original,0,0,0,1,0,3,4,0.8888888888888888
/model5047/original,0,0,0,1,1,0,2,0.9411764705882353
/model5047/original,0,0,0,1,1,1,3,0.9047619047619048
/model5047/original,0,0,0,1,1,2,4,0.891566265060241
/model5047/original,0,0,0,1,1,3,5,0.8888888888888888
/model5047/original,0,0,0,1,2,0,3,0.9176470588235294
/model5047/original,0,0,0,1,2,1,4,0.9176470588235294
/model5047/original,0,0,0,1,2,2,5,0.8809523809523809
/model5047/original,0,0,0,1,2,3,6,0.8780487804878049
/model5047/original,0,0,0,1,3,0,4,0.9069767441860466
/model5047/original,0,0,0,1,3,1,5,0.9047619047619048
/model5047/original,0,0,0,1,3,2,6,0.8809523809523809
/model5047/original,0,0,0,1,3,3,7,0.8674698795180723
/model5047/original,0,0,0,2,0,0,2,0.8571428571428572
/model5047/original,0,0,0,2,0,1,3,0.6987951807228916
/model5047/original,0,0,0,2,0,2,4,0.8536585365853658
/model5047/original,0,0,0,2,0,3,5,0.8148148148148149
/model5047/original,0,0,0,2,1,0,3,0.8941176470588236
/model5047/original,0,0,0,2,1,1,4,0.8095238095238095
/model5047/original,0,0,0,2,1,2,5,0.7710843373493976
/model5047/original,0,0,0,2,1,3,6,0.8536585365853658
/model5047/original,0,0,0,2,2,0,4,0.8235294117647058
/model5047/original,0,0,0,2,2,1,5,0.9523809523809523
/model5047/original,0,0,0,2,2,2,6,0.8095238095238095
/model5047/original,0,0,0,2,2,3,7,0.8192771084337349
/model5047/original,0,0,0,2,3,0,5,0.8505747126436781
/model5047/original,0,0,0,2,3,1,6,0.7674418604651163
/model5047/original,0,0,0,2,3,2,7,0.8
/model5047/original,0,0,0,2,3,3,8,0.8095238095238095
/model5047/original,0,0,0,3,0,0,3,0.8333333333333334
/model5047/original,0,0,0,3,0,1,4,0.7951807228915663
/model5047/original,0,0,0,3,0,2,5,0.8292682926829268
/model5047/original,0,0,0,3,0,3,6,0.7407407407407407
/model5047/original,0,0,0,3,1,0,4,0.7058823529411764
/model5047/original,0,0,0,3,1,1,5,0.7857142857142857
/model5047/original,0,0,0,3,1,2,6,0.7951807228915663
/model5047/original,0,0,0,3,1,3,7,0.7317073170731707
/model5047/original,0,0,0,3,2,0,5,0.7906976744186046
/model5047/original,0,0,0,3,2,1,6,0.8
/model5047/original,0,0,0,3,2,2,7,0.7951807228915663
/model5047/original,0,0,0,3,2,3,8,0.8192771084337349
/model5047/original,0,0,0,3,3,0,6,0.7816091954022988
/model5047/original,0,0,0,3,3,1,7,0.7441860465116279
/model5047/original,0,0,0,3,3,2,8,0.6904761904761905
/model5047/original,0,0,0,3,3,3,9,0.7857142857142857
/model5047/original,0,0,1,0,0,0,1,0.975609756097561
/model5047/original,0,0,1,0,0,1,2,0.9367088607594937
