sep=,
model,mutations,GED, CNE, Jaccard, W-GED, LCS
Process101,1,0.972972972972973,0.972972972972973,0.952922077922078,0.9737209302325581,7.859999999999998E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9984090909090909,7.899999999999997E-4
Process101,1,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9691111111111111,7.739999999999998E-4
Process101,1,0.991304347826087,0.991304347826087,1.0,0.9984090909090909,7.759999999999996E-4
Process101,1,0.972972972972973,0.972972972972973,0.952922077922078,0.9737209302325581,7.739999999999998E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9984090909090909,7.289999999999999E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,7.809999999999997E-4
Process101,1,0.972972972972973,0.972972972972973,0.952922077922078,0.9737209302325581,7.290000000000002E-4
Process101,1,0.9391304347826087,0.9391304347826087,0.9390810276679842,0.9688888888888889,6.880000000000001E-4
Process101,1,1.0,1.0,1.0,1.0,7.750000000000001E-4
Process101,1,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9724444444444444,7.719999999999996E-4
Process101,1,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9691111111111111,7.869999999999998E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,7.819999999999996E-4
Process101,1,0.8869565217391304,0.8869565217391304,0.9100703324808184,0.9604444444444444,7.6E-4
Process101,1,0.9541284403669725,0.9541284403669725,0.9422077922077923,0.9706976744186047,6.569999999999998E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.9767441860465116,7.819999999999997E-4
Process101,1,0.972972972972973,0.972972972972973,0.952922077922078,0.9737209302325581,7.489999999999999E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.899999999999997E-4
Process101,1,0.9655172413793104,0.9655172413793104,0.9558423913043479,0.9731111111111111,7.390000000000001E-4
Process101,1,0.8869565217391304,0.8869565217391304,0.9100703324808184,0.9604444444444444,7.569999999999999E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9984090909090909,7.849999999999997E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.9767441860465116,7.909999999999996E-4
Process101,1,1.0,1.0,1.0,1.0,7.65E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.629999999999999E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,8.019999999999999E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,7.73E-4
Process101,1,0.9649122807017544,0.9649122807017544,0.9739130434782609,0.9945454545454545,7.719999999999997E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.649999999999997E-4
Process101,1,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9691111111111111,7.809999999999999E-4
Process101,1,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9737777777777777,7.979999999999996E-4
Process101,1,0.991304347826087,0.991304347826087,0.9966666666666667,0.9984090909090909,7.839999999999995E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.729999999999999E-4
Process101,1,0.9636363636363636,0.9636363636363636,0.9457792207792208,0.9723255813953489,7.599999999999998E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,7.640000000000001E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9984090909090909,7.689999999999997E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.549999999999999E-4
Process101,1,1.0,1.0,1.0,1.0,7.929999999999997E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,7.609999999999998E-4
Process101,1,0.9565217391304348,0.9565217391304348,0.9449143610013175,0.972,7.359999999999998E-4
Process101,1,0.972972972972973,0.972972972972973,0.952922077922078,0.9737209302325581,7.62E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.789999999999995E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.749999999999999E-4
Process101,1,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9691111111111111,7.849999999999999E-4
Process101,1,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,7.739999999999998E-4
Process101,1,0.9391304347826087,0.9391304347826087,0.9390810276679842,0.9688888888888889,6.960000000000002E-4
Process101,1,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9737777777777777,7.899999999999997E-4
Process101,1,0.8596491228070176,0.8596491228070176,0.9246606334841629,0.9768181818181818,7.130000000000002E-4
Process101,1,0.991304347826087,0.991304347826087,0.9652173913043478,0.9777777777777777,7.64E-4
Process101,1,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9691111111111111,7.28E-4
Process101,1,0.9122807017543859,0.9122807017543859,0.9500000000000001,0.9854545454545455,7.37E-4
Process101,2,0.9827586206896551,0.9827586206896551,0.9618840579710145,0.9762222222222222,7.949999999999999E-4
Process101,2,0.9572649572649573,0.9572649572649573,0.9558423913043479,0.9702222222222222,7.449999999999999E-4
Process101,2,0.8695652173913043,0.8695652173913043,0.9266666666666667,0.9775,7.859999999999998E-4
Process101,2,0.9824561403508771,0.9824561403508771,0.9616459627329192,0.9762222222222222,6.430000000000001E-4
Process101,2,0.9043478260869565,0.9043478260869565,0.9500000000000001,0.9838636363636364,7.509999999999999E-4
Process101,2,0.9137931034482758,0.9137931034482759,0.9266304347826088,0.9633333333333334,7.5E-4
Process101,2,0.9345794392523364,0.9345794392523364,0.8987012987012988,0.9447619047619048,5.999999999999998E-4
Process101,2,0.7543859649122807,0.7543859649122807,0.8916666666666667,0.9586363636363636,6.29E-4
Process101,2,0.9821428571428571,0.9821428571428571,0.9564935064935065,0.9753488372093023,7.949999999999997E-4
Process101,2,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9986363636363637,7.679999999999998E-4
Process101,2,0.8793103448275862,0.8793103448275862,0.8728333333333333,0.94,6.730000000000001E-4
Process101,2,0.9310344827586207,0.9310344827586207,0.9297554347826087,0.9677777777777777,7.829999999999997E-4
Process101,2,0.8928571428571429,0.8928571428571429,0.8822010869565218,0.9397727272727273,5.550000000000002E-4
Process101,2,0.8983050847457628,0.8983050847457628,0.8819583333333334,0.9428260869565217,7.330000000000001E-4
Process101,2,0.9824561403508771,0.9824561403508771,0.9568181818181818,0.9753488372093023,6.72E-4
Process101,2,0.8495575221238938,0.8495575221238938,0.9217194570135747,0.9752272727272727,7.649999999999998E-4
Process101,2,0.8,0.8,0.8648117117911632,0.9471111111111111,7.129999999999999E-4
Process101,2,0.9827586206896551,0.9827586206896551,0.9618840579710145,0.9762222222222222,6.75E-4
Process101,2,0.9827586206896551,0.9827586206896551,0.9966666666666667,0.9954545454545455,8.009999999999997E-4
Process101,2,0.9824561403508771,0.9824561403508771,0.9636363636363636,0.9737209302325581,7.699999999999996E-4
Process101,2,0.9642857142857143,0.9642857142857143,0.9498268398268399,0.9720930232558139,6.240000000000001E-4
Process101,2,0.9642857142857143,0.9642857142857143,0.9727272727272728,0.9945454545454545,7.520000000000002E-4
Process101,2,0.8672566371681416,0.8672566371681416,0.8979893048128342,0.9558139534883721,6.950000000000003E-4
Process101,2,0.9444444444444444,0.9444444444444444,0.9386363636363637,0.9690697674418605,6.770000000000001E-4
Process101,2,0.9642857142857143,0.9642857142857143,0.9197204968944099,0.951590909090909,6.570000000000002E-4
Process101,2,0.8793103448275862,0.8793103448275862,0.8781862745098039,0.9395652173913044,7.719999999999998E-4
Process101,2,0.9642857142857143,0.9642857142857143,0.952922077922078,0.9706976744186047,6.570000000000001E-4
Process101,2,0.9203539823008849,0.9203539823008849,0.9254446640316205,0.9662222222222222,7.100000000000002E-4
Process101,2,0.9827586206896551,0.9827586206896551,0.9333333333333333,0.9565217391304348,7.599999999999998E-4
Process101,2,0.9322033898305084,0.9322033898305084,0.9043931159420291,0.9480434782608695,7.740000000000001E-4
Process101,2,0.9322033898305084,0.9322033898305084,0.9362771739130435,0.9662222222222222,7.29E-4
Process101,2,0.8347826086956522,0.8347826086956521,0.8909016018306637,0.9515555555555556,5.990000000000001E-4
Process101,2,0.8695652173913043,0.8695652173913043,0.8995703324808184,0.9577777777777777,7.310000000000001E-4
Process101,2,0.9655172413793104,0.9655172413793104,0.9196969696969697,0.9539130434782609,7.689999999999999E-4
Process101,2,0.8495575221238938,0.8495575221238938,0.8906291560102302,0.9548888888888889,7.4E-4
Process101,2,0.9734513274336283,0.9734513274336283,0.9600649350649351,0.9734883720930233,6.61E-4
Process101,2,0.8947368421052632,0.8947368421052632,0.8804347826086957,0.94,6.810000000000002E-4
Process101,2,0.9322033898305084,0.9322033898305084,0.9362771739130435,0.9662222222222222,7.729999999999998E-4
Process101,2,0.864406779661017,0.864406779661017,0.8718888888888889,0.9367391304347826,7.040000000000002E-4
Process101,2,0.8275862068965517,0.8275862068965517,0.8590175438596492,0.9308695652173913,6.43E-4
Process101,2,0.9310344827586207,0.9310344827586207,0.9331521739130435,0.9675555555555555,6.950000000000001E-4
Process101,2,0.9824561403508771,0.9824561403508771,0.9636363636363636,0.9737209302325581,7.849999999999997E-4
Process101,2,0.9391304347826087,0.9391304347826087,0.9390810276679842,0.9688888888888889,7.100000000000002E-4
Process101,2,0.8869565217391304,0.8869565217391304,0.9047173913043478,0.9608888888888889,6.910000000000002E-4
Process101,2,0.9824561403508771,0.9824561403508771,0.9580745341614907,0.9764444444444444,7.51E-4
Process101,2,0.9310344827586207,0.9310344827586207,0.9071969696969697,0.9478260869565217,6.8E-4
Process101,2,0.9824561403508771,0.9824561403508771,0.9964285714285714,0.9968181818181818,6.820000000000002E-4
Process101,2,0.9824561403508771,0.9824561403508771,0.9964285714285714,0.9954545454545455,7.849999999999995E-4
Process101,2,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.9767441860465116,7.7E-4
Process101,2,0.7863247863247863,0.7863247863247863,0.8607729468599035,0.9442222222222222,7.5E-4
Process101,3,0.8103448275862069,0.8103448275862069,0.8444444444444446,0.928695652173913,6.320000000000001E-4
Process101,3,0.954954954954955,0.954954954954955,0.9396103896103897,0.9709302325581395,7.410000000000001E-4
Process101,3,0.9357798165137614,0.9357798165137615,0.9058441558441559,0.9445238095238095,6.590000000000001E-4
Process101,3,0.8717948717948718,0.8717948717948718,0.873686274509804,0.9382608695652174,6.180000000000001E-4
Process101,3,0.9137931034482758,0.9137931034482759,0.8981729055258467,0.945,7.17E-4
Process101,3,0.9565217391304348,0.9565217391304348,0.9449143610013175,0.972,6.48E-4
