model,mutations,GED, CNE, Jaccard, W-GED, LCS,,1,Pearson,R^2
Process101,2,0.972972973,0.972972973,0.956493506,0.989360465,0.565,,,,
Process101,2,0.91588785,0.91588785,0.884006211,0.977125,0.655,,,,
Process101,2,0.928571429,0.928571429,0.934375,0.98467907,0.665,,,,
Process101,2,0.95412844,0.95412844,0.964285714,0.995840909,0.715,,,,
Process101,2,0.956521739,0.956521739,0.948699534,0.988071111,0.615,,,,
Process101,2,0.867256637,0.867256637,0.924038462,0.986968182,0.615,,,,
Process101,2,0.92173913,0.92173913,0.921050725,0.984953333,0.625,,,,
Process101,2,0.991150442,0.991150442,0.996428571,0.999029545,0.69,,,,
Process101,2,0.982758621,0.982758621,0.965217391,0.990782222,0.685,,,,
Process101,2,0.774774775,0.774774775,0.862466773,0.96935814,0.505,,,,
Process101,2,0.912280702,0.912280702,0.923505435,0.983733333,0.575,,,,
Process101,2,0.869565217,0.869565217,0.905495169,0.97926,0.655,,,,
Process101,2,0.991304348,0.991304348,0.965217391,0.991731111,0.69,,,,
Process101,2,0.93220339,0.93220339,0.904393116,0.97865,0.705,,,,
Process101,2,0.964912281,0.964912281,0.916798419,0.981422727,0.76,,,,
Process101,2,0.931034483,0.931034483,0.933152174,0.985495556,0.65,,,,
Process101,2,0.98245614,0.98245614,0.963636364,0.990353488,0.73,,,,
Process101,2,0.939130435,0.939130435,0.973863636,0.993484091,0.67,,,,
Process101,3,0.771929825,0.771929825,0.833768116,0.961459091,0.655,,,,
Process101,3,0.954954955,0.954954955,0.916149068,0.980313636,0.625,,,,
Process101,3,0.938053097,0.938053097,0.900776398,0.978788636,0.715,,,,
Process101,3,0.92173913,0.92173913,0.926630435,0.984682222,0.51,,,,
Process101,3,0.869565217,0.869565217,0.929807692,0.986829545,0.67,,,,
Process101,3,0.745762712,0.745762712,0.824794745,0.959819565,0.55,,,,
Process101,3,0.75862069,0.75862069,0.862241201,0.967873333,0.265,,,,
