sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED
Process101,0,0,3,1,2,0,0.4900000000000001
Process101,0,0,3,1,2,1,0.4753333333333333
Process101,0,0,3,1,2,2,0.46666666666666656
Process101,0,0,3,1,2,3,0.4073333333333332
Process101,0,0,3,1,3,0,0.5053333333333332
Process101,0,0,3,1,3,1,0.3953333333333333
Process101,0,0,3,1,3,2,0.482
Process101,0,0,3,1,3,3,0.4299999999999997
Process101,0,0,3,2,0,0,0.4186666666666665
Process101,0,0,3,2,0,1,0.4926666666666666
Process101,0,0,3,2,0,2,0.4626666666666664
Process101,0,0,3,2,0,3,0.45333333333333314
Process101,0,0,3,2,1,0,0.4913333333333333
Process101,0,0,3,2,1,1,0.4839999999999999
Process101,0,0,3,2,1,2,0.3926666666666666
Process101,0,0,3,2,1,3,0.45133333333333314
Process101,0,0,3,2,2,0,0.3973333333333333
Process101,0,0,3,2,2,1,0.43733333333333313
Process101,0,0,3,2,2,2,0.4253333333333331
Process101,0,0,3,2,2,3,0.4839999999999999
Process101,0,0,3,2,3,0,0.51
Process101,0,0,3,2,3,1,0.3713333333333334
Process101,0,0,3,2,3,2,0.37999999999999995
Process101,0,0,3,2,3,3,0.4546666666666664
Process101,0,0,3,3,0,0,0.472
Process101,0,0,3,3,0,1,0.3939999999999999
Process101,0,0,3,3,0,2,0.45999999999999985
Process101,0,0,3,3,0,3,0.469333333333333
Process101,0,0,3,3,1,0,0.45466666666666644
Process101,0,0,3,3,1,1,0.45533333333333315
Process101,0,0,3,3,1,2,0.439333333333333
Process101,0,0,3,3,1,3,0.4866666666666667
Process101,0,0,3,3,2,0,0.4426666666666665
Process101,0,0,3,3,2,1,0.44133333333333313
Process101,0,0,3,3,2,2,0.48866666666666647
Process101,0,0,3,3,2,3,0.4359999999999997
Process101,0,0,3,3,3,0,0.4833333333333333
Process101,0,0,3,3,3,1,0.4439999999999999
Process101,0,0,3,3,3,2,0.4646666666666664
Process101,0,0,3,3,3,3,0.4579999999999997
Process101,0,1,0,0,0,0,0.5213333333333338
Process101,0,1,0,0,0,1,0.5133333333333332
Process101,0,1,0,0,0,2,0.516
Process101,0,1,0,0,0,3,0.512
Process101,0,1,0,0,1,0,0.5093333333333334
Process101,0,1,0,0,1,1,0.4973333333333335
Process101,0,1,0,0,1,2,0.5046666666666667
Process101,0,1,0,0,1,3,0.4919999999999999
Process101,0,1,0,0,2,0,0.5146666666666668
Process101,0,1,0,0,2,1,0.5039999999999999
Process101,0,1,0,0,2,2,0.5100000000000001
Process101,0,1,0,0,2,3,0.4899999999999999
Process101,0,1,0,0,3,0,0.49266666666666653
Process101,0,1,0,0,3,1,0.4213333333333332
Process101,0,1,0,0,3,2,0.48466666666666647
Process101,0,1,0,0,3,3,0.48066666666666674
Process101,0,1,0,1,0,0,0.4893333333333333
Process101,0,1,0,1,0,1,0.4659999999999997
Process101,0,1,0,1,0,2,0.48066666666666646
Process101,0,1,0,1,0,3,0.4946666666666665
Process101,0,1,0,1,1,0,0.5026666666666666
Process101,0,1,0,1,1,1,0.506
Process101,0,1,0,1,1,2,0.4953333333333333
Process101,0,1,0,1,1,3,0.4786666666666666
Process101,0,1,0,1,2,0,0.48466666666666675
Process101,0,1,0,1,2,1,0.4906666666666666
Process101,0,1,0,1,2,2,0.49533333333333335
Process101,0,1,0,1,2,3,0.47799999999999976
Process101,0,1,0,1,3,0,0.4946666666666666
Process101,0,1,0,1,3,1,0.5039999999999999
Process101,0,1,0,1,3,2,0.49
Process101,0,1,0,1,3,3,0.4946666666666667
Process101,0,1,0,2,0,0,0.4946666666666665
Process101,0,1,0,2,0,1,0.4786666666666666
Process101,0,1,0,2,0,2,0.48066666666666646
Process101,0,1,0,2,0,3,0.44666666666666643
Process101,0,1,0,2,1,0,0.494
Process101,0,1,0,2,1,1,0.46533333333333327
Process101,0,1,0,2,1,2,0.4699999999999997
Process101,0,1,0,2,1,3,0.47799999999999987
Process101,0,1,0,2,2,0,0.4773333333333333
Process101,0,1,0,2,2,1,0.46666666666666645
Process101,0,1,0,2,2,2,0.4526666666666664
Process101,0,1,0,2,2,3,0.4806666666666666
Process101,0,1,0,2,3,0,0.5166666666666668
Process101,0,1,0,2,3,1,0.4426666666666663
Process101,0,1,0,2,3,2,0.47799999999999976
Process101,0,1,0,2,3,3,0.47066666666666646
Process101,0,1,0,3,0,0,0.47599999999999976
Process101,0,1,0,3,0,1,0.46466666666666645
Process101,0,1,0,3,0,2,0.4806666666666666
Process101,0,1,0,3,0,3,0.46933333333333316
Process101,0,1,0,3,1,0,0.45133333333333314
Process101,0,1,0,3,1,1,0.4659999999999996
Process101,0,1,0,3,1,2,0.47199999999999986
Process101,0,1,0,3,1,3,0.45599999999999974
Process101,0,1,0,3,2,0,0.4786666666666666
Process101,0,1,0,3,2,1,0.476
Process101,0,1,0,3,2,2,0.47066666666666646
Process101,0,1,0,3,2,3,0.4493333333333331
Process101,0,1,0,3,3,0,0.45399999999999985
Process101,0,1,0,3,3,1,0.46533333333333315
Process101,0,1,0,3,3,2,0.45266666666666644
Process101,0,1,0,3,3,3,0.46799999999999986
Process101,0,1,1,0,0,0,0.4413333333333331
Process101,0,1,1,0,0,1,0.47866666666666663
Process101,0,1,1,0,0,2,0.4806666666666666
Process101,0,1,1,0,0,3,0.4933333333333333
Process101,0,1,1,0,1,0,0.5039999999999999
Process101,0,1,1,0,1,1,0.5026666666666666
Process101,0,1,1,0,1,2,0.47399999999999975
Process101,0,1,1,0,1,3,0.4839999999999999
Process101,0,1,1,0,2,0,0.4986666666666667
Process101,0,1,1,0,2,1,0.4933333333333332
Process101,0,1,1,0,2,2,0.472
Process101,0,1,1,0,2,3,0.5100000000000001
Process101,0,1,1,0,3,0,0.5173333333333332
Process101,0,1,1,0,3,1,0.502
Process101,0,1,1,0,3,2,0.5093333333333334
Process101,0,1,1,0,3,3,0.47866666666666646
Process101,0,1,1,1,0,0,0.47999999999999987
Process101,0,1,1,1,0,1,0.47466666666666646
Process101,0,1,1,1,0,2,0.4793333333333334
Process101,0,1,1,1,0,3,0.49999999999999994
Process101,0,1,1,1,1,0,0.4906666666666666
Process101,0,1,1,1,1,1,0.4886666666666667
Process101,0,1,1,1,1,2,0.4839999999999999
Process101,0,1,1,1,1,3,0.48133333333333317
Process101,0,1,1,1,2,0,0.5266666666666668
Process101,0,1,1,1,2,1,0.46399999999999975
Process101,0,1,1,1,2,2,0.4853333333333332
Process101,0,1,1,1,2,3,0.4473333333333331
Process101,0,1,1,1,3,0,0.44999999999999973
Process101,0,1,1,1,3,1,0.4686666666666664
Process101,0,1,1,1,3,2,0.47933333333333317
Process101,0,1,1,1,3,3,0.47599999999999987
Process101,0,1,1,2,0,0,0.47666666666666635
Process101,0,1,1,2,0,1,0.46199999999999997
Process101,0,1,1,2,0,2,0.4726666666666663
Process101,0,1,1,2,0,3,0.4826666666666664
Process101,0,1,1,2,1,0,0.45199999999999985
Process101,0,1,1,2,1,1,0.4873333333333332
Process101,0,1,1,2,1,2,0.4553333333333331
Process101,0,1,1,2,1,3,0.46799999999999997
Process101,0,1,1,2,2,0,0.46266666666666656
Process101,0,1,1,2,2,1,0.43266666666666637
Process101,0,1,1,2,2,2,0.43199999999999983
Process101,0,1,1,2,2,3,0.46999999999999986
Process101,0,1,1,2,3,0,0.46866666666666656
Process101,0,1,1,2,3,1,0.45666666666666633
Process101,0,1,1,2,3,2,0.42199999999999976
Process101,0,1,1,2,3,3,0.4859999999999999
Process101,0,1,1,3,0,0,0.47399999999999987
Process101,0,1,1,3,0,1,0.4146666666666665
Process101,0,1,1,3,0,2,0.457333333333333
Process101,0,1,1,3,0,3,0.4306666666666664
Process101,0,1,1,3,1,0,0.4286666666666664
Process101,0,1,1,3,1,1,0.41866666666666646
Process101,0,1,1,3,1,2,0.4713333333333331
Process101,0,1,1,3,1,3,0.3786666666666666
Process101,0,1,1,3,2,0,0.4406666666666665
Process101,0,1,1,3,2,1,0.4853333333333332
Process101,0,1,1,3,2,2,0.4666666666666665
Process101,0,1,1,3,2,3,0.45799999999999996
Process101,0,1,1,3,3,0,0.4213333333333331
Process101,0,1,1,3,3,1,0.46733333333333316
Process101,0,1,1,3,3,2,0.48066666666666663
Process101,0,1,1,3,3,3,0.48533333333333306
Process101,0,1,2,0,0,0,0.43599999999999983
Process101,0,1,2,0,0,1,0.47199999999999986
Process101,0,1,2,0,0,2,0.5033333333333333
Process101,0,1,2,0,0,3,0.4786666666666666
Process101,0,1,2,0,1,0,0.47799999999999987
Process101,0,1,2,0,1,1,0.46533333333333315
Process101,0,1,2,0,1,2,0.4493333333333331
Process101,0,1,2,0,1,3,0.486
Process101,0,1,2,0,2,0,0.5053333333333334
Process101,0,1,2,0,2,1,0.4973333333333332
Process101,0,1,2,0,2,2,0.4766666666666665
Process101,0,1,2,0,2,3,0.47199999999999975
Process101,0,1,2,0,3,0,0.433333333333333
Process101,0,1,2,0,3,1,0.4946666666666666
Process101,0,1,2,0,3,2,0.4873333333333334
Process101,0,1,2,0,3,3,0.5020000000000001
Process101,0,1,2,1,0,0,0.49666666666666665
Process101,0,1,2,1,0,1,0.47066666666666646
Process101,0,1,2,1,0,2,0.4893333333333334
Process101,0,1,2,1,0,3,0.49266666666666664
Process101,0,1,2,1,1,0,0.43333333333333307
Process101,0,1,2,1,1,1,0.47666666666666646
Process101,0,1,2,1,1,2,0.45866666666666644
Process101,0,1,2,1,1,3,0.4906666666666666
Process101,0,1,2,1,2,0,0.5046666666666668
Process101,0,1,2,1,2,1,0.502
Process101,0,1,2,1,2,2,0.5066666666666668
Process101,0,1,2,1,2,3,0.4813333333333331
Process101,0,1,2,1,3,0,0.4893333333333333
Process101,0,1,2,1,3,1,0.4813333333333333
Process101,0,1,2,1,3,2,0.46466666666666634
Process101,0,1,2,1,3,3,0.445333333333333
Process101,0,1,2,2,0,0,0.4819999999999997
Process101,0,1,2,2,0,1,0.46333333333333315
Process101,0,1,2,2,0,2,0.3673333333333334
Process101,0,1,2,2,0,3,0.46999999999999975
Process101,0,1,2,2,1,0,0.45066666666666644
Process101,0,1,2,2,1,1,0.45666666666666633
Process101,0,1,2,2,1,2,0.4633333333333332
Process101,0,1,2,2,1,3,0.44666666666666643
Process101,0,1,2,2,2,0,0.4379999999999997
Process101,0,1,2,2,2,1,0.45866666666666633
Process101,0,1,2,2,2,2,0.4719999999999998
Process101,0,1,2,2,2,3,0.46066666666666645
Process101,0,1,2,2,3,0,0.4926666666666665
Process101,0,1,2,2,3,1,0.45933333333333304
Process101,0,1,2,2,3,2,0.44333333333333297
Process101,0,1,2,2,3,3,0.3140000000000001
Process101,0,1,2,3,0,0,0.45133333333333314
Process101,0,1,2,3,0,1,0.46666666666666645
Process101,0,1,2,3,0,2,0.4846666666666665
Process101,0,1,2,3,0,3,0.3899999999999999
Process101,0,1,2,3,1,0,0.4566666666666665
Process101,0,1,2,3,1,1,0.40266666666666656
Process101,0,1,2,3,1,2,0.45199999999999985
Process101,0,1,2,3,1,3,0.4739999999999997
Process101,0,1,2,3,2,0,0.4753333333333333
Process101,0,1,2,3,2,1,0.3866666666666666
Process101,0,1,2,3,2,2,0.45466666666666644
Process101,0,1,2,3,2,3,0.4186666666666664
Process101,0,1,2,3,3,0,0.4839999999999999
Process101,0,1,2,3,3,1,0.4833333333333331
Process101,0,1,2,3,3,2,0.4386666666666666
Process101,0,1,2,3,3,3,0.46799999999999986
Process101,0,1,3,0,0,0,0.48066666666666646
Process101,0,1,3,0,0,1,0.47199999999999975
Process101,0,1,3,0,0,2,0.486
Process101,0,1,3,0,0,3,0.45799999999999974
Process101,0,1,3,0,1,0,0.5006666666666666
Process101,0,1,3,0,1,1,0.45199999999999974
Process101,0,1,3,0,1,2,0.5080000000000001
Process101,0,1,3,0,1,3,0.4786666666666667
Process101,0,1,3,0,2,0,0.4346666666666664
Process101,0,1,3,0,2,1,0.5086666666666668
Process101,0,1,3,0,2,2,0.5
Process101,0,1,3,0,2,3,0.4606666666666664
Process101,0,1,3,0,3,0,0.4866666666666665
Process101,0,1,3,0,3,1,0.46799999999999986
Process101,0,1,3,0,3,2,0.41399999999999987
Process101,0,1,3,0,3,3,0.4406666666666664
Process101,0,1,3,1,0,0,0.4699999999999997
Process101,0,1,3,1,0,1,0.4893333333333335
Process101,0,1,3,1,0,2,0.4619999999999998
Process101,0,1,3,1,0,3,0.4833333333333332
Process101,0,1,3,1,1,0,0.4079999999999999
Process101,0,1,3,1,1,1,0.48866666666666647
Process101,0,1,3,1,1,2,0.4366666666666664
Process101,0,1,3,1,1,3,0.4966666666666666
Process101,0,1,3,1,2,0,0.48066666666666646
Process101,0,1,3,1,2,1,0.3986666666666665
Process101,0,1,3,1,2,2,0.45733333333333304
Process101,0,1,3,1,2,3,0.48866666666666647
Process101,0,1,3,1,3,0,0.4779999999999998
Process101,0,1,3,1,3,1,0.47533333333333316
Process101,0,1,3,1,3,2,0.45533333333333303
Process101,0,1,3,1,3,3,0.44599999999999973
Process101,0,1,3,2,0,0,0.47933333333333317
Process101,0,1,3,2,0,1,0.45533333333333303
Process101,0,1,3,2,0,2,0.45266666666666644
Process101,0,1,3,2,0,3,0.46199999999999974
Process101,0,1,3,2,1,0,0.4379999999999997
Process101,0,1,3,2,1,1,0.4526666666666665
Process101,0,1,3,2,1,2,0.4359999999999997
Process101,0,1,3,2,1,3,0.4806666666666666
Process101,0,1,3,2,2,0,0.4366666666666664
Process101,0,1,3,2,2,1,0.4453333333333331
Process101,0,1,3,2,2,2,0.45533333333333315
Process101,0,1,3,2,2,3,0.4506666666666664
Process101,0,1,3,2,3,0,0.4519999999999996
Process101,0,1,3,2,3,1,0.46399999999999975
Process101,0,1,3,2,3,2,0.46866666666666634
Process101,0,1,3,2,3,3,0.4673333333333331
Process101,0,1,3,3,0,0,0.46066666666666656
Process101,0,1,3,3,0,1,0.4086666666666665
Process101,0,1,3,3,0,2,0.42599999999999977
Process101,0,1,3,3,0,3,0.43866666666666654
Process101,0,1,3,3,1,0,0.46066666666666645
Process101,0,1,3,3,1,1,0.45399999999999985
Process101,0,1,3,3,1,2,0.4586666666666664
Process101,0,1,3,3,1,3,0.44399999999999973
Process101,0,1,3,3,2,0,0.47466666666666646
Process101,0,1,3,3,2,1,0.46133333333333315
Process101,0,1,3,3,2,2,0.4233333333333331
Process101,0,1,3,3,2,3,0.4073333333333332
Process101,0,1,3,3,3,0,0.4279999999999997
Process101,0,1,3,3,3,1,0.4819999999999999
Process101,0,1,3,3,3,2,0.46933333333333316
Process101,0,1,3,3,3,3,0.40999999999999986
Process101,0,2,0,0,0,0,0.49133333333333334
Process101,0,2,0,0,0,1,0.4993333333333334
Process101,0,2,0,0,0,2,0.4873333333333332
Process101,0,2,0,0,0,3,0.4993333333333335
Process101,0,2,0,0,1,0,0.5026666666666666
Process101,0,2,0,0,1,1,0.48933333333333306
Process101,0,2,0,0,1,2,0.4853333333333334
Process101,0,2,0,0,1,3,0.48199999999999993
Process101,0,2,0,0,2,0,0.5080000000000001
Process101,0,2,0,0,2,1,0.49400000000000005
Process101,0,2,0,0,2,2,0.4919999999999999
Process101,0,2,0,0,2,3,0.4613333333333332
Process101,0,2,0,0,3,0,0.48399999999999993
Process101,0,2,0,0,3,1,0.4973333333333332
Process101,0,2,0,0,3,2,0.4906666666666666
Process101,0,2,0,0,3,3,0.49199999999999994
Process101,0,2,0,1,0,0,0.4946666666666666
Process101,0,2,0,1,0,1,0.4719999999999999
Process101,0,2,0,1,0,2,0.4819999999999997
Process101,0,2,0,1,0,3,0.4459999999999998
Process101,0,2,0,1,1,0,0.4859999999999999
Process101,0,2,0,1,1,1,0.47866666666666646
Process101,0,2,0,1,1,2,0.47266666666666635
Process101,0,2,0,1,1,3,0.476
Process101,0,2,0,1,2,0,0.4573333333333331
Process101,0,2,0,1,2,1,0.45399999999999974
Process101,0,2,0,1,2,2,0.47999999999999987
Process101,0,2,0,1,2,3,0.4526666666666666
Process101,0,2,0,1,3,0,0.48066666666666646
Process101,0,2,0,1,3,1,0.46466666666666645
Process101,0,2,0,1,3,2,0.4786666666666666
Process101,0,2,0,1,3,3,0.4859999999999999
Process101,0,2,0,2,0,0,0.4839999999999999
Process101,0,2,0,2,0,1,0.46999999999999986
Process101,0,2,0,2,0,2,0.47466666666666646
Process101,0,2,0,2,0,3,0.44599999999999984
Process101,0,2,0,2,1,0,0.48133333333333317
Process101,0,2,0,2,1,1,0.4873333333333332
Process101,0,2,0,2,1,2,0.45399999999999974
Process101,0,2,0,2,1,3,0.4726666666666665
Process101,0,2,0,2,2,0,0.46999999999999986
Process101,0,2,0,2,2,1,0.49199999999999977
Process101,0,2,0,2,2,2,0.4666666666666663
Process101,0,2,0,2,2,3,0.456
Process101,0,2,0,2,3,0,0.47333333333333316
Process101,0,2,0,2,3,1,0.3353333333333336
Process101,0,2,0,2,3,2,0.45399999999999985
Process101,0,2,0,2,3,3,0.46133333333333315
Process101,0,2,0,3,0,0,0.45266666666666633
Process101,0,2,0,3,0,1,0.4533333333333329
