model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,0,0,3,2,1,6,0.61682243,0.61682243,0.79325,0.799019608,0.47
Process25,0,0,0,0,3,2,2,7,0.622641509,0.622641509,0.794193007,0.803921569,0.705
Process25,0,0,0,0,3,2,3,8,0.336448598,0.336448598,0.707739454,0.624338624,0
Process25,0,0,0,0,3,3,0,6,0.953271028,0.953271028,0.9675,0.977477477,0.45
Process25,0,0,0,0,3,3,1,7,0.634615385,0.634615385,0.798708514,0.81372549,0.6125
Process25,0,0,0,0,3,3,2,8,0.489795918,0.489795918,0.746840659,0.743589744,0.5625
Process25,0,0,0,0,3,3,3,9,0.435643564,0.435643564,0.730350816,0.704663212,0.395
Process25,0,0,0,1,0,0,0,1,0.71559633,0.71559633,0.770132468,0.836363636,0.565
Process25,0,0,0,1,0,0,1,2,0.554455446,0.554455446,0.7105,0.76076555,0.4975
Process25,0,0,0,1,0,0,2,3,0.365384615,0.365384615,0.649528265,0.645,0.5575
Process25,0,0,0,1,0,0,3,4,0.666666667,0.666666667,0.748789174,0.811059908,0.6375
Process25,0,0,0,1,0,1,0,2,0.87037037,0.87037037,0.849616162,0.916666667,0.7175
Process25,0,0,0,1,0,1,1,3,0.480769231,0.480769231,0.683,0.713592233,0.4925
Process25,0,0,0,1,0,1,2,4,0.698113208,0.698113208,0.760224359,0.830275229,0.58
Process25,0,0,0,1,0,1,3,5,0.603773585,0.603773585,0.721736264,0.779342723,0.6475
Process25,0,0,0,1,0,2,0,3,0.841121495,0.841121495,0.831373518,0.902654867,0.6775
Process25,0,0,0,1,0,2,1,4,0.504672897,0.504672897,0.687968661,0.721153846,0.495
Process25,0,0,0,1,0,2,2,5,0.859813084,0.859813084,0.839969697,0.911894273,0.74
Process25,0,0,0,1,0,2,3,6,0.61682243,0.61682243,0.726051948,0.785046729,0.61
Process25,0,0,0,1,0,3,0,4,0.698113208,0.698113208,0.763246753,0.830275229,0.5325
Process25,0,0,0,1,0,3,1,5,0.615384615,0.615384615,0.725909091,0.788732394,0.4975
Process25,0,0,0,1,0,3,2,6,0.5,0.5,0.686333333,0.724637681,0.525
Process25,0,0,0,1,0,3,3,7,0.514851485,0.514851485,0.6894,0.739130435,0.4825
Process25,0,0,0,1,1,0,0,2,0.690909091,0.690909091,0.755751515,0.821917808,0.69
Process25,0,0,0,1,1,0,1,3,0.785046729,0.785046729,0.801983017,0.874439462,0.7
Process25,0,0,0,1,1,0,2,4,0.461538462,0.461538462,0.675126697,0.702439024,0.4225
Process25,0,0,0,1,1,0,3,5,0.387755102,0.387755102,0.650363451,0.675,0.4425
Process25,0,0,0,1,1,1,0,3,0.851851852,0.851851852,0.843418972,0.907488987,0.6575
Process25,0,0,0,1,1,1,1,4,0.80733945,0.80733945,0.813853147,0.884444444,0.575
Process25,0,0,0,1,1,1,2,5,0.415841584,0.415841584,0.661399542,0.683168317,0.425
Process25,0,0,0,1,1,1,3,6,0.387755102,0.387755102,0.650735462,0.675,0.245
Process25,0,0,0,1,1,2,0,4,0.666666667,0.666666667,0.746448951,0.811059908,0.6725
Process25,0,0,0,1,1,2,1,5,0.481481481,0.481481481,0.680678571,0.70531401,0.4675
Process25,0,0,0,1,1,2,2,6,0.58490566,0.58490566,0.716522028,0.768867925,0.42
Process25,0,0,0,1,1,2,3,7,0.356435644,0.356435644,0.644007326,0.648241206,0.495
Process25,0,0,0,1,1,3,0,5,0.849056604,0.849056604,0.839107143,0.907079646,0.6825
Process25,0,0,0,1,1,3,1,6,0.514285714,0.514285714,0.690245421,0.730769231,0.6425
Process25,0,0,0,1,1,3,2,7,0.346153846,0.346153846,0.641392157,0.633165829,0.5025
Process25,0,0,0,1,1,3,3,8,0.428571429,0.428571429,0.667629181,0.698019802,0.4475
Process25,0,0,0,1,2,0,0,3,0.684684685,0.684684685,0.753151515,0.817351598,0.6875
