model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED,,
Process101,0,0,0,2,0,0,3,5,0.509
Process101,0,0,0,2,0,1,0,3,0.602
Process101,0,0,0,2,0,1,1,4,0.605
Process101,0,0,0,2,0,1,2,5,0.46
Process101,0,0,0,2,0,1,3,6,0.479
Process101,0,0,0,2,0,2,0,4,0.636
Process101,0,0,0,2,0,2,1,5,0.601
Process101,0,0,0,2,0,2,2,6,0.484
Process101,0,0,0,2,0,2,3,7,0.596
Process101,0,0,0,2,0,3,0,5,0.629
Process101,0,0,0,2,0,3,1,6,0.429
Process101,0,0,0,2,0,3,2,7,0.417
Process101,0,0,0,2,0,3,3,8,0.385
Process101,0,0,0,2,1,0,0,3,0.646
Process101,0,0,0,2,1,0,1,4,0.562
Process101,0,0,0,2,1,0,2,5,0.528
Process101,0,0,0,2,1,0,3,6,0.545
Process101,0,0,0,2,1,1,0,4,0.586
Process101,0,0,0,2,1,1,1,5,0.497
Process101,0,0,0,2,1,1,2,6,0.449
Process101,0,0,0,2,1,1,3,7,0.351
Process101,0,0,0,2,1,2,0,5,0.493
Process101,0,0,0,2,1,2,1,6,0.454
Process101,0,0,0,2,1,2,2,7,0.427
Process101,0,0,0,2,1,2,3,8,0.368
Process101,0,0,0,2,1,3,0,6,0.529
Process101,0,0,0,2,1,3,1,7,0.476
Process101,0,0,0,2,1,3,2,8,0.424
Process101,0,0,0,2,1,3,3,9,0.472
Process101,0,0,0,2,2,0,0,4,0.47
Process101,0,0,0,2,2,0,1,5,0.438
Process101,0,0,0,2,2,0,2,6,0.446
Process101,0,0,0,2,2,0,3,7,0.492
Process101,0,0,0,2,2,1,0,5,0.597
Process101,0,0,0,2,2,1,1,6,0.593
Process101,0,0,0,2,2,1,2,7,0.449
Process101,0,0,0,2,2,1,3,8,0.409
Process101,0,0,0,2,2,2,0,6,0.566
Process101,0,0,0,2,2,2,1,7,0.533
Process101,0,0,0,2,2,2,2,8,0.584
Process101,0,0,0,2,2,2,3,9,0.486
Process101,0,0,0,2,2,3,0,7,0.456
Process101,0,0,0,2,2,3,1,8,0.622
Process101,0,0,0,2,2,3,2,9,0.388
Process101,0,0,0,2,2,3,3,10,0.583
Process101,0,0,0,2,3,0,0,5,0.545
Process101,0,0,0,2,3,0,1,6,0.506
Process101,0,0,0,2,3,0,2,7,0.349
Process101,0,0,0,2,3,0,3,8,0.416
Process101,0,0,0,2,3,1,0,6,0.578
Process101,0,0,0,2,3,1,1,7,0.541
Process101,0,0,0,2,3,1,2,8,0.513
Process101,0,0,0,2,3,1,3,9,0.426
Process101,0,0,0,2,3,2,0,7,0.433
Process101,0,0,0,2,3,2,1,8,0.385
Process101,0,0,0,2,3,2,2,9,0.312
Process101,0,0,0,2,3,2,3,10,0.48
Process101,0,0,0,2,3,3,0,8,0.513
Process101,0,0,0,2,3,3,1,9,0.669
Process101,0,0,0,2,3,3,2,10,0.326
Process101,0,0,0,2,3,3,3,11,0.533
Process101,0,0,0,3,0,0,0,3,0.647
Process101,0,0,0,3,0,0,1,4,0.606
Process101,0,0,0,3,0,0,2,5,0.438
Process101,0,0,0,3,0,0,3,6,0.572
Process101,0,0,0,3,0,1,0,4,0.643
Process101,0,0,0,3,0,1,1,5,0.474
Process101,0,0,0,3,0,1,2,6,0.457
Process101,0,0,0,3,0,1,3,7,0.463
Process101,0,0,0,3,0,2,0,5,0.557
Process101,0,0,0,3,0,2,1,6,0.539
Process101,0,0,0,3,0,2,2,7,0.431
Process101,0,0,0,3,0,2,3,8,0.512
Process101,0,0,0,3,0,3,0,6,0.554
Process101,0,0,0,3,0,3,1,7,0.566
Process101,0,0,0,3,0,3,2,8,0.354
Process101,0,0,0,3,0,3,3,9,0.368
Process101,0,0,0,3,1,0,0,4,0.539
Process101,0,0,0,3,1,0,1,5,0.483
Process101,0,0,0,3,1,0,2,6,0.524
Process101,0,0,0,3,1,0,3,7,0.351
Process101,0,0,0,3,1,1,0,5,0.475
Process101,0,0,0,3,1,1,1,6,0.469
Process101,0,0,0,3,1,1,2,7,0.607
Process101,0,0,0,3,1,1,3,8,0.392
Process101,0,0,0,3,1,2,0,6,0.423
Process101,0,0,0,3,1,2,1,7,0.365
Process101,0,0,0,3,1,2,2,8,0.543
Process101,0,0,0,3,1,2,3,9,0.551
Process101,0,0,0,3,1,3,0,7,0.454
Process101,0,0,0,3,1,3,1,8,0.48
Process101,0,0,0,3,1,3,2,9,0.371
Process101,0,0,0,3,1,3,3,10,0.366
Process101,0,0,0,3,2,0,0,5,0.528
Process101,0,0,0,3,2,0,1,6,0.459
Process101,0,0,0,3,2,0,2,7,0.601
Process101,0,0,0,3,2,0,3,8,0.457
Process101,0,0,0,3,2,1,0,6,0.582
Process101,0,0,0,3,2,1,1,7,0.526
Process101,0,0,0,3,2,1,2,8,0.419
