sep=,
model,mutations,GED
Process101,1,6.960000000000002E-4
Process101,1,7.569999999999999E-4
Process101,1,7.809999999999999E-4
Process101,1,7.779999999999996E-4
Process101,1,7.689999999999999E-4
Process101,1,7.899999999999998E-4
Process101,1,7.749999999999998E-4
Process101,1,6.979999999999999E-4
Process101,1,7.719999999999998E-4
Process101,1,7.33E-4
Process101,1,7.24E-4
Process101,1,7.709999999999998E-4
Process101,1,7.839999999999998E-4
Process101,1,7.479999999999999E-4
Process101,1,7.670000000000001E-4
Process101,1,7.220000000000003E-4
Process101,1,7.809999999999997E-4
Process101,1,7.659999999999998E-4
Process101,1,7.480000000000002E-4
Process101,1,7.04E-4
Process101,1,7.170000000000003E-4
Process101,1,6.950000000000001E-4
Process101,1,7.4E-4
Process101,1,7.5E-4
Process101,1,7.599999999999999E-4
Process101,1,7.159999999999998E-4
Process101,1,7.809999999999997E-4
Process101,1,6.790000000000002E-4
Process101,1,7.979999999999997E-4
Process101,1,7.689999999999997E-4
Process101,1,6.600000000000001E-4
Process101,1,7.72E-4
Process101,1,7.479999999999998E-4
Process101,1,6.770000000000001E-4
Process101,1,7.749999999999999E-4
Process101,1,7.129999999999999E-4
Process101,1,7.709999999999999E-4
Process101,1,7.729999999999999E-4
Process101,1,7.659999999999998E-4
Process101,1,6.970000000000001E-4
Process101,1,7.640000000000001E-4
Process101,1,7.869999999999998E-4
Process101,1,7.979999999999996E-4
Process101,1,7.689999999999999E-4
Process101,1,7.52E-4
Process101,1,7.230000000000003E-4
Process101,1,7.719999999999998E-4
Process101,1,6.810000000000001E-4
Process101,1,6.660000000000001E-4
Process101,1,7.849999999999998E-4
Process101,2,7.829999999999996E-4
Process101,2,7.4E-4
Process101,2,7.42E-4
Process101,2,6.19E-4
Process101,2,7.010000000000001E-4
Process101,2,6.820000000000002E-4
Process101,2,7.42E-4
Process101,2,7.529999999999998E-4
Process101,2,6.640000000000001E-4
Process101,2,7.489999999999998E-4
Process101,2,7.979999999999998E-4
Process101,2,7.18E-4
Process101,2,5.780000000000003E-4
Process101,2,7.510000000000001E-4
Process101,2,7.130000000000001E-4
Process101,2,7.6E-4
Process101,2,7.14E-4
Process101,2,7.499999999999998E-4
Process101,2,7.070000000000001E-4
Process101,2,7.51E-4
