sep=,
model,mutations,GED
Process101,1,0.62
Process101,1,0.72
Process101,1,0.7199999999999999
Process101,1,0.75
Process101,1,0.6300000000000001
Process101,1,0.755
Process101,1,0.6199999999999999
Process101,1,0.6499999999999999
Process101,1,0.51
Process101,1,0.585
Process101,1,0.7
Process101,1,0.7
Process101,1,0.725
Process101,1,0.6449999999999998
Process101,1,0.7
Process101,1,0.57
Process101,1,0.6399999999999999
Process101,1,0.7100000000000001
Process101,1,0.745
Process101,1,0.6950000000000001
Process101,1,0.72
Process101,1,0.685
Process101,1,0.7050000000000001
Process101,1,0.7500000000000001
Process101,1,0.67
Process101,1,0.6400000000000001
Process101,1,0.6100000000000001
Process101,1,0.645
Process101,1,0.7050000000000001
Process101,1,0.705
Process101,1,0.755
Process101,1,0.7
Process101,1,0.7150000000000001
Process101,1,0.605
Process101,1,0.7550000000000001
Process101,1,0.6099999999999999
Process101,1,0.75
Process101,1,0.7
Process101,1,0.5449999999999999
Process101,1,0.7450000000000001
Process101,1,0.72
Process101,1,0.685
Process101,1,0.6799999999999999
Process101,1,0.59
Process101,1,0.8
Process101,1,0.73
Process101,1,0.73
Process101,1,0.6799999999999999
Process101,1,0.62
Process101,1,0.7249999999999999
Process101,2,0.6699999999999999
Process101,2,0.6699999999999999
Process101,2,0.6849999999999999
Process101,2,0.775
Process101,2,0.69
Process101,2,0.655
Process101,2,0.605
Process101,2,0.7850000000000001
Process101,2,0.775
Process101,2,0.72
Process101,2,0.79
Process101,2,0.69
Process101,2,0.6
Process101,2,0.6199999999999999
Process101,2,0.63
Process101,2,0.6649999999999999
Process101,2,0.6399999999999999
Process101,2,0.74
Process101,2,0.6649999999999999
Process101,2,0.6199999999999999
Process101,2,0.6300000000000001
Process101,2,0.6100000000000001
Process101,2,0.6600000000000001
Process101,2,0.685
Process101,2,0.705
Process101,2,0.73
Process101,2,0.7150000000000001
Process101,2,0.59
Process101,2,0.73
Process101,2,0.7050000000000001
Process101,2,0.6299999999999999
Process101,2,0.64
Process101,2,0.585
Process101,2,0.635
Process101,2,0.7450000000000001
Process101,2,0.7050000000000001
Process101,2,0.6599999999999999
Process101,2,0.6749999999999999
Process101,2,0.6100000000000001
Process101,2,0.5900000000000001
Process101,2,0.6699999999999999
Process101,2,0.56
Process101,2,0.655
Process101,2,0.5750000000000002
Process101,2,0.655
Process101,2,0.495
Process101,2,0.585
Process101,2,0.6849999999999999
Process101,2,0.645
Process101,2,0.6950000000000001
Process101,3,0.73
Process101,3,0.495
Process101,3,0.525
Process101,3,0.5800000000000001
Process101,3,0.675
Process101,3,0.62
Process101,3,0.6599999999999999
Process101,3,0.56
Process101,3,0.655
Process101,3,0.705
Process101,3,0.6100000000000001
Process101,3,0.7449999999999999
Process101,3,0.71
Process101,3,0.5999999999999999
Process101,3,0.5700000000000001
Process101,3,0.585
Process101,3,0.675
Process101,3,0.71
Process101,3,0.76
Process101,3,0.6849999999999998
Process101,3,0.645
Process101,3,0.565
Process101,3,0.5599999999999998
Process101,3,0.6300000000000001
Process101,3,0.615
Process101,3,0.54
Process101,3,0.6900000000000001
Process101,3,0.33999999999999997
Process101,3,0.7050000000000001
Process101,3,0.7100000000000001
Process101,3,0.655
Process101,3,0.74
Process101,3,0.7350000000000001
Process101,3,0.7150000000000001
Process101,3,0.6499999999999999
Process101,3,0.635
Process101,3,0.65
Process101,3,0.605
Process101,3,0.6549999999999999
Process101,3,0.6600000000000001
Process101,3,0.755
Process101,3,0.735
Process101,3,0.5850000000000001
Process101,3,0.65
Process101,3,0.6400000000000001
Process101,3,0.6100000000000001
Process101,3,0.635
Process101,3,0.76
Process101,3,0.685
Process101,3,0.63
Process101,4,0.655
Process101,4,0.6499999999999999
Process101,4,0.625
Process101,4,0.43500000000000005
Process101,4,0.5549999999999999
Process101,4,0.57
Process101,4,0.645
Process101,4,0.75
Process101,4,0.675
Process101,4,0.6500000000000001
Process101,4,0.6549999999999999
Process101,4,0.5
Process101,4,0.615
Process101,4,0.675
Process101,4,0.685
Process101,4,0.44999999999999996
Process101,4,0.5899999999999999
Process101,4,0.66
Process101,4,0.665
Process101,4,0.52
Process101,4,0.585
Process101,4,0.49500000000000005
Process101,4,0.65
Process101,4,0.535
Process101,4,0.5349999999999999
Process101,4,0.6649999999999999
Process101,4,0.695
Process101,4,0.6699999999999999
Process101,4,0.69
Process101,4,0.67
Process101,4,0.51
Process101,4,0.42499999999999993
Process101,4,0.575
Process101,4,0.51
Process101,4,0.635
Process101,4,0.565
Process101,4,0.55
Process101,4,0.605
Process101,4,0.6449999999999999
Process101,4,0.5599999999999998
Process101,4,0.6799999999999999
Process101,4,0.615
Process101,4,0.6549999999999999
Process101,4,0.545
Process101,4,0.635
Process101,4,0.56
Process101,4,0.69
Process101,4,0.735
Process101,4,0.6699999999999999
Process101,4,0.5750000000000001
Process101,5,0.635
Process101,5,0.635
Process101,5,0.6699999999999999
Process101,5,0.5499999999999999
Process101,5,0.5700000000000001
Process101,5,0.78
Process101,5,0.54
Process101,5,0.6099999999999999
Process101,5,0.6
Process101,5,0.6699999999999999
Process101,5,0.595
Process101,5,0.615
Process101,5,0.63
Process101,5,0.685
Process101,5,0.585
Process101,5,0.51
Process101,5,0.6
Process101,5,0.38500000000000006
