Step,GED,BehavioralProfile
1,1.0,0.9889006342494715
2,1.0,0.9862579281183932
3,1.0,0.985200845665962
4,1.0,0.9889006342494715
5,1.0,0.9804439746300211
6,1.0,0.9867864693446089
7,1.0,0.9825581395348837
8,1.0,0.9778012684989429
9,1.0,0.9704016913319239
10,1.0,0.9862579281183932
11,1.0,0.983615221987315
12,1.0,0.9867864693446089
13,1.0,0.9751585623678647
14,1.0,0.9915433403805497
15,1.0,0.9883720930232558
16,1.0,0.9867864693446089
17,1.0,0.9862579281183932
18,1.0,0.9878435517970402
19,1.0,0.9841437632135307
20,1.0,0.9846723044397463
21,1.0,0.9899577167019028
22,1.0,0.9793868921775899
23,1.0,0.9825581395348837
24,1.0,0.9846723044397463
25,1.0,0.9476744186046512
26,1.0,0.9756871035940803
27,1.0,0.9867864693446089
28,1.0,0.9778012684989429
29,1.0,0.976215644820296
30,1.0,0.9513742071881607
31,1.0,0.9899577167019028
32,1.0,0.9582452431289641
33,1.0,0.9778012684989429
34,1.0,0.9957716701902748
35,1.0,0.9619450317124736
36,1.0,0.9862579281183932
37,1.0,0.9862579281183932
38,1.0,0.9587737843551797
39,1.0,0.9656448202959831
40,1.0,0.9556025369978859
41,1.0,0.9889006342494715
42,1.0,0.9846723044397463
43,1.0,0.992600422832981
44,1.0,0.9820295983086681
45,1.0,0.9804439746300211
46,1.0,0.9677589852008457
47,1.0,0.9841437632135307
48,1.0,0.9550739957716702
49,1.0,0.9730443974630021
50,1.0,0.9788583509513742
51,1.0,0.9804439746300211
52,1.0,0.9793868921775899
53,1.0,0.991014799154334
54,1.0,0.9846723044397463
55,1.0,0.9894291754756871
56,1.0,0.9645877378435518
57,1.0,0.9799154334038055
58,1.0,0.9941860465116279
59,1.0,0.9778012684989429
60,1.0,0.9873150105708245
61,1.0,0.9815010570824524
62,1.0,0.9127906976744186
63,1.0,0.985200845665962
64,1.0,0.9799154334038055
65,1.0,0.9873150105708245
66,1.0,0.9889006342494715
67,1.0,0.9883720930232558
68,1.0,0.9830866807610994
69,1.0,0.9651162790697675
70,1.0,0.9867864693446089
71,1.0,0.983615221987315
72,1.0,0.9783298097251586
73,1.0,0.9878435517970402
74,1.0,0.991014799154334
75,1.0,0.9529598308668076
76,1.0,0.9778012684989429
77,1.0,0.983615221987315
78,1.0,0.9904862579281184
79,1.0,0.9867864693446089
