Step,GED,BehavioralProfile
1,1.0,1.0
2,0.9734513274336283,0.8792756539235412
3,0.9401709401709402,0.6881889763779527
4,0.9166666666666666,0.6129032258064516
5,0.9016393442622951,0.548306148055207
6,0.8661417322834646,0.44455747711088506
7,0.8661417322834646,0.44455747711088506
8,0.8461538461538461,0.40276497695852537
9,0.8372093023255813,0.40276497695852537
10,0.8059701492537313,0.18776595744680852
11,0.7883211678832117,0.18194911185789725
12,0.7883211678832117,0.18194911185789725
