Step,GED,LCS,BehavioralProfile
1,1.0,0.8903125000000001,0.9901960784313726
2,0.9685534591194969,0.8659374999999998,0.9967320261437909
3,0.9647058823529412,0.8520743034055719,0.9970760233918129
4,0.9777777777777777,0.8862368421052622,0.9904761904761905
5,0.983957219251337,0.8949404761904767,0.9913419913419913
6,0.9693877551020408,0.9130952380952368,0.9169960474308301
7,1.0,0.9149999999999984,0.9916666666666667
8,0.9805825242718447,0.9057683982683966,0.9966666666666667
9,0.9952153110047847,0.9151190476190457,0.9938461538461538
10,0.9719626168224299,0.4107629870129869,0.10153846153846154
11,0.9775784753363229,0.4225714285714286,0.8233618233618234
12,0.9955947136563876,0.389609126984127,0.9272486772486772
