Step,GED,BehavioralProfile
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,0.990990990990991,1.0
8,0.990990990990991,1.0
9,0.990990990990991,1.0
10,0.990990990990991,1.0
11,0.990990990990991,1.0
12,0.990990990990991,1.0
13,0.9821428571428571,1.0
14,0.9734513274336283,0.0196078431372549
15,0.9821428571428571,1.0
16,0.9734513274336283,1.0
17,0.9734513274336283,1.0
18,0.9734513274336283,1.0
19,0.9734513274336283,1.0
20,0.9649122807017544,1.0
21,0.9649122807017544,1.0
22,0.9649122807017544,1.0
23,0.9649122807017544,1.0
24,0.9734513274336283,1.0
25,0.9649122807017544,1.0
26,0.9649122807017544,1.0
27,0.9649122807017544,1.0
28,0.9649122807017544,1.0
29,0.9649122807017544,1.0
30,0.9649122807017544,1.0
31,0.9565217391304348,1.0
32,0.9565217391304348,1.0
33,0.9482758620689655,1.0
34,0.9482758620689655,1.0
35,0.9482758620689655,1.0
36,0.9482758620689655,1.0
37,0.9482758620689655,1.0
38,0.9482758620689655,1.0
39,0.9482758620689655,1.0
40,0.9401709401709402,1.0
41,0.9401709401709402,1.0
42,0.9322033898305084,1.0
43,0.9322033898305084,1.0
44,0.9322033898305084,1.0
45,0.9322033898305084,1.0
46,0.9243697478991597,1.0
47,0.9166666666666666,1.0
48,0.9166666666666666,1.0
49,0.9166666666666666,1.0
50,0.9166666666666666,1.0
51,0.9166666666666666,1.0
52,0.9166666666666666,1.0
53,0.9090909090909091,1.0
54,0.9090909090909091,1.0
55,0.9016393442622951,1.0
56,0.9016393442622951,1.0
57,0.9016393442622951,1.0
58,0.8943089430894309,1.0
59,0.8943089430894309,1.0
60,0.8943089430894309,1.0
61,0.8943089430894309,1.0
62,0.8943089430894309,1.0
63,0.8943089430894309,1.0
64,0.8870967741935484,1.0
65,0.88,1.0
66,0.873015873015873,1.0
67,0.873015873015873,1.0
68,0.873015873015873,1.0
69,0.873015873015873,1.0
70,0.88,1.0
71,0.88,1.0
72,0.873015873015873,1.0
73,0.873015873015873,1.0
74,0.873015873015873,1.0
75,0.873015873015873,1.0
76,0.873015873015873,1.0
77,0.873015873015873,1.0
78,0.873015873015873,1.0
79,0.873015873015873,1.0
80,0.8661417322834646,1.0
81,0.8661417322834646,1.0
82,0.8661417322834646,1.0
83,0.8661417322834646,1.0
84,0.8661417322834646,1.0
85,0.8661417322834646,1.0
86,0.8661417322834646,1.0
87,0.859375,1.0
88,0.859375,1.0
89,0.859375,1.0
90,0.859375,1.0
91,0.859375,1.0
92,0.859375,1.0
93,0.859375,1.0
94,0.859375,1.0
95,0.859375,1.0
96,0.859375,1.0
97,0.859375,1.0
98,0.859375,1.0
99,0.859375,1.0
100,0.859375,1.0
101,0.8527131782945736,1.0
102,0.8661417322834646,1.0
103,0.8527131782945736,1.0
104,0.8461538461538461,1.0
105,0.8461538461538461,1.0
106,0.8461538461538461,1.0
107,0.8396946564885497,1.0
108,0.8396946564885497,1.0
109,0.8461538461538461,1.0
110,0.8461538461538461,1.0
111,0.8461538461538461,1.0
112,0.8461538461538461,1.0
113,0.8461538461538461,1.0
114,0.8461538461538461,1.0
115,0.8396946564885497,1.0
116,0.8396946564885497,1.0
117,0.8333333333333334,1.0
118,0.8333333333333334,1.0
119,0.8333333333333334,1.0
120,0.8333333333333334,1.0
121,0.8333333333333334,1.0
122,0.8333333333333334,1.0
123,0.8333333333333334,1.0
124,0.8270676691729324,0.2679738562091503
