Step,GED,LCS
1,0.987012987,0.5925
2,0.974358974,0.495
3,0.962025316,0.5525
4,0.95,0.4775
5,0.938271605,0.405
6,0.915662651,0.4975
7,0.904761905,0.205
8,0.904761905,0.3775
9,0.894117647,0.295
10,0.88372093,0.3
