model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,,GED-Similarity
Process25,0,0,0,1,2,2,2,7,0.40776699
Process25,0,0,0,1,2,2,3,8,0.373831776
Process25,0,0,0,1,2,3,0,6,0.833333333
Process25,0,0,0,1,2,3,1,7,0.754716981
Process25,0,0,0,1,2,3,2,8,0.383838384
Process25,0,0,0,1,2,3,3,9,0.291666667
Process25,0,0,0,1,3,0,0,4,0.892857143
Process25,0,0,0,1,3,0,1,5,0.522522523
Process25,0,0,0,1,3,0,2,6,0.589285714
Process25,0,0,0,1,3,0,3,7,0.363636364
Process25,0,0,0,1,3,1,0,5,0.666666667
Process25,0,0,0,1,3,1,1,6,0.532110092
Process25,0,0,0,1,3,1,2,7,0.542056075
Process25,0,0,0,1,3,1,3,8,0.373831776
Process25,0,0,0,1,3,2,0,6,0.80733945
Process25,0,0,0,1,3,2,1,7,0.461538462
Process25,0,0,0,1,3,2,2,8,0.345454545
Process25,0,0,0,1,3,2,3,9,0.557692308
Process25,0,0,0,1,3,3,0,7,0.685185185
Process25,0,0,0,1,3,3,1,8,0.654205607
Process25,0,0,0,1,3,3,2,9,0.513761468
Process25,0,0,0,1,3,3,3,10,0.446601942
Process25,0,0,0,2,0,0,0,2,0.818181818
Process25,0,0,0,2,0,0,1,3,0.563106796
Process25,0,0,0,2,0,0,2,4,0.475247525
Process25,0,0,0,2,0,0,3,5,0.444444444
Process25,0,0,0,2,0,1,0,3,0.678899083
Process25,0,0,0,2,0,1,1,4,0.642201835
Process25,0,0,0,2,0,1,2,5,0.587155963
Process25,0,0,0,2,0,1,3,6,0.3
Process25,0,0,0,2,0,2,0,4,0.833333333
Process25,0,0,0,2,0,2,1,5,0.5
Process25,0,0,0,2,0,2,2,6,0.641509434
Process25,0,0,0,2,0,2,3,7,0.365384615
Process25,0,0,0,2,0,3,0,5,0.654205607
Process25,0,0,0,2,0,3,1,6,0.514285714
Process25,0,0,0,2,0,3,2,7,0.388349515
Process25,0,0,0,2,0,3,3,8,0.323809524
Process25,0,0,0,2,1,0,0,3,0.522522523
Process25,0,0,0,2,1,0,1,4,0.576576577
Process25,0,0,0,2,1,0,2,5,0.522522523
Process25,0,0,0,2,1,0,3,6,0.259259259
Process25,0,0,0,2,1,1,0,4,0.781818182
Process25,0,0,0,2,1,1,1,5,0.461538462
Process25,0,0,0,2,1,1,2,6,0.236363636
Process25,0,0,0,2,1,1,3,7,0.274509804
Process25,0,0,0,2,1,2,0,5,0.733944954
Process25,0,0,0,2,1,2,1,6,0.385321101
Process25,0,0,0,2,1,2,2,7,0.440366972
Process25,0,0,0,2,1,2,3,8,0.388349515
Process25,0,0,0,2,1,3,0,6,0.777777778
Process25,0,0,0,2,1,3,1,7,0.333333333
Process25,0,0,0,2,1,3,2,8,0.5
Process25,0,0,0,2,1,3,3,9,0.444444444
Process25,0,0,0,2,2,0,0,4,0.738738739
Process25,0,0,0,2,2,0,1,5,0.517857143
Process25,0,0,0,2,2,0,2,6,0.545454545
Process25,0,0,0,2,2,0,3,7,0.46728972
Process25,0,0,0,2,2,1,0,5,0.666666667
Process25,0,0,0,2,2,1,1,6,0.540540541
Process25,0,0,0,2,2,1,2,7,0.414414414
Process25,0,0,0,2,2,1,3,8,0.423076923
Process25,0,0,0,2,2,2,0,6,0.660550459
Process25,0,0,0,2,2,2,1,7,0.381818182
Process25,0,0,0,2,2,2,2,8,0.550458716
Process25,0,0,0,2,2,2,3,9,0.490196078
Process25,0,0,0,2,2,3,0,7,0.777777778
Process25,0,0,0,2,2,3,1,8,0.490566038
Process25,0,0,0,2,2,3,2,9,0.411214953
Process25,0,0,0,2,2,3,3,10,0.547169811
Process25,0,0,0,2,3,0,0,5,0.642857143
Process25,0,0,0,2,3,0,1,6,0.535714286
Process25,0,0,0,2,3,0,2,7,0.432432432
Process25,0,0,0,2,3,0,3,8,0.411764706
Process25,0,0,0,2,3,1,0,6,0.589285714
Process25,0,0,0,2,3,1,1,7,0.470588235
Process25,0,0,0,2,3,1,2,8,0.545454545
Process25,0,0,0,2,3,1,3,9,0.3
Process25,0,0,0,2,3,2,0,7,0.774774775
Process25,0,0,0,2,3,2,1,8,0.540540541
Process25,0,0,0,2,3,2,2,9,0.396226415
Process25,0,0,0,2,3,2,3,10,0.217821782
Process25,0,0,0,2,3,3,0,8,0.47706422
Process25,0,0,0,2,3,3,1,9,0.384615385
Process25,0,0,0,2,3,3,2,10,0.425925926
Process25,0,0,0,2,3,3,3,11,0.245283019
Process25,0,0,0,3,0,0,0,3,0.378378378
Process25,0,0,0,3,0,0,1,4,0.495238095
Process25,0,0,0,3,0,0,2,5,0.293577982
Process25,0,0,0,3,0,0,3,6,0.299065421
Process25,0,0,0,3,0,1,0,4,0.545454545
Process25,0,0,0,3,0,1,1,5,0.381818182
Process25,0,0,0,3,0,1,2,6,0.327272727
Process25,0,0,0,3,0,1,3,7,0.291262136
Process25,0,0,0,3,0,2,0,5,0.605504587
Process25,0,0,0,3,0,2,1,6,0.485981308
Process25,0,0,0,3,0,2,2,7,0.285714286
Process25,0,0,0,3,0,2,3,8,0.242424242
Process25,0,0,0,3,0,3,0,6,0.5
Process25,0,0,0,3,0,3,1,7,0.666666667
Process25,0,0,0,3,0,3,2,8,0.320754717
Process25,0,0,0,3,0,3,3,9,0.407407407
Process25,0,0,0,3,1,0,0,4,0.625
Process25,0,0,0,3,1,0,1,5,0.375
Process25,0,0,0,3,1,0,2,6,0.495412844
Process25,0,0,0,3,1,0,3,7,0.290909091
Process25,0,0,0,3,1,1,0,5,0.432432432
Process25,0,0,0,3,1,1,1,6,0.579439252
Process25,0,0,0,3,1,1,2,7,0.381818182
Process25,0,0,0,3,1,1,3,8,0.330275229
Process25,0,0,0,3,1,2,0,6,0.509090909
Process25,0,0,0,3,1,2,1,7,0.411764706
Process25,0,0,0,3,1,2,2,8,0.41509434
Process25,0,0,0,3,1,2,3,9,0.433962264
Process25,0,0,0,3,1,3,0,7,0.568807339
Process25,0,0,0,3,1,3,1,8,0.458715596
Process25,0,0,0,3,1,3,2,9,0.385321101
Process25,0,0,0,3,1,3,3,10,0.196078431
Process25,0,0,0,3,2,0,0,5,0.637168142
Process25,0,0,0,3,2,0,1,6,0.707964602
Process25,0,0,0,3,2,0,2,7,0.576576577
Process25,0,0,0,3,2,0,3,8,0.438095238
Process25,0,0,0,3,2,1,0,6,0.589285714
Process25,0,0,0,3,2,1,1,7,0.527272727
Process25,0,0,0,3,2,1,2,8,0.403669725
Process25,0,0,0,3,2,1,3,9,0.410714286
Process25,0,0,0,3,2,2,0,7,0.540540541
Process25,0,0,0,3,2,2,1,8,0.537037037
Process25,0,0,0,3,2,2,2,9,0.47706422
Process25,0,0,0,3,2,2,3,10,0.297029703
Process25,0,0,0,3,2,3,0,8,0.490909091
Process25,0,0,0,3,2,3,1,9,0.458715596
Process25,0,0,0,3,2,3,2,10,0.422018349
Process25,0,0,0,3,2,3,3,11,0.327272727
Process25,0,0,0,3,3,0,0,6,0.561403509
Process25,0,0,0,3,3,0,1,7,0.403508772
Process25,0,0,0,3,3,0,2,8,0.345454545
Process25,0,0,0,3,3,0,3,9,0.288461538
Process25,0,0,0,3,3,1,0,7,0.725663717
Process25,0,0,0,3,3,1,1,8,0.672566372
Process25,0,0,0,3,3,1,2,9,0.36036036
Process25,0,0,0,3,3,1,3,10,0.345454545
Process25,0,0,0,3,3,2,0,8,0.517857143
Process25,0,0,0,3,3,2,1,9,0.517857143
Process25,0,0,0,3,3,2,2,10,0.486486486
Process25,0,0,0,3,3,2,3,11,0.342342342
Process25,0,0,0,3,3,3,0,9,0.486486486
Process25,0,0,0,3,3,3,1,10,0.612612613
Process25,0,0,0,3,3,3,2,11,0.320754717
Process25,0,0,0,3,3,3,3,12,0.414414414
Process25,0,0,1,0,0,0,0,1,0.92
Process25,0,0,1,0,0,0,1,2,0.693069307
Process25,0,0,1,0,0,0,2,3,0.579439252
Process25,0,0,1,0,0,0,3,4,0.549019608
Process25,0,0,1,0,0,1,0,2,0.941176471
Process25,0,0,1,0,0,1,1,3,0.64
Process25,0,0,1,0,0,1,2,4,0.66
Process25,0,0,1,0,0,1,3,5,0.346938776
Process25,0,0,1,0,0,2,0,3,0.961538462
Process25,0,0,1,0,0,2,1,4,0.707070707
Process25,0,0,1,0,0,2,2,5,0.525252525
Process25,0,0,1,0,0,2,3,6,0.444444444
Process25,0,0,1,0,0,3,0,4,0.886597938
Process25,0,0,1,0,0,3,1,5,0.673469388
Process25,0,0,1,0,0,3,2,6,0.571428571
Process25,0,0,1,0,0,3,3,7,0.395833333
Process25,0,0,1,0,1,0,0,2,0.942307692
Process25,0,0,1,0,1,0,1,3,0.646464646
Process25,0,0,1,0,1,0,2,4,0.356435644
Process25,0,0,1,0,1,0,3,5,0.659793814
Process25,0,0,1,0,1,1,0,3,0.952380952
Process25,0,0,1,0,1,1,1,4,0.659574468
Process25,0,0,1,0,1,1,2,5,0.453608247
Process25,0,0,1,0,1,1,3,6,0.391752577
Process25,0,0,1,0,1,2,0,4,0.952380952
Process25,0,0,1,0,1,2,1,5,0.571428571
Process25,0,0,1,0,1,2,2,6,0.516853933
Process25,0,0,1,0,1,2,3,7,0.421052632
Process25,0,0,1,0,1,3,0,5,0.942307692
Process25,0,0,1,0,1,3,1,6,0.734693878
Process25,0,0,1,0,1,3,2,7,0.297029703
Process25,0,0,1,0,1,3,3,8,0.714285714
Process25,0,0,1,0,2,0,0,3,0.962962963
Process25,0,0,1,0,2,0,1,4,0.745098039
Process25,0,0,1,0,2,0,2,5,0.288659794
Process25,0,0,1,0,2,0,3,6,0.404255319
Process25,0,0,1,0,2,1,0,4,0.912621359
Process25,0,0,1,0,2,1,1,5,0.56
Process25,0,0,1,0,2,1,2,6,0.408163265
Process25,0,0,1,0,2,1,3,7,0.36
Process25,0,0,1,0,2,2,0,5,0.912621359
Process25,0,0,1,0,2,2,1,6,0.640776699
Process25,0,0,1,0,2,2,2,7,0.685714286
Process25,0,0,1,0,2,2,3,8,0.52
Process25,0,0,1,0,2,3,0,6,0.891089109
Process25,0,0,1,0,2,3,1,7,0.693877551
Process25,0,0,1,0,2,3,2,8,0.622641509
Process25,0,0,1,0,2,3,3,9,0.589473684
Process25,0,0,1,0,3,0,0,4,0.914285714
Process25,0,0,1,0,3,0,1,5,0.494845361
Process25,0,0,1,0,3,0,2,6,0.60952381
Process25,0,0,1,0,3,0,3,7,0.29787234
Process25,0,0,1,0,3,1,0,5,0.914285714
Process25,0,0,1,0,3,1,1,6,0.759259259
Process25,0,0,1,0,3,1,2,7,0.693069307
Process25,0,0,1,0,3,1,3,8,0.442105263
Process25,0,0,1,0,3,2,0,6,0.903846154
Process25,0,0,1,0,3,2,1,7,0.530612245
Process25,0,0,1,0,3,2,2,8,0.416666667
Process25,0,0,1,0,3,2,3,9,0.307692308
Process25,0,0,1,0,3,3,0,7,0.882352941
Process25,0,0,1,0,3,3,1,8,0.449438202
Process25,0,0,1,0,3,3,2,9,0.520833333
Process25,0,0,1,0,3,3,3,10,0.23655914
Process25,0,0,1,1,0,0,0,2,0.770833333
Process25,0,0,1,1,0,0,1,3,0.76635514
Process25,0,0,1,1,0,0,2,4,0.416666667
Process25,0,0,1,1,0,0,3,5,0.315789474
Process25,0,0,1,1,0,1,0,3,0.723809524
Process25,0,0,1,1,0,1,1,4,0.5625
Process25,0,0,1,1,0,1,2,5,0.435643564
Process25,0,0,1,1,0,1,3,6,0.423076923
Process25,0,0,1,1,0,2,0,4,0.67961165
Process25,0,0,1,1,0,2,1,5,0.588235294
Process25,0,0,1,1,0,2,2,6,0.42
Process25,0,0,1,1,0,2,3,7,0.446601942
Process25,0,0,1,1,0,3,0,5,0.633663366
Process25,0,0,1,1,0,3,1,6,0.367346939
Process25,0,0,1,1,0,3,2,7,0.343434343
Process25,0,0,1,1,0,3,3,8,0.304761905
Process25,0,0,1,1,1,0,0,3,0.762886598
Process25,0,0,1,1,1,0,1,4,0.621359223
Process25,0,0,1,1,1,0,2,5,0.255319149
Process25,0,0,1,1,1,0,3,6,0.510638298
Process25,0,0,1,1,1,1,0,4,0.76
Process25,0,0,1,1,1,1,1,5,0.476190476
Process25,0,0,1,1,1,1,2,6,0.392156863
Process25,0,0,1,1,1,1,3,7,0.604166667
Process25,0,0,1,1,1,2,0,5,0.84
Process25,0,0,1,1,1,2,1,6,0.67961165
Process25,0,0,1,1,1,2,2,7,0.356435644
Process25,0,0,1,1,1,2,3,8,0.294736842
Process25,0,0,1,1,1,3,0,6,0.588235294
Process25,0,0,1,1,1,3,1,7,0.529411765
Process25,0,0,1,1,1,3,2,8,0.417582418
Process25,0,0,1,1,1,3,3,9,0.301075269
Process25,0,0,1,1,2,0,0,4,0.822429907
Process25,0,0,1,1,2,0,1,5,0.514285714
Process25,0,0,1,1,2,0,2,6,0.792079208
Process25,0,0,1,1,2,0,3,7,0.346938776
Process25,0,0,1,1,2,1,0,5,0.815533981
Process25,0,0,1,1,2,1,1,6,0.520833333
Process25,0,0,1,1,2,1,2,7,0.336448598
Process25,0,0,1,1,2,1,3,8,0.403846154
Process25,0,0,1,1,2,2,0,6,0.851851852
Process25,0,0,1,1,2,2,1,7,0.634615385
Process25,0,0,1,1,2,2,2,8,0.429906542
Process25,0,0,1,1,2,2,3,9,0.484848485
Process25,0,0,1,1,2,3,0,7,0.849056604
Process25,0,0,1,1,2,3,1,8,0.484848485
Process25,0,0,1,1,2,3,2,9,0.326530612
Process25,0,0,1,1,2,3,3,10,0.351648352
Process25,0,0,1,1,3,0,0,5,0.747474747
Process25,0,0,1,1,3,0,1,6,0.592592593
Process25,0,0,1,1,3,0,2,7,0.376237624
Process25,0,0,1,1,3,0,3,8,0.4375
Process25,0,0,1,1,3,1,0,6,0.679245283
Process25,0,0,1,1,3,1,1,7,0.699029126
Process25,0,0,1,1,3,1,2,8,0.582524272
Process25,0,0,1,1,3,1,3,9,0.523364486
Process25,0,0,1,1,3,2,0,7,0.776699029
Process25,0,0,1,1,3,2,1,8,0.563106796
Process25,0,0,1,1,3,2,2,9,0.466019417
Process25,0,0,1,1,3,2,3,10,0.252631579
Process25,0,0,1,1,3,3,0,8,0.752475248
Process25,0,0,1,1,3,3,1,9,0.494845361
Process25,0,0,1,1,3,3,2,10,0.329896907
Process25,0,0,1,1,3,3,3,11,0.226804124
Process25,0,0,1,2,0,0,0,3,0.718446602
Process25,0,0,1,2,0,0,1,4,0.40776699
Process25,0,0,1,2,0,0,2,5,0.563106796
Process25,0,0,1,2,0,0,3,6,0.408163265
Process25,0,0,1,2,0,1,0,4,0.673267327
Process25,0,0,1,2,0,1,1,5,0.618556701
Process25,0,0,1,2,0,1,2,6,0.4375
Process25,0,0,1,2,0,1,3,7,0.270833333
Process25,0,0,1,2,0,2,0,5,0.652631579
Process25,0,0,1,2,0,2,1,6,0.455445545
Process25,0,0,1,2,0,2,2,7,0.455445545
Process25,0,0,1,2,0,2,3,8,0.283018868
Process25,0,0,1,2,0,3,0,6,0.534653465
Process25,0,0,1,2,0,3,1,7,0.463157895
Process25,0,0,1,2,0,3,2,8,0.62
Process25,0,0,1,2,0,3,3,9,0.254901961
Process25,0,0,1,2,1,0,0,4,0.642201835
Process25,0,0,1,2,1,0,1,5,0.568627451
Process25,0,0,1,2,1,0,2,6,0.490196078
Process25,0,0,1,2,1,0,3,7,0.4
Process25,0,0,1,2,1,1,0,5,0.62962963
Process25,0,0,1,2,1,1,1,6,0.660194175
Process25,0,0,1,2,1,1,2,7,0.365384615
