Metric,Sudden,Gradual,Seasonal,Incremental
GED,0.08,1.0,0.0,2.98
CNE,0.08,1.0,0.0,2.98
JaccardDist,0.08,1.0,0.0,2.62
DumbDist,1.0,1.0,1.0,1.0
