model,GED,CNE,Jaccard
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.6837606837606838,0.6837606837606838,0.7738924731182797
Process101,0.6554621848739496,0.6554621848739496,0.7390442890442891
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6554621848739496,0.6554621848739496,0.7390442890442891
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.6554621848739496,0.6554621848739496,0.7431923616355595
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.6722689075630253,0.6722689075630253,0.7451522435897436
Process101,0.6722689075630253,0.6722689075630253,0.7451522435897436
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6722689075630253,0.6722689075630253,0.7451522435897436
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6722689075630253,0.6722689075630253,0.7451522435897436
Process101,0.6554621848739496,0.6554621848739496,0.7390442890442891
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.6333333333333333,0.6333333333333333,0.735421100638492
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.6666666666666667,0.6666666666666666,0.7443946678321679
Process101,0.5882352941176471,0.5882352941176471,0.6530570652173913
Process101,0.540983606557377,0.5409836065573771,0.6226044624746451
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5619834710743802,0.5619834710743802,0.6294978448275863
Process101,0.540983606557377,0.5409836065573771,0.6226044624746451
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.578512396694215,0.5785123966942148,0.6319145114942529
Process101,0.540983606557377,0.5409836065573771,0.6226044624746451
Process101,0.5619834710743802,0.5619834710743802,0.6254740276920364
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.540983606557377,0.5409836065573771,0.6226044624746451
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.5619834710743802,0.5619834710743802,0.6254740276920364
Process101,0.5573770491803278,0.5573770491803278,0.6254740276920364
Process101,0.5737704918032787,0.5737704918032787,0.6306361024033438
Process101,0.578512396694215,0.5785123966942148,0.6310890009540685
Process101,0.5528455284552846,0.5528455284552846,0.5679076883845467
Process101,0.5555555555555556,0.5555555555555556,0.5763257575757575
Process101,0.5511811023622047,0.5511811023622047,0.5751225490196079
Process101,0.5555555555555556,0.5555555555555556,0.5755754475703325
Process101,0.5511811023622047,0.5511811023622047,0.5751225490196079
Process101,0.5511811023622047,0.5511811023622047,0.5751225490196079
Process101,0.5511811023622047,0.5511811023622047,0.5751225490196079
Process101,0.546875,0.546875,0.5751225490196079
Process101,0.5555555555555556,0.5555555555555556,0.5755754475703325
Process101,0.5196850393700787,0.5196850393700787,0.5672857142857143
Process101,0.5511811023622047,0.5511811023622047,0.5751225490196079
Process101,0.5511811023622047,0.5511811023622047,0.5751225490196079
Process101,0.5396825396825398,0.5396825396825397,0.5701552795031056
Process101,0.5511811023622047,0.5511811023622047,0.5751225490196079
Process101,0.5396825396825398,0.5396825396825397,0.5701552795031056
