model,GED,CNE,Jaccard
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435
Process101,0.8833333333333333,0.8833333333333333,0.8806666666666667
Process101,0.8617886178861789,0.8617886178861789,0.8451943319838058
Process101,0.8095238095238095,0.8095238095238095,0.7995421245421246
Process101,0.7906976744186046,0.7906976744186046,0.769955300127714
Process101,0.7633587786259541,0.7633587786259542,0.7425082101806241
Process101,0.7462686567164178,0.746268656716418,0.716896551724138
Process101,0.7352941176470589,0.7352941176470589,0.6958974358974359
Process101,0.6906474820143884,0.6906474820143885,0.6635008640552995
Process101,0.676056338028169,0.676056338028169,0.6427899686520376
Process101,0.6620689655172414,0.6620689655172414,0.6233333333333333
Process101,0.6394557823129252,0.6394557823129252,0.6051470588235295
Process101,0.6,0.6,0.5798179271708683
Process101,0.5882352941176471,0.5882352941176471,0.5637537537537538
Process101,0.5769230769230769,0.5769230769230769,0.54855579263474
Process101,0.5569620253164558,0.5569620253164557,0.5291301169590644
Process101,0.5465838509316769,0.546583850931677,0.5156195595219986
Process101,0.5365853658536586,0.5365853658536586,0.5027819548872181
Process101,0.5029940119760479,0.5029940119760479,0.4844955654101996
Process101,0.49411764705882355,0.49411764705882355,0.47303135888501746
Process101,0.48554913294797686,0.48554913294797686,0.462097356637296
Process101,0.4772727272727273,0.4772727272727273,0.4516575952498763
Process101,0.4692737430167597,0.4692737430167598,0.441679292929293
Process101,0.4530386740331491,0.4530386740331492,0.42842687747035574
Process101,0.44565217391304346,0.44565217391304346,0.41937004589069676
Process101,0.4408602150537635,0.44086021505376344,0.41142369991474853
Process101,0.43386243386243384,0.43386243386243384,0.40306665219279203
Process101,0.42708333333333337,0.4270833333333333,0.3950424528301887
Process101,0.42051282051282046,0.4205128205128205,0.3873315993063893
Process101,0.41414141414141414,0.41414141414141414,0.37991608391608395
Process101,0.40796019900497515,0.4079601990049751,0.3727792532107183
Process101,0.40394088669950734,0.4039408866995074,0.36601880518289187
Process101,0.3902439024390244,0.3902439024390244,0.35639082751744766
Process101,0.3846153846153846,0.38461538461538464,0.3500549450549451
Process101,0.37914691943127965,0.3791469194312796,0.3439405039043635
Process101,0.3551401869158879,0.35514018691588783,0.33418420659799974
Process101,0.3502304147465438,0.35023041474654376,0.32855062046004846
Process101,0.34545454545454546,0.34545454545454546,0.32310391363022944
Process101,0.34080717488789236,0.34080717488789236,0.31783493499152066
Process101,0.33628318584070793,0.336283185840708,0.3127351215491705
Process101,0.3318777292576419,0.3318777292576419,0.307796451914099
Process101,0.32900432900432897,0.329004329004329,0.30336306653809064
Process101,0.32478632478632474,0.3247863247863248,0.29871453231200784
Process101,0.32067510548523204,0.3206751054852321,0.2942063492063492
Process101,0.31666666666666665,0.31666666666666665,0.2898322537838975
Process101,0.31275720164609055,0.31275720164609055,0.28558634992458526
Process101,0.29268292682926833,0.2926829268292683,0.2783278086652519
Process101,0.28915662650602414,0.2891566265060241,0.2743697478991597
Process101,0.2857142857142857,0.2857142857142857,0.2705227167735628
Process101,0.2823529411764706,0.2823529411764706,0.2667821067821068
Process101,0.2790697674418605,0.27906976744186046,0.26314356105017883
Process101,0.27692307692307694,0.27692307692307694,0.25984638484638484
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27692307692307694,0.27692307692307694,0.25984638484638484
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.27586206896551724,0.27586206896551724,0.2596029573877675
Process101,0.2692307692307693,0.2692307692307692,0.2575297392462885
