baseline-sim, discover-sim,
0.13,0.639545455,132
1,0.639545455,115
0.998137536,0.639545455,
0.99739255,0.639545455,
0.995914286,0.639545455,
0.995198864,0.639545455,
0.995568182,0.639545455,
0.9959375,0.639545455,
0.995185185,0.639545455,
0.994460227,0.639545455,
0.994814815,0.639545455,
0.994460227,0.639545455,
0.995555556,0.639545455,
0.995530086,0.639545455,
0.994444444,0.639545455,
0.994090909,0.639545455,
0.995542857,0.639545455,
0.996275072,0.639545455,
0.995925926,0.639545455,
0.993371105,0.639545455,
0.994460227,0.639545455,
0.995185185,0.639545455,
0.994460227,0.639545455,
0.994475921,0.639545455,
0.994090909,0.639545455,
0.994090909,0.639545455,
0.995171429,0.639545455,
0.994460227,0.639545455,
0.995185185,0.639545455,
0.993739377,0.639545455,
0.994444444,0.639545455,
0.991111111,0.639545455,
0.994444444,0.639545455,
0.994460227,0.639545455,
0.994460227,0.639545455,
0.994444444,0.639545455,
0.9948,0.639545455,
0.994074074,0.639545455,
0.994814815,0.639545455,
0.995542857,0.639545455,
0.994814815,0.639545455,
0.995914286,0.639545455,
0.994814815,0.639545455,
0.994074074,0.639545455,
0.994460227,0.639545455,
0.994829545,0.639545455,
0.994460227,0.639545455,
0.994107649,0.639545455,
0.994814815,0.639545455,
0.995542857,0.639545455,
0.995171429,0.639545455,
0.995171429,0.639545455,
0.993721591,0.639545455,
0.994460227,0.639545455,
0.995185185,0.639545455,
0.995914286,0.639545455,
0.995171429,0.639545455,
0.994444444,0.639545455,
0.994814815,0.639545455,
0.994814815,0.639545455,
0.995914286,0.639545455,
0.996296296,0.639545455,
0.995555556,0.639545455,
0.994814815,0.639545455,
0.995530086,0.639545455,
0.9948,0.639545455,
0.994428571,0.639545455,
0.994090909,0.639545455,
0.994090909,0.639545455,
0.986529,0.639545455,
0.986529,0.639545455,
0.995914286,0.639545455,
0.994460227,0.639545455,
0.994829545,0.639545455,
0.994444444,0.639545455,
0.994444444,0.639545455,
0.994460227,0.639545455,
0.993721591,0.639545455,
0.994829545,0.639545455,
0.995925926,0.639545455,
0.994090909,0.639545455,
0.993739377,0.639545455,
0.994814815,0.639545455,
0.995542857,0.639545455,
0.995542857,0.639545455,
0.996275072,0.639545455,
0.995542857,0.639545455,
0.9948,0.639545455,
0.995902579,0.639545455,
0.994090909,0.639545455,
0.994090909,0.639545455,
0.9948,0.639545455,
0.996275072,0.639545455,
0.994814815,0.639545455,
0.995171429,0.639545455,
0.994444444,0.639545455,
0.995185185,0.639545455,
0.994814815,0.639545455,
0.994444444,0.639545455,
0.995542857,0.639545455,
0.995542857,0.639545455,
0.993739377,0.639545455,
0.993371105,0.639545455,
0.994074074,0.639545455,
0.993721591,0.639545455,
0.994107649,0.639545455,
0.994107649,0.639545455,
0.994090909,0.639545455,
0.994444444,0.639545455,
