baseline-sim, discover-sim,,baseline-sim,
0.100454545,0.100454545,23,0.100454545,115
0.161363636,0.161363636,132,0.161363636,
0.157272727,0.157272727,,0.16012987,
0.252727273,0.252727273,,0.190584416,
0.221038961,0.221038961,,0.243636364,
0.213181818,0.213181818,,0.243636364,
0.213181818,0.213181818,,0.243636364,
0.243636364,0.243636364,,0.274090909,
0.304545455,0.304545455,,0.274090909,
0.304545455,0.304545455,,0.274090909,
0.304545455,0.304545455,,0.304545455,
0.335,0.335,,0.335,
0.335,0.335,,0.365454545,
0.335,0.335,,0.365454545,
0.365454545,0.365454545,,0.365454545,
0.365454545,0.365454545,,0.395909091,
0.365454545,0.365454545,,0.434220779,
0.426363636,0.426363636,,0.426363636,
0.426363636,0.426363636,,0.456818182,
0.426363636,0.426363636,,0.456818182,
0.426363636,0.426363636,,0.456818182,
0.456818182,0.456818182,,0.456818182,
0.456818182,0.456818182,,0.456818182,
0.456818182,0.456818182,,0.456818182,
0.456818182,0.456818182,,0.517727273,
0.456818182,0.456818182,,0.517727273,
0.456818182,0.456818182,,0.517727273,
0.456818182,0.456818182,,0.517727273,
0.456818182,0.456818182,,0.517727273,
0.487272727,0.487272727,,0.517727273,
0.517727273,0.517727273,,0.517727273,
0.517727273,0.517727273,,0.517727273,
0.517727273,0.517727273,,0.517727273,
0.517727273,0.517727273,,0.517727273,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.548181818,
0.517727273,0.517727273,,0.578636364,
0.517727273,0.517727273,,0.578636364,
0.517727273,0.517727273,,0.578636364,
0.517727273,0.517727273,,0.578636364,
0.517727273,0.517727273,,0.578636364,
0.548181818,0.548181818,,0.578636364,
0.548181818,0.548181818,,0.578636364,
0.548181818,0.548181818,,0.578636364,
0.548181818,0.548181818,,0.578636364,
0.548181818,0.548181818,,0.578636364,
0.548181818,0.548181818,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.578636364,0.578636364,,0.578636364,
0.647402597,0.647402597,,0.578636364,
0.647402597,0.647402597,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.578636364,
0.67,0.67,,0.609090909,
0.67,0.67,,0.609090909,
0.67,0.67,,0.609090909,
0.67,0.67,,0.609090909,
0.67,0.67,,0.609090909,
0.67,0.67,,0.609090909,
0.67,0.67,,0.639545455,
0.99933162,0.67,,0.639545455,
0.997346939,0.67,,0.639545455,
0.997672634,0.67,,0.639545455,
0.998663239,0.67,,0.639545455,
0.997015306,0.67,,0.67,
0.996692112,0.67,,0.67,
0.997015306,0.67,,0.67,
0.997346939,0.67,,0.67,
0.989781278,0.67,,0.67,
0.998,0.67,,0.67,
0.997333333,0.67,,0.67,
0.996020408,0.67,,0.67,
0.991697259,0.67,,0.67,
0.989449645,0.67,,0.67,
0.988495047,0.67,,0.67,
0.992689625,0.67,,0.67,
0.991533447,0.67,,0.67,
0.991533447,0.67,,0.67,
0.991853205,0.67,,0.67,
0.991853205,0.67,,0.67,
0.991520724,0.67,,0.67,
0.990884527,0.67,,0.67,
0.985277778,0.67,,0.67,
0.988899794,0.67,,0.67,
0.989212018,0.67,,0.67,
0.988569005,0.67,,0.67,
0.989525839,0.67,,0.67,
0.989525839,0.67,,0.640869565,
0.989507937,0.67,,0.614166667,
0.988548753,0.67,,0.614166667,
0.989525839,0.67,,0.614166667,
0.989193359,0.67,,0.614166667,
0.989212018,0.67,,0.614166667,
0.990174603,0.67,,0.5896,
0.989212018,0.67,,0.566923077,
0.988548753,0.67,,0.566923077,
0.989193359,0.67,,0.566923077,
0.987907428,0.67,,0.545925926,
0.987907428,0.67,,0.545925926,
0.988880385,0.67,,0.545925926,
0.989212018,0.67,,0.545925926,
0.988548753,0.67,,0.526428571,
0.988238216,0.67,,0.508275862,
0.988548753,0.67,,0.508275862,
0.988238216,0.67,,0.508275862,
0.988589155,0.67,,0.491333333,
0.988569005,0.67,,0.475483871,
0.988569005,0.67,,0.475483871,
0.988238216,0.67,,0.460625,
0.988880385,0.67,,0.460625,
0.946851186,0.640869565,,0.433529412,
0.845630326,0.566923077,,0.421142857,
0.66183306,0.526428571,,0.421142857,
0.662232908,0.526428571,,0.398378378,
0.76899645,0.508275862,,0.387894737,
0.744393206,0.491333333,,0.387894737,
0.718552076,0.475483871,,0.377948718,
0.677868762,0.446666667,,0.377948718,
0.657928752,0.433529412,,0.3685,
0.640801527,0.421142857,,0.3685,
0.635628978,0.421142857,,0.3685,
0.609582802,0.398378378,,0.359512195,
0.608064756,0.398378378,,0.359512195,
0.608126217,0.398378378,,0.350952381,
0.592666919,0.387894737,,0.342790698,
0.586828856,0.387894737,,0.342790698,
0.571818011,0.377948718,,0.342790698,
0.558809413,0.3685,,0.342790698,
0.559555243,0.3685,,0.335,
0.560552856,0.3685,,0.335,
0.560397049,0.3685,,0.335,
0.547957562,0.359512195,,0.335,
0.549796609,0.359512195,,0.327555556,
0.548181662,0.359512195,,0.327555556,
0.53799952,0.350952381,,0.320434783,
0.537884375,0.350952381,,0.320434783,
0.537023025,0.350952381,,0.320434783,
0.534241345,0.350952381,,0.320434783,
0.535494846,0.350952381,,0.320434783,
0.523707517,0.342790698,,0.320434783,
0.522535336,0.342790698,,0.320434783,
0.522568222,0.342790698,,0.320434783,
0.523253544,0.342790698,,0.320434783,
0.522228045,0.342790698,,0.320434783,
0.520428279,0.342790698,,0.320434783,
0.519930196,0.342790698,,0.320434783,
0.519498496,0.342790698,,0.320434783,
0.520948794,0.342790698,,0.320434783,
0.519508576,0.342790698,,0.320434783,
0.509821637,0.335,,0.320434783,
0.500681602,0.327555556,,0.320434783,
0.492075878,0.320434783,,0.320434783,
0.491995924,0.320434783,,0.320434783,
0.490909369,0.320434783,,0.320434783,
0.490487145,0.320434783,,0.320434783,
0.490567388,0.320434783,,0.320434783,
0.489943762,0.320434783,,0.320434783,
0.489820884,0.320434783,,0.320434783,
0.489540588,0.320434783,,0.320434783,
0.489495587,0.320434783,,0.320434783,
0.999240977,0.320434783,,0.999522059,
0.998759279,0.320434783,,0.999045621,
0.998964968,0.320434783,,0.999045621,
0.99862069,0.320434783,,0.998977451,
0.998413793,0.320434783,,0.998909853,
0.998139905,0.320434783,,0.998977987,
0.997866596,0.320434783,,0.998774227,
0.998412108,0.320434783,,0.998465399,
0.994915182,0.320434783,,0.998774227,
0.994643584,0.320434783,,0.998638743,
0.972859295,0.313617021,,0.998909853,
0.972732133,0.313617021,,0.998909853,
0.972412571,0.313617021,,0.999006617,
0.972758844,0.313617021,,0.995478603,
0.972403685,0.313617021,,0.995238728,
0.971099914,0.313617021,,0.9950323,
0.97144765,0.313617021,,0.99340908,
0.971027288,0.313617021,,0.991683763,
0.97076856,0.313617021,,0.993068052,
0.970636981,0.313617021,,0.992863435,
0.970444338,0.313617021,,0.991035127,
0.970373823,0.313617021,,0.990933894,
0.949865394,0.307083333,,0.991000597,
0.94962138,0.307083333,,0.990593044,
0.949788092,0.307083333,,0.968891254,
0.949425568,0.307083333,,0.968826254,
0.949299903,0.307083333,,0.967518807,
0.948194012,0.307083333,,0.947183439,
0.948005333,0.307083333,,0.948304578,
0.947879546,0.307083333,,0.948125226,
0.947990348,0.307083333,,0.947829119,
0.928287776,0.300816327,,0.947829119,
0.92794656,0.300816327,,0.94787666,
0.929217487,0.300816327,,0.94788815,
0.910394927,0.2948,,0.947763688,
0.910455472,0.2948,,0.947529646,
0.910302729,0.2948,,0.94610586,
0.910302729,0.2948,,0.945973961,
0.910026704,0.2948,,0.945600756,
0.90991166,0.2948,,0.945484147,
0.90980842,0.2948,,0.945834307,
0.909830548,0.2948,,0.945619891,
0.909772975,0.2948,,0.945207829,
0.908455579,0.2948,,0.945378688,
0.908340433,0.2948,,0.945129765,
0.908064623,0.2948,,0.945238423,
0.908052568,0.2948,,0.945059547,
0.908139195,0.2948,,0.944799102,
0.907726792,0.2948,,0.944782896,
0.907784339,0.2948,,0.94226012,
0.907772182,0.2948,,0.944569688,
0.907945745,0.2948,,0.944159328,
0.907624499,0.2948,,0.944258535,
0.907406542,0.2948,,0.944106465,
0.907303822,0.2948,,0.924616939,
0.9072463,0.2948,,0.92341541,
0.906983712,0.2948,,0.923345443,
0.90686877,0.2948,,0.923384133,
0.907093868,0.2948,,0.923275411,
0.907011233,0.2948,,0.922998743,
0.90679344,0.2948,,0.92283085,
0.906690935,0.2948,,0.922858363,
0.906690935,0.2948,,0.922486373,
0.90679344,0.2948,,0.922403505,
0.906883475,0.2948,,0.922333074,
0.906870902,0.2948,,0.922177646,
0.906755603,0.2948,,0.921950414,
0.906550445,0.2948,,0.921950414,
0.906569942,0.2948,,0.921712209,
0.90632005,0.2948,,0.921593107,
0.906249609,0.2948,,0.921641441,
0.906179106,0.2948,,0.921354903,
0.906063807,0.2948,,0.92117625,
0.905757125,0.2948,,0.921164814,
0.9054956,0.2948,,0.918843107,
0.905526833,0.2948,,0.918723896,
0.905833208,0.2948,,0.918520271,
0.905660259,0.2948,,0.90029804,
0.90551367,0.2948,,0.899107938,
0.905531788,0.2948,,0.899050946,
0.903142842,0.2948,,0.898993953,
0.902925441,0.2948,,0.900258752,
0.902810142,0.2948,,0.900100657,
0.902796791,0.2948,,0.899784883,
0.902739115,0.2948,,0.899627203,
0.902644954,0.2948,,0.899426144,
0.902675842,0.2948,,0.899513218,
0.902560338,0.2948,,0.899469662,
0.902516075,0.2948,,0.899499795,
0.902502586,0.2948,,0.899543402,
0.902271578,0.2948,,0.899556812,
0.902257974,0.2948,,0.899403761,
0.902462047,0.2948,,0.899203054,
0.90211199,0.2948,,0.899045965,
0.902010245,0.2948,,0.899032376,
0.901749376,0.2948,,0.899005163,
0.901387725,0.2948,,0.898948221,
0.901677889,0.2948,,0.899000285,
0.901721741,0.2948,,0.899000285,
0.901691726,0.2948,,0.898829308,
