model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process113,0,0,0,0,0,0,0,0,1,1,1,1,0.4225,GED,-0.438659237
Process113,0,0,0,0,0,0,1,1,0.902439024,0.902439024,0.804005602,0.975522693,0.4025,CNE,-0.438659237
Process113,0,0,0,0,0,0,2,2,0.829268293,0.829268293,0.855,0.956767885,0.3,Jaccard,-0.564309905
Process113,0,0,0,0,0,0,3,3,0.853658537,0.853658537,0.863695652,0.963057978,0.345,WGED,-0.370157949
Process113,0,0,0,0,0,1,0,1,0.993865031,0.993865031,0.996470588,0.998486377,0.3475,LCS,-0.396932342
Process113,0,0,0,0,0,1,1,2,0.957055215,0.957055215,0.977333333,0.98935631,0.3725,,
Process113,0,0,0,0,0,1,2,3,0.858895706,0.858895706,0.933026316,0.964597229,0.335,,
Process113,0,0,0,0,0,1,3,4,0.797546012,0.797546012,0.7216,0.948810755,0.3375,,
Process113,0,0,0,0,0,2,0,2,0.987654321,0.987654321,0.991803922,0.996968166,0.3475,,
Process113,0,0,0,0,0,2,1,3,0.888888889,0.888888889,0.821052632,0.972378517,0.33,,
Process113,0,0,0,0,0,2,2,4,0.888888889,0.888888889,0.9405,0.972378517,0.365,,
Process113,0,0,0,0,0,2,3,5,0.728395062,0.728395062,0.700737179,0.931106472,0.315,,
Process113,0,0,0,0,0,3,0,3,0.98136646,0.98136646,0.98827451,0.995445344,0.3575,,
Process113,0,0,0,0,0,3,1,4,0.943396226,0.943396226,0.964791667,0.986252546,0.3075,,
Process113,0,0,0,0,0,3,2,5,0.830188679,0.830188679,0.767818459,0.958182757,0.3475,,
Process113,0,0,0,0,0,3,3,6,0.893081761,0.893081761,0.941578947,0.973872951,0.4025,,
Process113,0,0,0,0,1,0,0,1,0.993939394,0.993939394,0.965,0.998488665,0.3425,,
Process113,0,0,0,0,1,0,1,2,0.896969697,0.896969697,0.84047619,0.973992861,0.3425,,
Process113,0,0,0,0,1,0,2,3,0.824242424,0.824242424,0.763181818,0.955223881,0.3525,,
Process113,0,0,0,0,1,0,3,4,0.824242424,0.824242424,0.836376812,0.955223881,0.3025,,
Process113,0,0,0,0,1,1,0,2,0.987804878,0.987804878,0.952,0.996972755,0.36,,
Process113,0,0,0,0,1,1,1,3,0.963414634,0.963414634,0.936875,0.990890688,0.325,,
Process113,0,0,0,0,1,1,2,4,0.87804878,0.87804878,0.895952381,0.969309463,0.3275,,
Process113,0,0,0,0,1,1,3,5,0.780487805,0.780487805,0.756881159,0.94407043,0.3425,,
Process113,0,0,0,0,1,2,0,3,0.981595092,0.981595092,0.948470588,0.995452249,0.3725,,
Process113,0,0,0,0,1,2,1,4,0.895705521,0.895705521,0.863253968,0.973953013,0.3175,,
Process113,0,0,0,0,1,2,2,5,0.883435583,0.883435583,0.94147343,0.97084399,0.3225,,
Process113,0,0,0,0,1,2,3,6,0.846625767,0.846625767,0.884253623,0.961459404,0.325,,
Process113,0,0,0,0,1,3,0,4,0.98136646,0.98136646,0.98827451,0.995445344,0.3275,,
Process113,0,0,0,0,1,3,1,5,0.925925926,0.925925926,0.85124871,0.981670061,0.3825,,
Process113,0,0,0,0,1,3,2,6,0.857142857,0.857142857,0.929244851,0.964542652,0.3075,,
Process113,0,0,0,0,1,3,3,7,0.802469136,0.802469136,0.830987179,0.950361944,0.355,,
Process113,0,0,0,0,2,0,0,2,0.993939394,0.993939394,0.965,0.998488665,0.38,,
Process113,0,0,0,0,2,0,1,3,0.945454545,0.945454545,0.967923977,0.986315256,0.3475,,
Process113,0,0,0,0,2,0,2,4,0.812121212,0.812121212,0.794,0.952061856,0.2875,,
Process113,0,0,0,0,2,0,3,5,0.891566265,0.891566265,0.904637681,0.972463029,0.34,,
Process113,0,0,0,0,2,1,0,3,0.987804878,0.987804878,0.930625,0.996972755,0.34,,
Process113,0,0,0,0,2,1,1,4,0.951219512,0.951219512,0.970897833,0.987835783,0.345,,
Process113,0,0,0,0,2,1,2,5,0.895705521,0.895705521,0.795859649,0.973953013,0.36,,
Process113,0,0,0,0,2,1,3,6,0.804878049,0.804878049,0.791541502,0.950438823,0.3575,,
Process113,0,0,0,0,2,2,0,4,0.981595092,0.981595092,0.956803922,0.995452249,0.38,,
Process113,0,0,0,0,2,2,1,5,0.93902439,0.93902439,0.922777778,0.984771574,0.33,,
Process113,0,0,0,0,2,2,2,6,0.817073171,0.817073171,0.770833333,0.953608247,0.3525,,
Process113,0,0,0,0,2,2,3,7,0.792682927,0.792682927,0.786195652,0.947259566,0.2975,,
Process113,0,0,0,0,2,3,0,5,0.969325153,0.969325153,0.950333333,0.992408907,0.385,,
Process113,0,0,0,0,2,3,1,6,0.864197531,0.864197531,0.775674603,0.96613648,0.3225,,
Process113,0,0,0,0,2,3,2,7,0.785276074,0.785276074,0.720869565,0.945624029,0.3525,,
Process113,0,0,0,0,2,3,3,8,0.748466258,0.748466258,0.747748049,0.936004162,0.3425,,
Process113,0,0,0,0,3,0,0,3,0.987951807,0.987951807,0.921666667,0.99697733,0.3425,,
Process113,0,0,0,0,3,0,1,4,0.946107784,0.946107784,0.897916667,0.986336032,0.31,,
Process113,0,0,0,0,3,0,2,5,0.927710843,0.927710843,0.928529412,0.981725888,0.345,,
Process113,0,0,0,0,3,0,3,6,0.843373494,0.843373494,0.891758893,0.959979477,0.3525,,
Process113,0,0,0,0,3,1,0,4,0.981818182,0.981818182,0.918137255,0.995459132,0.3475,,
Process113,0,0,0,0,3,1,1,5,0.945454545,0.945454545,0.936875,0.986315256,0.3225,,
Process113,0,0,0,0,3,1,2,6,0.909090909,0.909090909,0.917368421,0.977087576,0.3175,,
Process113,0,0,0,0,3,1,3,7,0.855421687,0.855421687,0.9314,0.963114754,0.3075,,
Process113,0,0,0,0,3,2,0,5,0.975609756,0.975609756,0.913470588,0.993936331,0.345,,
Process113,0,0,0,0,3,2,1,6,0.944785276,0.944785276,0.936085526,0.986294416,0.3175,,
Process113,0,0,0,0,3,2,2,7,0.860606061,0.860606061,0.835285714,0.964651639,0.34,,
Process113,0,0,0,0,3,2,3,8,0.682926829,0.682926829,0.694067321,0.91819612,0.305,,
Process113,0,0,0,0,3,3,0,6,0.969325153,0.969325153,0.940012255,0.992408907,0.3625,,
Process113,0,0,0,0,3,3,1,7,0.841463415,0.841463415,0.835526316,0.95991778,0.305,,
