sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,CNE,Jaccard,W-GED,LCS
Process101,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.7525000000000001
Process101,0,0,0,0,0,0,1,0.9298245614035088,0.9298245614035088,0.9756666666666667,0.9830148619957537,0.7300000000000001
Process101,0,0,0,0,0,0,2,0.8392857142857143,0.8392857142857143,0.9476018099547512,0.9612903225806452,0.7225000000000001
Process101,0,0,0,0,0,0,3,0.7192982456140351,0.7192982456140351,0.9159874608150471,0.9302832244008714,0.4575
Process101,0,0,0,0,0,1,0,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9978902953586498,0.6149999999999998
Process101,0,0,0,0,0,1,1,0.8672566371681416,0.8672566371681416,0.9519764705882354,0.9678800856531049,0.6050000000000001
Process101,0,0,0,0,0,1,2,0.831858407079646,0.831858407079646,0.941923076923077,0.9591397849462365,0.6599999999999999
Process101,0,0,0,0,0,1,3,0.6306306306306306,0.6306306306306306,0.9042424242424243,0.9094922737306843,0.5349999999999999
Process101,0,0,0,0,0,2,0,0.9821428571428571,0.9821428571428571,0.9942857142857143,0.9957716701902748,0.7300000000000001
Process101,0,0,0,0,0,2,1,0.9107142857142857,0.9107142857142857,0.9650815217391304,0.9786780383795309,0.6925
Process101,0,0,0,0,0,2,2,0.7678571428571428,0.7678571428571429,0.9256111111111112,0.9436008676789588,0.5125
Process101,0,0,0,0,0,2,3,0.7321428571428572,0.7321428571428571,0.9224014336917563,0.934640522875817,0.5974999999999999
Process101,0,0,0,0,0,3,0,0.972972972972973,0.972972972972973,0.9871428571428572,0.9936440677966102,0.5699999999999998
Process101,0,0,0,0,0,3,1,0.8468468468468469,0.8468468468468469,0.9471764705882353,0.9634408602150537,0.6275
Process101,0,0,0,0,0,3,2,0.8807339449541285,0.8807339449541285,0.9537228260869566,0.9721030042918455,0.5275
Process101,0,0,0,0,0,3,3,0.7567567567567568,0.7567567567567568,0.9267293233082707,0.941304347826087,0.5974999999999999
Process101,0,0,0,0,1,0,0,0.991304347826087,0.991304347826087,0.93,0.9978947368421053,0.7800000000000001
Process101,0,0,0,0,1,0,1,0.8869565217391304,0.8869565217391304,0.8902941176470589,0.9722814498933902,0.6174999999999999
Process101,0,0,0,0,1,0,2,0.817391304347826,0.8173913043478261,0.8100809716599191,0.9548387096774194,0.6549999999999998
Process101,0,0,0,0,1,0,3,0.6956521739130435,0.6956521739130435,0.9139583333333334,0.9235807860262009,0.52
Process101,0,0,0,0,1,1,0,0.9911504424778761,0.9911504424778761,0.9971428571428572,0.9978902953586498,0.7300000000000001
Process101,0,0,0,0,1,1,1,0.8849557522123894,0.8849557522123894,0.9609000000000001,0.9722222222222222,0.6500000000000001
Process101,0,0,0,0,1,1,2,0.8421052631578947,0.8421052631578947,0.8180995475113122,0.9613733905579399,0.6624999999999999
Process101,0,0,0,0,1,1,3,0.6491228070175439,0.6491228070175439,0.7763636363636364,0.9120879120879121,0.5499999999999999
Process101,0,0,0,0,1,2,0,0.9734513274336283,0.9734513274336283,0.9918181818181819,0.9936575052854123,0.6475
Process101,0,0,0,0,1,2,1,0.8495575221238938,0.8495575221238938,0.9480995475113123,0.9635193133047211,0.5974999999999999
Process101,0,0,0,0,1,2,2,0.8623853211009174,0.8623853211009175,0.8241666666666667,0.967741935483871,0.6249999999999998
Process101,0,0,0,0,1,2,3,0.5663716814159292,0.5663716814159292,0.7611304347826088,0.8911111111111111,0.51
Process101,0,0,0,0,1,3,0,0.9642857142857143,0.9642857142857143,0.984952380952381,0.9915254237288136,0.6975
Process101,0,0,0,0,1,3,1,0.8214285714285714,0.8214285714285714,0.8134841628959277,0.9568965517241379,0.6475
Process101,0,0,0,0,1,3,2,0.8990825688073394,0.8990825688073395,0.9634090909090909,0.9764453961456103,0.6349999999999998
Process101,0,0,0,0,1,3,3,0.6607142857142857,0.6607142857142857,0.7739580209895053,0.9164835164835164,0.45000000000000007
Process101,0,0,0,0,2,0,0,0.991304347826087,0.991304347826087,0.8700000000000001,0.9978947368421053,0.7375
Process101,0,0,0,0,2,0,1,0.8793103448275862,0.8793103448275862,0.7602941176470589,0.9701492537313433,0.6875
Process101,0,0,0,0,2,0,2,0.8070175438596492,0.8070175438596491,0.81,0.9525862068965517,0.635
Process101,0,0,0,0,2,0,3,0.782608695652174,0.782608695652174,0.8013333333333333,0.9460043196544277,0.6374999999999998
Process101,0,0,0,0,2,1,0,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9978902953586498,0.7775000000000001
