model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,
Process101,0,0,0,0,0,0,0,0,1,1,1,1,0.75,-0.758077827
Process101,0,0,0,0,0,0,1,1,0.929824561,0.929824561,0.975666667,0.983014862,0.7675,
Process101,0,0,0,0,0,0,2,2,0.824561404,0.824561404,0.942222222,0.956989247,0.6675,
Process101,0,0,0,0,0,0,3,3,0.649122807,0.649122807,0.902956989,0.912087912,0.5975,
Process101,0,0,0,0,0,1,0,1,0.991150442,0.991150442,0.995,0.997890295,0.72,
Process101,0,0,0,0,0,1,1,2,0.902654867,0.902654867,0.963125,0.976545842,0.5875,
Process101,0,0,0,0,0,1,2,3,0.882882883,0.882882883,0.957033248,0.972162741,0.6075,
Process101,0,0,0,0,0,1,3,4,0.761061947,0.761061947,0.925857143,0.94143167,0.675,
Process101,0,0,0,0,0,2,0,2,0.982142857,0.982142857,0.994285714,0.99577167,0.7575,
Process101,0,0,0,0,0,2,1,3,0.857142857,0.857142857,0.949576471,0.965665236,0.5825,
Process101,0,0,0,0,0,2,2,4,0.821428571,0.821428571,0.940392157,0.956896552,0.63,
Process101,0,0,0,0,0,2,3,5,0.785714286,0.785714286,0.932857143,0.948051948,0.5275,
Process101,0,0,0,0,0,3,0,3,0.972972973,0.972972973,0.987142857,0.993644068,0.6725,
Process101,0,0,0,0,0,3,1,4,0.864864865,0.864864865,0.949347826,0.967811159,0.595,
Process101,0,0,0,0,0,3,2,5,0.756756757,0.756756757,0.922111111,0.941304348,0.5125,
Process101,0,0,0,0,0,3,3,6,0.770642202,0.770642202,0.927165992,0.945652174,0.485,
Process101,0,0,0,0,1,0,0,1,0.991304348,0.991304348,0.87,0.997894737,0.7475,
Process101,0,0,0,0,1,0,1,2,0.964285714,0.964285714,0.984952381,0.991525424,0.6675,
Process101,0,0,0,0,1,0,2,3,0.836363636,0.836363636,0.950192308,0.961206897,0.7,
Process101,0,0,0,0,1,0,3,4,0.782608696,0.782608696,0.803157895,0.94600432,0.585,
Process101,0,0,0,0,1,1,0,2,0.991150442,0.991150442,0.997142857,0.997890295,0.7525,
Process101,0,0,0,0,1,1,1,3,0.912280702,0.912280702,0.897112299,0.978723404,0.68,
Process101,0,0,0,0,1,1,2,4,0.842105263,0.842105263,0.879909502,0.961373391,0.71,
Process101,0,0,0,0,1,1,3,5,0.738738739,0.738738739,0.92384755,0.936819172,0.6375,
Process101,0,0,0,0,1,2,0,3,0.973451327,0.973451327,0.922142857,0.993657505,0.71,
Process101,0,0,0,0,1,2,1,4,0.867256637,0.867256637,0.951388889,0.967880086,0.4975,
Process101,0,0,0,0,1,2,2,5,0.814159292,0.814159292,0.869615385,0.954741379,0.6425,
Process101,0,0,0,0,1,2,3,6,0.732142857,0.732142857,0.919047619,0.934640523,0.52,
Process101,0,0,0,0,1,3,0,4,0.982142857,0.982142857,0.994285714,0.99577167,0.6875,
Process101,0,0,0,0,1,3,1,5,0.839285714,0.839285714,0.827333333,0.961290323,0.6875,
Process101,0,0,0,0,1,3,2,6,0.792792793,0.792792793,0.933888889,0.95021645,0.6425,
Process101,0,0,0,0,1,3,3,7,0.732142857,0.732142857,0.850214286,0.934640523,0.525,
Process101,0,0,0,0,2,0,0,2,0.982758621,0.982758621,0.925333333,0.995789474,0.755,
Process101,0,0,0,0,2,0,1,3,0.886956522,0.886956522,0.890294118,0.97228145,0.7025,
Process101,0,0,0,0,2,0,2,4,0.909090909,0.909090909,0.77352381,0.978632479,0.7275,
Process101,0,0,0,0,2,0,3,5,0.660869565,0.660869565,0.908636364,0.914473684,0.505,
