sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,0,0,3,3,1,0.8623853211009174,1.0,0.7393075356415478
ResearchPaper1,0,0,0,0,3,3,2,0.6545454545454545,1.0,0.9144736842105263
ResearchPaper1,0,0,0,0,3,3,3,0.7037037037037037,1.0,0.9116997792494481
ResearchPaper1,0,0,0,1,0,0,0,0.8288288288288288,1.0,0.9
ResearchPaper1,0,0,0,1,0,0,1,0.8648648648648649,1.0,0.8747433264887063
ResearchPaper1,0,0,0,1,0,0,2,0.6846846846846847,1.0,0.7708737864077669
ResearchPaper1,0,0,0,1,0,0,3,0.5405405405405406,1.0,0.3652618135376756
ResearchPaper1,0,0,0,1,0,1,0,0.9090909090909091,1.0,0.8678861788617886
ResearchPaper1,0,0,0,1,0,1,1,0.8,1.0,0.8580121703853956
ResearchPaper1,0,0,0,1,0,1,2,0.6727272727272727,1.0,0.8574338085539714
ResearchPaper1,0,0,0,1,0,1,3,0.6181818181818182,1.0,0.7175141242937854
ResearchPaper1,0,0,0,1,0,2,0,0.9174311926605505,1.0,0.8732106339468303
ResearchPaper1,0,0,0,1,0,2,1,0.6972477064220184,1.0,0.7905138339920948
ResearchPaper1,0,0,0,1,0,2,2,0.7238095238095238,1.0,0.7325800376647834
ResearchPaper1,0,0,0,1,0,2,3,0.5688073394495412,1.0,0.7606177606177607
ResearchPaper1,0,0,0,1,0,3,0,0.9444444444444444,1.0,0.8428571428571429
ResearchPaper1,0,0,0,1,0,3,1,0.8148148148148149,1.0,0.39844617092119866
ResearchPaper1,0,0,0,1,0,3,2,0.6037735849056604,1.0,0.7886178861788617
ResearchPaper1,0,0,0,1,0,3,3,0.5740740740740741,1.0,0.5414634146341464
ResearchPaper1,0,0,0,1,1,0,0,0.9107142857142857,1.0,0.7392120075046904
ResearchPaper1,0,0,0,1,1,0,1,0.8035714285714286,1.0,0.805940594059406
ResearchPaper1,0,0,0,1,1,0,2,0.6964285714285714,1.0,0.5630397236614854
ResearchPaper1,0,0,0,1,1,0,3,0.7272727272727273,1.0,0.7134831460674157
ResearchPaper1,0,0,0,1,1,1,0,0.8909090909090909,1.0,0.8688524590163934
ResearchPaper1,0,0,0,1,1,1,1,0.7387387387387387,1.0,0.7917525773195876
ResearchPaper1,0,0,0,1,1,1,2,0.6666666666666667,1.0,0.338654503990878
ResearchPaper1,0,0,0,1,1,1,3,0.5137614678899083,1.0,0.7334593572778828
ResearchPaper1,0,0,0,1,1,2,0,0.8727272727272728,1.0,0.3968668407310705
ResearchPaper1,0,0,0,1,1,2,1,0.7454545454545455,1.0,0.8444444444444444
ResearchPaper1,0,0,0,1,1,2,2,0.6545454545454545,1.0,0.8043912175648703
ResearchPaper1,0,0,0,1,1,2,3,0.5925925925925926,1.0,0.7790697674418605
ResearchPaper1,0,0,0,1,1,3,0,0.8623853211009174,1.0,0.7766393442622951
ResearchPaper1,0,0,0,1,1,3,1,0.7706422018348624,1.0,0.5411764705882353
