model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process25,0,0,0,0,3,3,2,8,0.485981308,0.485981308,0.751327839,0.598540146,0.435,,
Process25,0,0,0,0,3,3,3,9,0.29787234,0.29787234,0.692973856,0.472,0.3325,,
Process25,0,0,0,1,0,0,0,1,0.844036697,0.844036697,0.836307692,0.877800407,0.605,,
Process25,0,0,0,1,0,0,1,2,0.532110092,0.532110092,0.699503986,0.631818182,0.5225,,
Process25,0,0,0,1,0,0,2,3,0.733944954,0.733944954,0.777133258,0.797040169,0.5125,,
Process25,0,0,0,1,0,0,3,4,0.448598131,0.448598131,0.67296337,0.562352941,0.505,,
Process25,0,0,0,1,0,1,0,2,0.888888889,0.888888889,0.860763348,0.90945674,0.745,,
Process25,0,0,0,1,0,1,1,3,0.388888889,0.388888889,0.657276942,0.502403846,0.52,,
Process25,0,0,0,1,0,1,2,4,0.653846154,0.653846154,0.747448218,0.742857143,0.625,,
Process25,0,0,0,1,0,1,3,5,0.425925926,0.425925926,0.664408748,0.537914692,0.545,,
Process25,0,0,0,1,0,2,0,3,0.841121495,0.841121495,0.833492063,0.87704918,0.59,,
Process25,0,0,0,1,0,2,1,4,0.803738318,0.803738318,0.809727273,0.850622407,0.64,,
Process25,0,0,0,1,0,2,2,5,0.598130841,0.598130841,0.721972028,0.692650334,0.585,,
Process25,0,0,0,1,0,2,3,6,0.54368932,0.54368932,0.700820513,0.656750572,0.5575,,
Process25,0,0,0,1,0,3,0,4,0.830188679,0.830188679,0.828465587,0.870103093,0.5575,,
Process25,0,0,0,1,0,3,1,5,0.6,0.6,0.719719541,0.708803612,0.7,,
Process25,0,0,0,1,0,3,2,6,0.339622642,0.339622642,0.640301075,0.461916462,0.4625,,
Process25,0,0,0,1,0,3,3,7,0.545454545,0.545454545,0.699261538,0.668202765,0.6025,,
Process25,0,0,0,1,1,0,0,2,0.745454545,0.745454545,0.783496894,0.804621849,0.6625,,
Process25,0,0,0,1,1,0,1,3,0.423076923,0.423076923,0.666595513,0.548926014,0.485,,
Process25,0,0,0,1,1,0,2,4,0.462962963,0.462962963,0.677033983,0.572429907,0.2725,,
