model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,
Process25,0,0,0,1,0,0,0,1,0.697247706,0.697247706,0.758059207,0.826484018,0.6725,
Process25,0,0,0,1,0,0,1,2,0.598130841,0.598130841,0.721484848,0.774647887,0.67,
Process25,0,0,0,1,0,0,2,3,0.442307692,0.442307692,0.670293447,0.691176471,0.355,
Process25,0,0,0,1,0,0,3,4,0.513761468,0.513761468,0.695820513,0.722488038,0.5125,
Process25,0,0,0,1,0,1,0,2,0.851851852,0.851851852,0.840974359,0.907488987,0.5575,
Process25,0,0,0,1,0,1,1,3,0.518518519,0.518518519,0.698220513,0.727272727,0.5475,
Process25,0,0,0,1,0,1,2,4,0.433962264,0.433962264,0.670487179,0.681372549,0.4025,
Process25,0,0,0,1,0,1,3,5,0.448979592,0.448979592,0.676044563,0.709359606,0.53,
Process25,0,0,0,1,0,2,0,3,0.859813084,0.859813084,0.846818182,0.911894273,0.7275,
Process25,0,0,0,1,0,2,1,4,0.672897196,0.672897196,0.749049784,0.815668203,0.5975,
Process25,0,0,0,1,0,2,2,5,0.429906542,0.429906542,0.665494721,0.676470588,0.5475,
Process25,0,0,0,1,0,2,3,6,0.557692308,0.557692308,0.706633404,0.757142857,0.51,
Process25,0,0,0,1,0,3,0,4,0.867924528,0.867924528,0.846795094,0.916299559,0.7325,
Process25,0,0,0,1,0,3,1,5,0.566037736,0.566037736,0.710103896,0.758293839,0.4975,
Process25,0,0,0,1,0,3,2,6,0.711538462,0.711538462,0.764752914,0.839449541,0.6125,
Process25,0,0,0,1,0,3,3,7,0.350515464,0.350515464,0.641529412,0.656565657,0.49,
Process25,0,0,0,1,1,0,0,2,0.752293578,0.752293578,0.787315076,0.855855856,0.6475,
Process25,0,0,0,1,1,0,1,3,0.592592593,0.592592593,0.718833333,0.769953052,0.705,
Process25,0,0,0,1,1,0,2,4,0.697247706,0.697247706,0.763218182,0.826484018,0.59,
Process25,0,0,0,1,1,0,3,5,0.471698113,0.471698113,0.677339031,0.703883495,0.465,
Process25,0,0,0,1,1,1,0,3,0.825688073,0.825688073,0.8275,0.89380531,0.555,
Process25,0,0,0,1,1,1,1,4,0.519230769,0.519230769,0.693133333,0.735576923,0.4825,
Process25,0,0,0,1,1,1,2,5,0.425925926,0.425925926,0.665070318,0.671568627,0.5225,
Process25,0,0,0,1,1,1,3,6,0.429906542,0.429906542,0.664481536,0.676470588,0.415,
Process25,0,0,0,1,1,2,0,4,0.851851852,0.851851852,0.843221344,0.907488987,0.715,
Process25,0,0,0,1,1,2,1,5,0.648148148,0.648148148,0.737588837,0.800925926,0.6475,
Process25,0,0,0,1,1,2,2,6,0.358490566,0.358490566,0.647045977,0.635,0.535,
Process25,0,0,0,1,1,2,3,7,0.46728972,0.46728972,0.679666667,0.699029126,0.4025,
Process25,0,0,0,1,1,3,0,5,0.710280374,0.710280374,0.764818182,0.835616438,0.5425,
Process25,0,0,0,1,1,3,1,6,0.654205607,0.654205607,0.741846154,0.805555556,0.5825,
Process25,0,0,0,1,1,3,2,7,0.392156863,0.392156863,0.653683024,0.666666667,0.405,
Process25,0,0,0,1,1,3,3,8,0.307692308,0.307692308,0.634598755,0.609137056,0.51,
Process25,0,0,0,1,2,0,0,3,0.890909091,0.890909091,0.861434343,0.926086957,0.7025,
Process25,0,0,0,1,2,0,1,4,0.550458716,0.550458716,0.701736264,0.744075829,0.565,
Process25,0,0,0,1,2,0,2,5,0.660550459,0.660550459,0.7445,0.806451613,0.5075,
Process25,0,0,0,1,2,0,3,6,0.468468468,0.468468468,0.68123154,0.690821256,0.445,
Process25,0,0,0,1,2,1,0,4,0.672727273,0.672727273,0.748551515,0.811926606,0.13,
Process25,0,0,0,1,2,1,1,5,0.509803922,0.509803922,0.6893,0.734299517,0.655,
Process25,0,0,0,1,2,1,2,6,0.587155963,0.587155963,0.718733333,0.765258216,0.4175,
Process25,0,0,0,1,2,1,3,7,0.309278351,0.309278351,0.634666667,0.632653061,0.3225,
Process25,0,0,0,1,2,2,0,5,0.678899083,0.678899083,0.750204545,0.816513761,0.7,
Process25,0,0,0,1,2,2,1,6,0.611111111,0.611111111,0.723915751,0.780373832,0.615,
Process25,0,0,0,1,2,2,2,7,0.450980392,0.450980392,0.672404833,0.700980392,0.3725,
Process25,0,0,0,1,2,2,3,8,0.365384615,0.365384615,0.651,0.645,0.455,
Process25,0,0,0,1,2,3,0,6,0.851851852,0.851851852,0.837301587,0.907488987,0.725,
Process25,0,0,0,1,2,3,1,7,0.411214953,0.411214953,0.660408748,0.665024631,0.45,
Process25,0,0,0,1,2,3,2,8,0.698113208,0.698113208,0.760683983,0.830275229,0.6725,
Process25,0,0,0,1,2,3,3,9,0.444444444,0.444444444,0.669521505,0.682926829,0.4625,
Process25,0,0,0,1,3,0,0,4,0.696428571,0.696428571,0.761418182,0.822727273,0.5525,
Process25,0,0,0,1,3,0,1,5,0.594594595,0.594594595,0.721484848,0.76635514,0.5475,
Process25,0,0,0,1,3,0,2,6,0.280373832,0.280373832,0.627307088,0.581632653,0.315,
Process25,0,0,0,1,3,0,3,7,0.514285714,0.514285714,0.693474392,0.730769231,0.125,
Process25,0,0,0,1,3,1,0,5,0.844036697,0.844036697,0.835443566,0.9030837,0.6,
Process25,0,0,0,1,3,1,1,6,0.666666667,0.666666667,0.748568182,0.811059908,0.535,
Process25,0,0,0,1,3,1,2,7,0.56,0.56,0.703613155,0.765550239,0.46,
Process25,0,0,0,1,3,1,3,8,0.41509434,0.41509434,0.663326778,0.669950739,0.49,
Process25,0,0,0,1,3,2,0,6,0.836363636,0.836363636,0.828545455,0.898678414,0.7275,
Process25,0,0,0,1,3,2,1,7,0.504854369,0.504854369,0.688166667,0.729468599,0.6225,
Process25,0,0,0,1,3,2,2,8,0.635514019,0.635514019,0.738984848,0.795348837,0.5475,
Process25,0,0,0,1,3,2,3,9,0.25,0.25,0.619774194,0.572164948,0.375,
Process25,0,0,0,1,3,3,0,7,0.796296296,0.796296296,0.809444056,0.879464286,0.585,
Process25,0,0,0,1,3,3,1,8,0.504672897,0.504672897,0.690388235,0.721153846,0.4725,
Process25,0,0,0,1,3,3,2,9,0.336448598,0.336448598,0.639143746,0.618090452,0.52,
Process25,0,0,0,1,3,3,3,10,0.333333333,0.333333333,0.638747126,0.631313131,0.4075,
Process25,0,0,0,2,0,0,0,2,0.872727273,0.872727273,0.800707071,0.89958159,0.6675,
Process25,0,0,0,2,0,0,1,3,0.745454545,0.745454545,0.730141026,0.836206897,0.6375,
Process25,0,0,0,2,0,0,2,4,0.518518519,0.518518519,0.646002331,0.716894977,0.5075,
Process25,0,0,0,2,0,0,3,5,0.20952381,0.20952381,0.556306818,0.53960396,0.41,
Process25,0,0,0,2,0,1,0,3,0.660550459,0.660550459,0.692361905,0.792951542,0.6425,
Process25,0,0,0,2,0,1,1,4,0.440366972,0.440366972,0.616709614,0.669767442,0.37,
Process25,0,0,0,2,0,1,2,5,0.513761468,0.513761468,0.64078341,0.712328767,0.435,
