model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process113,0,0,0,0,3,3,2,8,0.773006135,0.773006135,0.747820513,0.961297071,0.3,,
Process113,0,0,0,0,3,3,3,9,0.792682927,0.792682927,0.8025,0.964509395,0.3275,,
Process113,0,0,0,1,0,0,0,1,0.981818182,0.981818182,0.977291667,0.991869919,0.3725,,
Process113,0,0,0,1,0,0,1,2,0.921212121,0.921212121,0.943936404,0.981613892,0.315,,
Process113,0,0,0,1,0,0,2,3,0.933333333,0.933333333,0.950076754,0.983673469,0.3475,,
Process113,0,0,0,1,0,0,3,4,0.727272727,0.727272727,0.689097222,0.94807892,0.3275,,
Process113,0,0,0,1,0,1,0,2,0.975609756,0.975609756,0.914375,0.990844354,0.31,,
Process113,0,0,0,1,0,1,1,3,0.951219512,0.951219512,0.961502193,0.986748216,0.375,,
Process113,0,0,0,1,0,1,2,4,0.865853659,0.865853659,0.838944378,0.972279261,0.355,,
Process113,0,0,0,1,0,1,3,5,0.792682927,0.792682927,0.747641667,0.959710744,0.3075,,
Process113,0,0,0,1,0,2,0,3,0.957055215,0.957055215,0.962916667,0.987767584,0.355,,
Process113,0,0,0,1,0,2,1,4,0.90797546,0.90797546,0.858904412,0.979529171,0.395,,
Process113,0,0,0,1,0,2,2,5,0.770186335,0.770186335,0.738836538,0.956476684,0.3475,,
Process113,0,0,0,1,0,2,3,6,0.72392638,0.72392638,0.687159679,0.948024948,0.3525,,
Process113,0,0,0,1,0,3,0,4,0.938271605,0.938271605,0.887127193,0.984678243,0.36,,
Process113,0,0,0,1,0,3,1,5,0.925925926,0.925925926,0.947541667,0.982617587,0.3375,,
Process113,0,0,0,1,0,3,2,6,0.938271605,0.938271605,0.952120098,0.984678243,0.32,,
Process113,0,0,0,1,0,3,3,7,0.765432099,0.765432099,0.820456382,0.955440415,0.3425,,
Process113,0,0,0,1,1,0,0,2,0.957575758,0.957575758,0.962904412,0.987780041,0.35,,
Process113,0,0,0,1,1,0,1,3,0.884848485,0.884848485,0.931403986,0.975409836,0.3475,,
Process113,0,0,0,1,1,0,2,4,0.891566265,0.891566265,0.900435606,0.976458547,0.3725,,
Process113,0,0,0,1,1,0,3,5,0.746987952,0.746987952,0.76290157,0.951295337,0.3625,,
Process113,0,0,0,1,1,1,0,3,0.987804878,0.987804878,0.982512255,0.992886179,0.32,,
Process113,0,0,0,1,1,1,1,4,0.865853659,0.865853659,0.799541667,0.972279261,0.36,,
Process113,0,0,0,1,1,1,2,5,0.901234568,0.901234568,0.938142507,0.978483607,0.3525,,
Process113,0,0,0,1,1,1,3,6,0.751515152,0.751515152,0.696546014,0.952331606,0.33,,
Process113,0,0,0,1,1,2,0,4,0.914634146,0.914634146,0.903869048,0.980572597,0.3425,,
Process113,0,0,0,1,1,2,1,5,0.87804878,0.87804878,0.893819444,0.974358974,0.3575,,
Process113,0,0,0,1,1,2,2,6,0.804878049,0.804878049,0.744583772,0.961816305,0.335,,
Process113,0,0,0,1,1,2,3,7,0.756097561,0.756097561,0.695625,0.953367876,0.3125,,
Process113,0,0,0,1,1,3,0,5,0.920245399,0.920245399,0.855404412,0.981595092,0.3775,,
Process113,0,0,0,1,1,3,1,6,0.871165644,0.871165644,0.923626208,0.973305955,0.2975,,
Process113,0,0,0,1,1,3,2,7,0.839506173,0.839506173,0.826602273,0.96807415,0.295,,
Process113,0,0,0,1,1,3,3,8,0.814814815,0.814814815,0.714519928,0.963880289,0.4175,,
Process113,0,0,0,1,2,0,0,3,0.903614458,0.903614458,0.874708333,0.978527607,0.3475,,
Process113,0,0,0,1,2,0,1,4,0.910179641,0.910179641,0.900047269,0.979570991,0.3675,,
Process113,0,0,0,1,2,0,2,5,0.812121212,0.812121212,0.836041667,0.962886598,0.3125,,
Process113,0,0,0,1,2,0,3,6,0.778443114,0.778443114,0.745679348,0.95661157,0.3375,,
Process113,0,0,0,1,2,1,0,4,0.939759036,0.939759036,0.955688725,0.98470948,0.325,,
Process113,0,0,0,1,2,1,1,5,0.915662651,0.915662651,0.909708333,0.980592441,0.37,,
Process113,0,0,0,1,2,1,2,6,0.843373494,0.843373494,0.756160714,0.968139774,0.345,,
Process113,0,0,0,1,2,1,3,7,0.807228916,0.807228916,0.780208333,0.96185567,0.34,,
Process113,0,0,0,1,2,2,0,5,0.944785276,0.944785276,0.954669118,0.985714286,0.345,,
Process113,0,0,0,1,2,2,1,6,0.896969697,0.896969697,0.788041667,0.977482088,0.3625,,
Process113,0,0,0,1,2,2,2,7,0.817073171,0.817073171,0.781403986,0.963917526,0.335,,
Process113,0,0,0,1,2,2,3,8,0.715151515,0.715151515,0.727006184,0.945945946,0.2525,,
Process113,0,0,0,1,2,3,0,6,0.902439024,0.902439024,0.874453431,0.978505629,0.34,,
Process113,0,0,0,1,2,3,1,7,0.883435583,0.883435583,0.886914683,0.975384615,0.2975,,
Process113,0,0,0,1,2,3,2,8,0.829268293,0.829268293,0.874519928,0.966014418,0.3175,,
Process113,0,0,0,1,2,3,3,9,0.719512195,0.719512195,0.753482143,0.946985447,0.3075,,
Process113,0,0,0,1,3,0,0,4,0.898203593,0.898203593,0.785076754,0.977505112,0.39,,
Process113,0,0,0,1,3,0,1,5,0.898203593,0.898203593,0.901041667,0.977505112,0.35,,
Process113,0,0,0,1,3,0,2,6,0.845238095,0.845238095,0.83249753,0.968172485,0.33,,
Process113,0,0,0,1,3,0,3,7,0.773809524,0.773809524,0.770341667,0.955578512,0.3075,,
Process113,0,0,0,1,3,1,0,5,0.951807229,0.951807229,0.928688725,0.986761711,0.3475,,
Process113,0,0,0,1,3,1,1,6,0.927710843,0.927710843,0.847625,0.982653061,0.4075,,
Process113,0,0,0,1,3,1,2,7,0.946107784,0.946107784,0.885355392,0.985743381,0.3525,,
Process113,0,0,0,1,3,1,3,8,0.831325301,0.831325301,0.908996212,0.966049383,0.2675,,
Process113,0,0,0,1,3,2,0,6,0.951807229,0.951807229,0.902291667,0.986761711,0.37,,
Process113,0,0,0,1,3,2,1,7,0.903614458,0.903614458,0.844453431,0.978527607,0.34,,
Process113,0,0,0,1,3,2,2,8,0.795180723,0.795180723,0.789299242,0.959752322,0.2725,,
Process113,0,0,0,1,3,2,3,9,0.812121212,0.812121212,0.776541667,0.962886598,0.3275,,
Process113,0,0,0,1,3,3,0,7,0.951219512,0.951219512,0.886678922,0.986748216,0.335,,
Process113,0,0,0,1,3,3,1,8,0.865853659,0.865853659,0.87785119,0.972279261,0.32,,
Process113,0,0,0,1,3,3,2,9,0.8,0.8,0.745867982,0.960784314,0.3525,,
Process113,0,0,0,1,3,3,3,10,0.768292683,0.768292683,0.721647727,0.955486542,0.325,,
Process113,0,0,0,2,0,0,0,2,0.927710843,0.927710843,0.936688149,0.977777778,0.3875,,
Process113,0,0,0,2,0,0,1,3,0.939759036,0.939759036,0.943550894,0.979818365,0.3325,,
Process113,0,0,0,2,0,0,2,4,0.891566265,0.891566265,0.919653061,0.971631206,0.34,,
Process113,0,0,0,2,0,0,3,5,0.698795181,0.698795181,0.670497889,0.938208033,0.3375,,
Process113,0,0,0,2,0,1,0,3,0.945454545,0.945454545,0.946182473,0.980827447,0.3475,,
Process113,0,0,0,2,0,1,1,4,0.896969697,0.896969697,0.921495166,0.972644377,0.2975,,
Process113,0,0,0,2,0,1,2,5,0.787878788,0.787878788,0.735947933,0.95398773,0.32,,
Process113,0,0,0,2,0,1,3,6,0.812121212,0.812121212,0.893806907,0.958163265,0.315,,
Process113,0,0,0,2,0,2,0,4,0.951219512,0.951219512,0.882861395,0.981836529,0.36,,
Process113,0,0,0,2,0,2,1,5,0.902439024,0.902439024,0.857430839,0.973657548,0.425,,
Process113,0,0,0,2,0,2,2,6,0.780487805,0.780487805,0.752307607,0.952917093,0.3325,,
Process113,0,0,0,2,0,2,3,7,0.914634146,0.914634146,0.932182473,0.975708502,0.345,,
Process113,0,0,0,2,0,3,0,5,0.920245399,0.920245399,0.93154195,0.976720648,0.3325,,
Process113,0,0,0,2,0,3,1,6,0.846625767,0.846625767,0.751871562,0.964358452,0.3275,,
Process113,0,0,0,2,0,3,2,7,0.871165644,0.871165644,0.910923738,0.968495935,0.285,,
Process113,0,0,0,2,0,3,3,8,0.797546012,0.797546012,0.885186395,0.95603272,0.28,,
Process113,0,0,0,2,1,0,0,3,0.951807229,0.951807229,0.951271482,0.981854839,0.3975,,
Process113,0,0,0,2,1,0,1,4,0.891566265,0.891566265,0.839795918,0.971631206,0.37,,
Process113,0,0,0,2,1,0,2,5,0.814371257,0.814371257,0.826653061,0.958205912,0.2925,,
Process113,0,0,0,2,1,0,3,6,0.734939759,0.734939759,0.786343537,0.944558522,0.335,,
Process113,0,0,0,2,1,1,0,4,0.848484848,0.848484848,0.716638024,0.96439471,0.3375,,
Process113,0,0,0,2,1,1,1,5,0.831325301,0.831325301,0.751524152,0.961303462,0.3325,,
Process113,0,0,0,2,1,1,2,6,0.775757576,0.775757576,0.728890742,0.951893552,0.345,,
Process113,0,0,0,2,1,1,3,7,0.831325301,0.831325301,0.865153061,0.961303462,0.33,,
Process113,0,0,0,2,1,2,0,5,0.872727273,0.872727273,0.846638024,0.968527919,0.3275,,
Process113,0,0,0,2,1,2,1,6,0.824242424,0.824242424,0.710237602,0.960244648,0.33,,
Process113,0,0,0,2,1,2,2,7,0.860606061,0.860606061,0.865105442,0.966463415,0.385,,
Process113,0,0,0,2,1,2,3,8,0.787878788,0.787878788,0.816547989,0.95398773,0.325,,
Process113,0,0,0,2,1,3,0,6,0.841463415,0.841463415,0.711295918,0.963340122,0.355,,
Process113,0,0,0,2,1,3,1,7,0.829268293,0.829268293,0.749144289,0.961264016,0.3075,,
Process113,0,0,0,2,1,3,2,8,0.804878049,0.804878049,0.777106289,0.957099081,0.2675,,
Process113,0,0,0,2,1,3,3,9,0.792682927,0.792682927,0.767310505,0.955010225,0.2775,,
Process113,0,0,0,2,2,0,0,4,0.952380952,0.952380952,0.914319728,0.981873112,0.35,,
Process113,0,0,0,2,2,0,1,5,0.869047619,0.869047619,0.793153061,0.967545639,0.3775,,
Process113,0,0,0,2,2,0,2,6,0.726190476,0.726190476,0.677930839,0.942505133,0.305,,
Process113,0,0,0,2,2,0,3,7,0.795180723,0.795180723,0.819707607,0.95505618,0.345,,
Process113,0,0,0,2,2,1,0,5,0.915662651,0.915662651,0.89184914,0.975733064,0.3475,,
Process113,0,0,0,2,2,1,1,6,0.874251497,0.874251497,0.839824778,0.968559838,0.31,,
Process113,0,0,0,2,2,1,2,7,0.790419162,0.790419162,0.696653061,0.954034729,0.3375,,
Process113,0,0,0,2,2,1,3,8,0.86746988,0.86746988,0.910799514,0.96751269,0.33,,
Process113,0,0,0,2,2,2,0,6,0.879518072,0.879518072,0.798319728,0.969574037,0.3925,,
Process113,0,0,0,2,2,2,1,7,0.807228916,0.807228916,0.742653061,0.957142857,0.345,,
Process113,0,0,0,2,2,2,2,8,0.927710843,0.927710843,0.875903061,0.977777778,0.355,,
Process113,0,0,0,2,2,2,3,9,0.768292683,0.768292683,0.711795354,0.950819672,0.33,,
Process113,0,0,0,2,2,3,0,7,0.909090909,0.909090909,0.932255334,0.974696356,0.315,,
Process113,0,0,0,2,2,3,1,8,0.872727273,0.872727273,0.829971357,0.968527919,0.325,,
Process113,0,0,0,2,2,3,2,9,0.795031056,0.795031056,0.693497217,0.955987718,0.32,,
Process113,0,0,0,2,2,3,3,10,0.727272727,0.727272727,0.710510204,0.943473792,0.3275,,
Process113,0,0,0,2,3,0,0,5,0.899408284,0.899408284,0.895095516,0.972699697,0.33,,
Process113,0,0,0,2,3,0,1,6,0.828402367,0.828402367,0.742153061,0.960325534,0.35,,
Process113,0,0,0,2,3,0,2,7,0.875739645,0.875739645,0.867822234,0.968591692,0.3625,,
Process113,0,0,0,2,3,0,3,8,0.69047619,0.69047619,0.670497889,0.936148301,0.3425,,
Process113,0,0,0,2,3,1,0,6,0.869047619,0.869047619,0.758179377,0.967545639,0.325,,
Process113,0,0,0,2,3,1,1,7,0.807228916,0.807228916,0.705153061,0.957142857,0.315,,
Process113,0,0,0,2,3,1,2,8,0.80239521,0.80239521,0.826853061,0.956122449,0.36,,
Process113,0,0,0,2,3,1,3,9,0.718562874,0.718562874,0.708883469,0.941418294,0.295,,
Process113,0,0,0,2,3,2,0,7,0.903614458,0.903614458,0.895468187,0.973684211,0.285,,
Process113,0,0,0,2,3,2,1,8,0.819277108,0.819277108,0.708190819,0.95922528,0.2925,,
Process113,0,0,0,2,3,2,2,9,0.862275449,0.862275449,0.801462585,0.966497462,0.355,,
Process113,0,0,0,2,3,2,3,10,0.710843373,0.710843373,0.705569728,0.940329218,0.3,,
Process113,0,0,0,2,3,3,0,8,0.920245399,0.920245399,0.933117458,0.976720648,0.34,,
Process113,0,0,0,2,3,3,1,9,0.848484848,0.848484848,0.788570936,0.96439471,0.325,,
Process113,0,0,0,2,3,3,2,10,0.817073171,0.817073171,0.800131322,0.959183673,0.3025,,
Process113,0,0,0,2,3,3,3,11,0.746987952,0.746987952,0.806403061,0.946666667,0.3475,,
Process113,0,0,0,3,0,0,0,3,0.910179641,0.910179641,0.920472269,0.96996997,0.3675,,
Process113,0,0,0,3,0,0,1,4,0.838323353,0.838323353,0.701942857,0.957703927,0.355,,
Process113,0,0,0,3,0,0,2,5,0.826347305,0.826347305,0.763495652,0.955645161,0.3525,,
Process113,0,0,0,3,0,0,3,6,0.790419162,0.790419162,0.750254545,0.949443883,0.315,,
Process113,0,0,0,3,0,1,0,4,0.843373494,0.843373494,0.743659649,0.958710977,0.355,,
Process113,0,0,0,3,0,1,1,5,0.819277108,0.819277108,0.8163,0.954591322,0.33,,
Process113,0,0,0,3,0,1,2,6,0.771084337,0.771084337,0.743604348,0.946301925,0.3175,,
Process113,0,0,0,3,0,1,3,7,0.698795181,0.698795181,0.697235897,0.933741081,0.29,,
Process113,0,0,0,3,0,2,0,5,0.872727273,0.872727273,0.818975439,0.963819095,0.35,,
Process113,0,0,0,3,0,2,1,6,0.872727273,0.872727273,0.835305051,0.963819095,0.3125,,
