sep=,
addActSerial,addActParallel,replaceAct,addConst,totalChanges,swapActivities,GED,LCS
0,0,0,0,0,0,1.0,0.4915131291533483
0,0,0,0,1,1,0.9745762711864406,0.5162457865382786
0,0,0,0,2,2,0.9152542372881356,0.47715894304050877
0,0,0,0,3,3,0.8559322033898304,0.45509272244293386
0,0,0,1,0,1,1.0,0.4879324396547476
0,0,0,1,1,2,0.9617021276595745,0.4920746712902416
0,0,0,1,2,3,0.9029535864978903,0.49189351247375274
0,0,0,1,3,4,0.8305084745762712,0.46524178084369555
0,0,0,2,0,2,0.9957805907172996,0.5122236980612607
0,0,0,2,1,3,0.9495798319327731,0.46771647301463937
0,0,0,2,2,4,0.865546218487395,0.48634799613222324
0,0,0,2,3,5,0.8776371308016877,0.46961512892969204
0,0,0,3,0,3,0.9874476987447699,0.5025746290703167
0,0,0,3,1,4,0.9327731092436975,0.46113506064216003
0,0,0,3,2,5,0.8451882845188284,0.48037715837379885
0,0,0,3,3,6,0.8702928870292888,0.46801969396482085
0,0,1,0,0,1,0.9704641350210971,0.48754329709836847
0,0,1,0,1,2,0.8776371308016877,0.41427917938197945
0,0,1,0,2,3,0.9029535864978903,0.45901670777186054
0,0,1,0,3,4,0.8607594936708861,0.46386670959114595
0,0,1,1,0,2,0.9789029535864979,0.5001957517582517
0,0,1,1,1,3,0.9243697478991597,0.4708333630856001
0,0,1,1,2,4,0.8523206751054853,0.46145341127512907
0,0,1,1,3,5,0.8050847457627118,0.4559660889762923
0,0,1,2,0,3,0.9790794979079498,0.42791172649875325
0,0,1,2,1,4,0.9243697478991597,0.4384599736076414
0,0,1,2,2,5,0.8702928870292888,0.4457230499104231
0,0,1,2,3,6,0.8235294117647058,0.46912196208063145
0,0,1,3,0,4,0.9747899159663865,0.49685248520083386
0,0,1,3,1,5,0.9372384937238494,0.47336168132745626
0,0,1,3,2,6,0.875,0.386171546708612
0,0,1,3,3,7,0.7866108786610879,0.3872486752764676
0,0,2,0,0,2,0.9411764705882353,0.4624131895428843
0,0,2,0,1,3,0.8907563025210083,0.4581139769488353
0,0,2,0,2,4,0.8403361344537815,0.4395517319693079
0,0,2,0,3,5,0.865546218487395,0.42985365656341984
0,0,2,1,0,3,0.9539748953974896,0.46780981844907044
0,0,2,1,1,4,0.8571428571428572,0.40862843186759595
0,0,2,1,2,5,0.7782426778242678,0.3646919637067654
0,0,2,1,3,6,0.8438818565400844,0.45727271281313153
0,0,2,2,0,4,0.925,0.47385899267441467
0,0,2,2,1,5,0.8535564853556485,0.46409957694128423
0,0,2,2,2,6,0.8833333333333333,0.45685486864828295
0,0,2,2,3,7,0.7866108786610879,0.3904691461683689
0,0,2,3,0,5,0.9211618257261411,0.48349331109787985
0,0,2,3,1,6,0.9333333333333333,0.48435134357020615
0,0,2,3,2,7,0.8200836820083682,0.43514096810233943
0,0,2,3,3,8,0.7717842323651453,0.40713656628846295
0,0,3,0,0,3,0.9205020920502092,0.4750467331250283
0,0,3,0,1,4,0.8786610878661087,0.4323345148451815
0,0,3,0,2,5,0.8368200836820083,0.43365868451390044
0,0,3,0,3,6,0.7531380753138075,0.45623911049454335
0,0,3,1,0,4,0.8916666666666666,0.4801402358418425
