sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.8025000000000002
Process25,0,0,0,0,0,0,1,0.7735849056603774,0.7735849056603774,0.8612626262626263,0.8869731800766283,0.7625
Process25,0,0,0,0,0,0,2,0.5098039215686274,0.5098039215686274,0.7536666666666667,0.7803643724696356,0.5574999999999999
Process25,0,0,0,0,0,0,3,0.3584905660377359,0.3584905660377358,0.7117482517482518,0.6691253951527925,0.44500000000000006
Process25,0,0,0,0,0,1,0,0.9906542056074766,0.9906542056074766,0.994,0.9972887483054677,0.7175
Process25,0,0,0,0,0,1,1,0.6732673267326732,0.6732673267326733,0.8109166666666667,0.8511056511056512,0.7049999999999998
Process25,0,0,0,0,0,1,2,0.46808510638297873,0.46808510638297873,0.7396751075011945,0.7752459865354738,0.39250000000000007
Process25,0,0,0,0,0,1,3,0.3551401869158879,0.35514018691588783,0.7118279569892474,0.6759453781512605,0.5749999999999997
Process25,0,0,0,0,0,2,0,0.9811320754716981,0.9811320754716981,0.988,0.9945627548708654,0.6274999999999998
Process25,0,0,0,0,0,2,1,0.8301886792452831,0.8301886792452831,0.8872380952380953,0.9322429906542056,0.6249999999999998
Process25,0,0,0,0,0,2,2,0.5800000000000001,0.58,0.7763403263403263,0.8025125628140704,0.5275
Process25,0,0,0,0,0,2,3,0.3846153846153846,0.38461538461538464,0.7183766968325792,0.6828240252897787,0.41500000000000004
Process25,0,0,0,0,0,3,0,0.9714285714285714,0.9714285714285714,0.9784078947368422,0.9881440948472412,0.73
Process25,0,0,0,0,0,3,1,0.6666666666666667,0.6666666666666666,0.8129776021080369,0.8530990727183992,0.6149999999999998
Process25,0,0,0,0,0,3,2,0.4242424242424242,0.42424242424242425,0.7296218596218597,0.7306485355648535,0.45499999999999996
Process25,0,0,0,0,0,3,3,0.6407766990291262,0.6407766990291263,0.8014920948616602,0.8417939871858058,0.7
Process25,0,0,0,0,1,0,0,0.9908256880733946,0.9908256880733946,0.9935,0.9941415051825147,0.7825
Process25,0,0,0,0,1,0,1,0.7850467289719626,0.7850467289719626,0.8642964426877471,0.8967158495954307,0.8050000000000002
Process25,0,0,0,0,1,0,2,0.42307692307692313,0.4230769230769231,0.7289586056644881,0.7274611398963731,0.6749999999999999
Process25,0,0,0,0,1,0,3,0.43137254901960786,0.43137254901960786,0.7331960784313726,0.7438271604938271,0.32500000000000007
Process25,0,0,0,0,1,1,0,0.9814814814814815,0.9814814814814815,0.9834722222222223,0.9936708860759493,0.7825000000000002
Process25,0,0,0,0,1,1,1,0.7962962962962963,0.7962962962962963,0.8699644268774704,0.9071192833569071,0.6424999999999998
Process25,0,0,0,0,1,1,2,0.6296296296296297,0.6296296296296297,0.7993566433566435,0.8272148800783162,0.5549999999999999
Process25,0,0,0,0,1,1,3,0.6037735849056604,0.6037735849056604,0.787972027972028,0.8115079365079365,0.5799999999999998
Process25,0,0,0,0,1,2,0,0.9719626168224299,0.9719626168224299,0.9776023391812866,0.9877216916780355,0.7675000000000001
Process25,0,0,0,0,1,2,1,0.54,0.54,0.7634358974358975,0.7934010152284263,0.5449999999999999
Process25,0,0,0,0,1,2,2,0.5,0.5,0.7574038461538461,0.7851739788199698,0.5824999999999998
Process25,0,0,0,0,1,2,3,0.56,0.56,0.7685852110852112,0.7989949748743719,0.5249999999999999
Process25,0,0,0,0,1,3,0,0.9714285714285714,0.9714285714285714,0.9756578947368422,0.9876824817518248,0.7975000000000001
Process25,0,0,0,0,1,3,1,0.8113207547169812,0.8113207547169812,0.8784199134199134,0.9259606373008434,0.5125
Process25,0,0,0,0,1,3,2,0.4842105263157894,0.4842105263157895,0.7425,0.7709844559585493,0.4025
Process25,0,0,0,0,1,3,3,0.40384615384615385,0.40384615384615385,0.7247170645446508,0.7101147028154327,0.375
Process25,0,0,0,0,2,0,0,0.9908256880733946,0.9908256880733946,0.9945454545454546,0.9972960793150067,0.7875000000000003
Process25,0,0,0,0,2,0,1,0.6538461538461539,0.6538461538461539,0.8057051282051282,0.8453255017131669,0.42999999999999994
Process25,0,0,0,0,2,0,2,0.49504950495049505,0.49504950495049505,0.7486538461538462,0.7608024691358024,0.69
Process25,0,0,0,0,2,0,3,0.4285714285714286,0.42857142857142855,0.7279166666666667,0.7357404500261643,0.4750000000000001
Process25,0,0,0,0,2,1,0,0.9906542056074766,0.9906542056074766,0.9931578947368421,0.9941069809610155,0.7725
Process25,0,0,0,0,2,1,1,0.6603773584905661,0.660377358490566,0.8114502888415932,0.8530413625304136,0.7575000000000001
Process25,0,0,0,0,2,1,2,0.3689320388349514,0.36893203883495146,0.7163703703703704,0.7080062794348508,0.49000000000000005
Process25,0,0,0,0,2,1,3,0.6,0.6,0.7853409090909091,0.8226130653266331,0.21500000000000002
Process25,0,0,0,0,2,2,0,0.962962962962963,0.9629629629629629,0.9732222222222222,0.9822727272727273,0.7625
Process25,0,0,0,0,2,2,1,0.7358490566037736,0.7358490566037735,0.8410181818181819,0.8665377176015474,0.7425
Process25,0,0,0,0,2,2,2,0.4117647058823529,0.4117647058823529,0.7274696356275304,0.7233263598326359,0.42000000000000004
Process25,0,0,0,0,2,2,3,0.6153846153846154,0.6153846153846154,0.7901545454545456,0.8249258160237388,0.51
Process25,0,0,0,0,2,3,0,0.9714285714285714,0.9714285714285714,0.9784078947368422,0.9881440948472412,0.755
Process25,0,0,0,0,2,3,1,0.6534653465346535,0.6534653465346535,0.8039015151515152,0.8442582552981764,0.565
Process25,0,0,0,0,2,3,2,0.375,0.375,0.7129707792207792,0.7170706006322445,0.4075000000000001
Process25,0,0,0,0,2,3,3,0.6458333333333333,0.6458333333333334,0.8020197628458499,0.8357609241587143,0.6299999999999999
Process25,0,0,0,0,3,0,0,1.0,1.0,1.0,1.0,0.7900000000000001
Process25,0,0,0,0,3,0,1,0.5945945945945945,0.5945945945945946,0.790721568627451,0.8208882381649585,0.5549999999999999
Process25,0,0,0,0,3,0,2,0.44859813084112155,0.4485981308411215,0.7383076923076923,0.7203302373581011,0.5725
Process25,0,0,0,0,3,0,3,0.42307692307692313,0.4230769230769231,0.7289956427015251,0.7194994786235662,0.41500000000000004
Process25,0,0,0,0,3,1,0,0.9906542056074766,0.9906542056074766,0.9931578947368421,0.9941069809610155,0.7900000000000003
Process25,0,0,0,0,3,1,1,0.6666666666666667,0.6666666666666666,0.8082955710955712,0.8417442430181283,0.7
Process25,0,0,0,0,3,1,2,0.5321100917431192,0.5321100917431193,0.7632344561756327,0.7802197802197802,0.45000000000000007
Process25,0,0,0,0,3,1,3,0.4528301886792453,0.4528301886792453,0.7410000000000001,0.7485947879407255,0.5174999999999998
Process25,0,0,0,0,3,2,0,0.9719626168224299,0.9719626168224299,0.9770454545454546,0.9909297052154195,0.7825000000000002
Process25,0,0,0,0,3,2,1,0.6111111111111112,0.6111111111111112,0.7994374523264685,0.8379697413372377,0.5449999999999999
Process25,0,0,0,0,3,2,2,0.46153846153846156,0.46153846153846156,0.7400159151193635,0.7411583803177857,0.45499999999999996
Process25,0,0,0,0,3,2,3,0.2524271844660194,0.2524271844660194,0.6868181818181819,0.6208017334777898,0.45000000000000007
Process25,0,0,0,0,3,3,0,0.962962962962963,0.9629629629629629,0.9706666666666668,0.9877606527651859,0.6124999999999998
Process25,0,0,0,0,3,3,1,0.691588785046729,0.6915887850467289,0.8260839160839162,0.8703614457831326,0.6099999999999999
Process25,0,0,0,0,3,3,2,0.4339622641509434,0.4339622641509434,0.7328333333333333,0.7196695921528136,0.345
Process25,0,0,0,0,3,3,3,0.62,0.62,0.7897195558065124,0.8256513026052104,0.3175
Process25,0,0,0,1,0,0,0,0.8440366972477065,0.8440366972477065,0.8363076923076923,0.918141592920354,0.5874999999999999
Process25,0,0,0,1,0,0,1,0.47619047619047616,0.47619047619047616,0.6795996313055137,0.7313505607020966,0.49250000000000005
Process25,0,0,0,1,0,0,2,0.3738317757009346,0.37383177570093457,0.6522038717483364,0.6813676907829533,0.44000000000000006
Process25,0,0,0,1,0,0,3,0.4112149532710281,0.411214953271028,0.6595882352941176,0.6882411067193676,0.49000000000000005
Process25,0,0,0,1,0,1,0,0.8703703703703703,0.8703703703703703,0.8477474747474747,0.914780292942743,0.71
Process25,0,0,0,1,0,1,1,0.5471698113207547,0.5471698113207547,0.7050754147812971,0.7749165474487363,0.485
Process25,0,0,0,1,0,1,2,0.3921568627450981,0.39215686274509803,0.6547254901960784,0.7021382396817504,0.35000000000000003
Process25,0,0,0,1,0,1,3,0.28846153846153844,0.28846153846153844,0.6271256366723259,0.6367326230339929,0.2825
Process25,0,0,0,1,0,2,0,0.7289719626168225,0.7289719626168224,0.7746629023150762,0.8587751371115173,0.6624999999999999
Process25,0,0,0,1,0,2,1,0.6476190476190475,0.6476190476190476,0.7419776021080369,0.8254783014465702,0.525
Process25,0,0,0,1,0,2,2,0.5686274509803921,0.5686274509803921,0.7085512487512488,0.7827751196172249,0.5599999999999999
Process25,0,0,0,1,0,2,3,0.34782608695652173,0.34782608695652173,0.6365779220779221,0.6946410515672397,0.35750000000000004
Process25,0,0,0,1,0,3,0,0.7169811320754718,0.7169811320754716,0.770377188029362,0.8556370302474794,0.5074999999999998
Process25,0,0,0,1,0,3,1,0.5384615384615384,0.5384615384615384,0.7014407993966817,0.7805343511450382,0.51
Process25,0,0,0,1,0,3,2,0.5510204081632653,0.5510204081632653,0.7001827505827506,0.7772946859903381,0.5375
Process25,0,0,0,1,0,3,3,0.24489795918367352,0.24489795918367346,0.6169285714285714,0.6333161423414131,0.43500000000000005
Process25,0,0,0,1,1,0,0,0.7090909090909091,0.7090909090909091,0.7674809523809524,0.84051329055912,0.5249999999999999
Process25,0,0,0,1,1,0,1,0.42307692307692313,0.4230769230769231,0.6657333333333333,0.7183653372722796,0.4625000000000001
Process25,0,0,0,1,1,0,2,0.6728971962616823,0.6728971962616822,0.7516297760210804,0.8358001850138761,0.6949999999999998
Process25,0,0,0,1,1,0,3,0.45833333333333337,0.4583333333333333,0.6714,0.7444608567208272,0.505
Process25,0,0,0,1,1,1,0,0.8623853211009174,0.8623853211009175,0.8441717171717171,0.9087672452158433,0.7274999999999999
Process25,0,0,0,1,1,1,1,0.5871559633027523,0.5871559633027523,0.7206754147812972,0.7972846441947565,0.5374999999999999
Process25,0,0,0,1,1,1,2,0.5740740740740741,0.5740740740740741,0.716642780748663,0.7933302019727572,0.5599999999999998
Process25,0,0,0,1,1,1,3,0.4271844660194175,0.42718446601941745,0.6658207941483804,0.7051851851851851,0.47750000000000004
Process25,0,0,0,1,1,2,0,0.8148148148148149,0.8148148148148148,0.8184895104895105,0.9082813891362422,0.5849999999999997
Process25,0,0,0,1,1,2,1,0.5686274509803921,0.5686274509803921,0.7083205128205128,0.7754318618042226,0.4175000000000001
Process25,0,0,0,1,1,2,2,0.3434343434343434,0.3434343434343434,0.639559714795009,0.6730478589420654,0.3375
Process25,0,0,0,1,1,2,3,0.7777777777777778,0.7777777777777778,0.8000959595959596,0.8718297101449275,0.5349999999999999
Process25,0,0,0,1,1,3,0,0.691588785046729,0.6915887850467289,0.754874358974359,0.8320222119389171,0.7074999999999998
Process25,0,0,0,1,1,3,1,0.5794392523364487,0.5794392523364486,0.7159260386672152,0.7892249527410208,0.5175
Process25,0,0,0,1,1,3,2,0.8037383177570093,0.8037383177570093,0.8095454545454546,0.8926807364167041,0.615
