Correspondence, Time, Drift
0.3333333333333333,579,1,1
0.6666666666666666,599,0,1
1.0,617,0,0
1.0,635,0,0
1.0,662,0,0
1.0,706,0,0
1.0,791,0,0
1.0,852,0,0
1.0,936,0,0
0.8333333333333334,1207,0,1
0.9242424242424242,1586,0,0
0.9242424242424242,2390,0,0
0.9545454545454546,2678,0,0
0.803030303030303,2904,0,1
0.85,2998,0,1
0.8416666666666667,3154,0,1
0.8833333333333333,3320,0,1
0.9166666666666666,3419,0,0
0.8,3502,0,1
0.8666666666666667,3628,0,1
0.9333333333333333,3893,0,0
0.9416666666666667,4027,0,0
0.9,4104,0,0
0.925,4181,0,0
0.8916666666666667,4252,0,1
0.9916666666666667,4329,0,0
0.9916666666666667,4400,0,0
0.9833333333333333,4475,0,0
0.9583333333333334,4581,0,0
0.9916666666666667,4686,0,0
0.9583333333333334,5133,0,0
0.975,5523,0,0
0.9833333333333333,5776,1,0
0.9666666666666667,5878,0,0
0.9833333333333333,5966,0,0
0.975,6030,0,0
0.9666666666666667,6096,0,0
0.9916666666666667,6182,0,0
0.9916666666666667,6268,0,0
0.9916666666666667,6353,0,0
0.9666666666666667,6436,0,0
0.9666666666666667,6527,0,0
0.9916666666666667,6614,0,0
0.9833333333333333,6739,0,0
1.0,6825,0,0
0.9416666666666667,7020,0,0
0.975,7135,0,0
1.0,7288,0,0
0.9833333333333333,7374,0,0
1.0,7460,0,0
0.95,7563,0,0
0.975,7647,0,0
0.9916666666666667,7735,0,0
1.0,7819,0,0
0.9916666666666667,7899,0,0
0.9666666666666667,7982,0,0
0.9833333333333333,8064,0,0
0.975,8146,0,0
0.9916666666666667,8227,0,0
0.9916666666666667,8310,0,0
0.9666666666666667,8394,0,0
0.9333333333333333,8477,0,0
0.9833333333333333,8560,0,0
0.9916666666666667,8645,0,0
0.9916666666666667,8723,0,0
0.9416666666666667,8811,0,0
0.9916666666666667,8937,1,0
0.9333333333333333,9038,0,0
0.9833333333333333,9144,0,0
0.9833333333333333,9239,0,0
1.0,9322,0,0
0.9666666666666667,9411,0,0
0.9833333333333333,9516,0,0
0.9333333333333333,9630,0,0
0.9833333333333333,9767,0,0
0.9666666666666667,9898,0,0
0.9833333333333333,9983,0,0
0.9916666666666667,10064,0,0
0.9916666666666667,10146,0,0
1.0,10230,0,0
1.0,10334,0,0
0.9666666666666667,10423,0,0
0.9583333333333334,10572,0,0
0.975,10714,0,0
0.9833333333333333,10815,0,0
0.9916666666666667,10903,0,0
0.9833333333333333,10996,0,0
0.9916666666666667,11086,0,0
0.9583333333333334,11182,0,0
0.9916666666666667,11285,0,0
0.975,11375,0,0
1.0,11457,0,0
0.9583333333333334,11549,0,0
1.0,11636,0,0
1.0,11732,0,0
0.9333333333333333,11825,0,0
0.9833333333333333,11914,0,0
0.9916666666666667,12001,0,0
0.975,12087,0,0
0.975,12183,0,0
0.9083333333333333,12272,0,0
0.9666666666666667,12355,0,0
0.9583333333333334,12450,0,0
1.0,12537,0,0
1.0,12662,1,0
0.9916666666666667,12749,0,0
0.9916666666666667,12843,0,0
0.9833333333333333,12954,0,0
0.975,13045,0,0
0.9833333333333333,13131,0,0
1.0,13221,0,0
0.9833333333333333,13307,0,0
0.9833333333333333,13399,0,0
0.9833333333333333,13485,0,0
1.0,13574,0,0
0.9666666666666667,13659,0,0
0.9666666666666667,13750,0,0
0.9833333333333333,13846,0,0
0.9916666666666667,13931,0,0
0.975,14015,0,0
0.9916666666666667,14129,0,0
0.9666666666666667,14226,0,0
0.9583333333333334,14324,0,0
0.9416666666666667,14418,0,0
0.9583333333333334,14517,0,0
0.975,14667,0,0
0.9833333333333333,14809,0,0
0.9916666666666667,14944,0,0
1.0,15041,0,0
0.9583333333333334,15135,0,0
0.9583333333333334,15233,0,0
0.9583333333333334,15328,0,0
0.975,15427,0,0
0.975,15530,0,0
0.9666666666666667,15628,0,0
0.9833333333333333,15733,0,0
0.9833333333333333,15863,0,0
0.9916666666666667,15973,0,0
0.9916666666666667,16081,0,0
0.9833333333333333,16225,0,0
0.9833333333333333,16342,0,0
0.975,16461,0,0
0.9416666666666667,16597,0,0
0.975,16730,0,0
0.9666666666666667,16884,1,0
0.9666666666666667,16997,0,0
0.9833333333333333,17097,0,0
0.9916666666666667,17192,0,0
0.9666666666666667,17299,0,0
0.9666666666666667,17398,0,0
0.9583333333333334,17510,0,0
1.0,17651,0,0
1.0,17769,0,0
0.9083333333333333,17870,0,0
0.9916666666666667,17968,0,0
0.9916666666666667,18069,0,0
1.0,18172,0,0
0.9666666666666667,18267,0,0
0.9833333333333333,18363,0,0
0.975,18461,0,0
0.9916666666666667,18562,0,0
0.9583333333333334,18657,0,0
0.9583333333333334,18767,0,0
0.95,18877,0,0
0.95,18985,0,0
0.9666666666666667,19091,0,0
0.9833333333333333,19201,0,0
0.9166666666666666,19311,0,0
1.0,19431,0,0
0.9666666666666667,19541,0,0
0.9333333333333333,19679,0,0
0.9583333333333334,19833,0,0
0.9916666666666667,19970,0,0
0.9916666666666667,20081,0,0
0.95,20190,0,0
0.9666666666666667,20298,0,0
0.9833333333333333,20410,0,0
0.9833333333333333,20520,0,0
