refSim, trueSim
0.3333333333333333,1.0,170
0.6666666666666666,1.0,174
1.0,1.0,178
1.0,1.0,183
1.0,1.0,188
1.0,1.0,195
1.0,1.0,204
1.0,1.0,214
1.0,1.0,228
0.8333333333333334,1.0,246
0.7727272727272727,1.0,278
0.9010989010989011,1.0,317
0.9230769230769231,1.0,354
0.7362637362637363,1.0,397
0.8583333333333333,1.0,443
0.8583333333333333,1.0,478
0.85,1.0,511
0.95,1.0,544
0.8166666666666667,1.0,577
0.9,1.0,613
0.9583333333333334,1.0,652
0.9416666666666667,1.0,690
0.85,1.0,725
0.9583333333333334,1.0,767
0.9583333333333334,1.0,808
0.95,1.0,849
0.9583333333333334,1.0,890
0.975,1.0,930
0.9666666666666667,1.0,974
0.9833333333333333,1.0,1016
0.9666666666666667,1.0,1056
1.0,1.0,1099
0.9916666666666667,1.0,1152
0.9666666666666667,1.0,1195
1.0,1.0,1235
0.9583333333333334,1.0,1278
0.95,1.0,1319
0.9833333333333333,1.0,1373
0.9916666666666667,1.0,1425
0.975,1.0,1478
0.9833333333333333,1.0,1528
0.9666666666666667,1.0,1581
0.9583333333333334,1.0,1633
0.9833333333333333,1.0,1684
0.9833333333333333,1.0,1740
0.975,1.0,1795
0.9916666666666667,1.0,1846
0.9833333333333333,1.0,1897
0.9916666666666667,1.0,1953
1.0,1.0,2006
1.0,1.0,2057
0.95,1.0,2110
0.9916666666666667,1.0,2163
0.9583333333333334,1.0,2213
1.0,1.0,2264
1.0,1.0,2315
0.975,1.0,2363
0.9583333333333334,1.0,2415
0.9916666666666667,1.0,2465
0.9916666666666667,1.0,2521
0.9833333333333333,1.0,2604
1.0,1.0,2653
0.9833333333333333,1.0,2704
0.9916666666666667,1.0,2756
0.9583333333333334,1.0,2805
0.9916666666666667,1.0,2858
0.9666666666666667,1.0,2916
0.9833333333333333,1.0,2967
1.0,1.0,3012
1.0,1.0,3063
0.975,1.0,3111
0.9833333333333333,1.0,3160
0.975,1.0,3211
0.9916666666666667,1.0,3265
0.9666666666666667,1.0,3314
0.9916666666666667,1.0,3366
0.9833333333333333,1.0,3417
0.9833333333333333,1.0,3464
0.9666666666666667,1.0,3514
0.9916666666666667,1.0,3563
0.9666666666666667,1.0,3614
1.0,1.0,3666
0.9833333333333333,1.0,3721
1.0,1.0,3777
0.9833333333333333,1.0,3833
1.0,1.0,3887
0.975,1.0,3937
0.975,1.0,3992
0.9833333333333333,1.0,4044
0.9666666666666667,1.0,4101
0.8916666666666667,1.0,4154
1.0,1.0,4216
1.0,1.0,4279
0.9941520467836257,1.0,4343
0.9941520467836257,1.0,4405
1.0,1.0,4471
1.0,1.0,4534
1.0,1.0,4596
1.0,1.0,4662
1.0,1.0,4726
1.0,1.0,4790
1.0,1.0,4850
1.0,1.0,4915
1.0,1.0,4978
1.0,1.0,5053
1.0,1.0,5114
1.0,1.0,5177
1.0,1.0,5239
1.0,1.0,5302
1.0,1.0,5367
1.0,1.0,5430
1.0,1.0,5494
1.0,1.0,5558
1.0,1.0,5620
1.0,1.0,5685
1.0,1.0,5748
1.0,1.0,5813
1.0,1.0,5876
1.0,1.0,5941
1.0,1.0,6004
1.0,1.0,6074
1.0,1.0,6143
0.9883040935672515,1.0,6211
0.9941520467836257,1.0,6283
0.9941520467836257,1.0,6354
0.9941520467836257,1.0,6427
1.0,1.0,6494
0.9941520467836257,1.0,6562
1.0,1.0,6638
0.9824561403508771,1.0,6708
1.0,1.0,6777
1.0,1.0,6851
0.9941520467836257,1.0,6923
0.9941520467836257,1.0,6991
1.0,1.0,7060
1.0,1.0,7128
0.9883040935672515,1.0,7197
1.0,1.0,7267
0.9941520467836257,1.0,7337
0.9941520467836257,1.0,7407
0.9941520467836257,1.0,7473
0.9883040935672515,1.0,7546
1.0,1.0,7621
1.0,1.0,7690
1.0,1.0,7771
1.0,1.0,7840
1.0,1.0,7911
0.9941520467836257,1.0,7979
1.0,1.0,8051
1.0,1.0,8117
0.9883040935672515,1.0,8183
0.9766081871345029,1.0,8252
1.0,1.0,8322
1.0,1.0,8390
1.0,1.0,8461
0.9941520467836257,1.0,8531
1.0,1.0,8602
0.9941520467836257,1.0,8671
0.9941520467836257,1.0,8741
1.0,1.0,8812
1.0,1.0,8883
1.0,1.0,8954
1.0,1.0,9031
1.0,1.0,9109
0.9941520467836257,1.0,9186
0.9941520467836257,1.0,9266
0.9824561403508771,1.0,9345
0.9941520467836257,1.0,9423
0.9941520467836257,1.0,9501
0.9824561403508771,1.0,9574
0.9941520467836257,1.0,9650
0.9766081871345029,1.0,9729
0.9941520467836257,1.0,9806
0.9766081871345029,1.0,9883
0.9824561403508771,1.0,9958
1.0,1.0,10035
0.9941520467836257,1.0,10113
0.9707602339181286,1.0,10187
0.9941520467836257,1.0,10261
0.9824561403508771,1.0,10338
0.9883040935672515,1.0,10416
0.9824561403508771,1.0,10492
0.9766081871345029,1.0,10570
0.9824561403508771,1.0,10644
1.0,1.0,10720
1.0,1.0,10800
0.9883040935672515,1.0,10886
0.9824561403508771,1.0,10961
0.9883040935672515,1.0,11036
1.0,1.0,11114
1.0,1.0,11192
1.0,1.0,11269
0.9883040935672515,1.0,11347
0.9941520467836257,1.0,11428
0.9941520467836257,1.0,11504
0.9941520467836257,1.0,11582
1.0,1.0,11665
0.9532163742690059,1.0,11744
0.9941520467836257,1.0,11823
0.9941520467836257,1.0,11900
0.9941520467836257,1.0,11981
0.9883040935672515,1.0,12062
0.9532163742690059,1.0,12152
1.0,1.0,12231
0.9883040935672515,1.0,12310
0.9064327485380117,1.0,12389
0.9298245614035088,1.0,12465
0.9707602339181286,1.0,12542
0.9415204678362573,1.0,12614
0.9766081871345029,1.0,12692
0.9707602339181286,1.0,12774
0.9707602339181286,1.0,12849
0.9532163742690059,1.0,12925
0.9239766081871345,1.0,12996
0.9590643274853801,1.0,13073
1.0,1.0,13153
0.935672514619883,1.0,13229
0.9766081871345029,1.0,13303
0.9824561403508771,1.0,13387
0.9824561403508771,1.0,13464
0.9707602339181286,1.0,13540
0.9707602339181286,1.0,13616
0.9766081871345029,1.0,13691
0.9473684210526315,1.0,13770
0.9766081871345029,1.0,13847
0.8596491228070176,1.0,13923
0.961038961038961,1.0,14007
0.9783549783549783,1.0,14093
0.9264069264069265,1.0,14191
0.9567099567099567,1.0,14274
0.8787878787878788,1.0,14358
0.9307359307359307,1.0,14442
0.9523809523809523,1.0,14526
0.9004329004329005,1.0,14611
0.935064935064935,1.0,14695
0.9437229437229437,1.0,14781
0.9523809523809523,1.0,14866
0.9437229437229437,1.0,14961
0.948051948051948,1.0,15044
0.987012987012987,1.0,15129
0.8744588744588745,1.0,15212
0.9307359307359307,1.0,15298
0.948051948051948,1.0,15380
0.9177489177489178,1.0,15461
0.9437229437229437,1.0,15547
0.8961038961038961,1.0,15628
0.8787878787878788,1.0,15710
0.8831168831168831,1.0,15796
0.9307359307359307,1.0,15881
0.9783549783549783,1.0,15968
0.9264069264069265,1.0,16052
0.9523809523809523,1.0,16136
0.9783549783549783,1.0,16221
0.9653679653679653,1.0,16307
0.9264069264069265,1.0,16391
0.9437229437229437,1.0,16476
0.8614718614718615,1.0,16558
0.935064935064935,1.0,16643
0.9393939393939394,1.0,16725
0.9264069264069265,1.0,16812
0.9134199134199135,1.0,16896
0.9567099567099567,1.0,16982
0.9653679653679653,1.0,17067
0.9653679653679653,1.0,17153
0.948051948051948,1.0,17238
0.922077922077922,1.0,17320
0.935064935064935,1.0,17401
0.9437229437229437,1.0,17484
0.974025974025974,1.0,17568
0.961038961038961,1.0,17653
0.948051948051948,1.0,17740
0.961038961038961,1.0,17822
0.961038961038961,1.0,17907
0.8354978354978355,1.0,17988
0.9004329004329005,1.0,18070
0.935064935064935,1.0,18149
0.922077922077922,1.0,18231
0.9134199134199135,1.0,18312
0.948051948051948,1.0,18395
0.8961038961038961,1.0,18474
0.961038961038961,1.0,18556
0.9134199134199135,1.0,18637
0.9047619047619048,1.0,18718
0.9134199134199135,1.0,18797
0.9783549783549783,1.0,18886
0.9307359307359307,1.0,18969
0.9437229437229437,1.0,19052
0.9653679653679653,1.0,19140
0.9523809523809523,1.0,19225
0.9134199134199135,1.0,19316
0.9134199134199135,1.0,19404
0.9523809523809523,1.0,19495
0.9047619047619048,1.0,19581
0.9523809523809523,1.0,19673
0.9696969696969697,1.0,19768
0.8831168831168831,1.0,19856
0.9130434782608695,1.0,19950
0.8656126482213439,1.0,20047
0.8932806324110671,1.0,20137
0.8893280632411067,1.0,20228
0.9090909090909091,1.0,20321
0.9011857707509882,1.0,20416
0.9051383399209486,1.0,20510
0.9762845849802372,1.0,20607
0.9169960474308301,1.0,20702
0.9051383399209486,1.0,20798
0.8656126482213439,1.0,20893
0.9288537549407114,1.0,20989
0.8023715415019763,1.0,21080
0.8814229249011858,1.0,21175
0.849802371541502,1.0,21269
0.8853754940711462,1.0,21365
0.9367588932806324,1.0,21475
0.9011857707509882,1.0,21574
0.83399209486166,1.0,21668
0.9644268774703557,1.0,21771
0.8972332015810277,1.0,21866
0.9288537549407114,1.0,21962
0.9644268774703557,1.0,22059
0.924901185770751,1.0,22156
0.857707509881423,1.0,22252
0.8735177865612648,1.0,22349
0.8774703557312253,1.0,22446
0.9525691699604744,1.0,22544
0.8893280632411067,1.0,22638
0.924901185770751,1.0,22734
0.8181818181818182,1.0,22824
0.8537549407114624,1.0,22917
0.9130434782608695,1.0,23012
0.932806324110672,1.0,23108
0.8458498023715415,1.0,23202
0.9169960474308301,1.0,23296
0.8814229249011858,1.0,23389
0.9051383399209486,1.0,23483
0.8656126482213439,1.0,23577
0.8181818181818182,1.0,23668
0.9367588932806324,1.0,23764
0.83399209486166,1.0,23855
0.8774703557312253,1.0,23948
0.8814229249011858,1.0,24043
0.9011857707509882,1.0,24134
0.83399209486166,1.0,24227
0.8616600790513834,1.0,24319
0.8774703557312253,1.0,24413
0.9011857707509882,1.0,24506
0.8932806324110671,1.0,24599
0.8379446640316206,1.0,24691
0.8932806324110671,1.0,24783
0.8616600790513834,1.0,24877
0.9525691699604744,1.0,24972
0.9130434782608695,1.0,25066
0.9446640316205533,1.0,25160
0.932806324110672,1.0,25257
0.924901185770751,1.0,25353
0.9051383399209486,1.0,25447
0.9011857707509882,1.0,25549
0.8102766798418972,1.0,25643
0.822463768115942,1.0,25740
0.822463768115942,1.0,25836
0.8804347826086957,1.0,25944
0.8405797101449275,1.0,26042
0.8478260869565217,1.0,26140
0.7717391304347826,1.0,26235
0.8405797101449275,1.0,26330
0.7934782608695652,1.0,26432
0.8152173913043478,1.0,26531
0.8152173913043478,1.0,26627
0.9021739130434783,1.0,26726
0.8152173913043478,1.0,26822
