Correspondence, Time, Drift
0.3333333333333333,170,1,1
0.6666666666666666,174,0,1
1.0,179,0,0
1.0,184,0,0
1.0,189,0,0
1.0,198,0,0
1.0,207,0,0
1.0,218,0,0
1.0,232,0,0
1.0,253,0,0
0.8333333333333334,278,0,0
0.8333333333333334,308,0,0
0.8333333333333334,339,0,0
0.6666666666666666,375,0,1
0.7833333333333333,430,0,0
0.8416666666666667,485,0,0
0.8,530,0,0
0.85,574,0,0
0.8916666666666667,610,0,0
0.8916666666666667,646,0,0
0.9,685,0,0
0.8916666666666667,725,0,0
0.875,766,0,0
0.925,806,0,0
0.925,846,0,0
0.8583333333333333,885,0,0
0.9333333333333333,924,0,0
0.9416666666666667,964,0,0
0.8666666666666667,1004,0,0
0.8916666666666667,1043,0,0
0.9416666666666667,1082,0,0
0.9333333333333333,1123,0,0
0.8916666666666667,1182,1,0
0.9166666666666666,1222,0,0
0.9333333333333333,1262,0,0
0.875,1300,0,0
0.8416666666666667,1340,0,0
0.9,1390,0,0
0.9166666666666666,1440,0,0
0.8833333333333333,1492,0,0
0.8583333333333333,1540,0,0
0.9166666666666666,1590,0,0
0.8666666666666667,1642,0,0
0.825,1692,0,0
0.8583333333333333,1743,0,0
0.9166666666666666,1794,0,0
0.825,1845,0,0
0.975,1894,0,0
0.9666666666666667,1944,0,0
0.8583333333333333,1994,0,0
0.95,2041,0,0
0.9583333333333334,2091,0,0
0.9166666666666666,2142,0,0
0.8916666666666667,2193,0,0
0.9833333333333333,2245,0,0
0.8833333333333333,2293,0,0
0.8333333333333334,2342,0,0
0.8666666666666667,2389,0,0
0.925,2434,0,0
0.9,2482,0,0
0.9416666666666667,2532,0,0
0.8583333333333333,2578,0,0
0.875,2627,0,0
0.95,2675,0,0
0.8916666666666667,2722,0,0
0.875,2769,0,0
0.8916666666666667,2826,1,0
0.8583333333333333,2875,0,0
0.7916666666666666,2924,0,0
0.9583333333333334,2974,0,0
0.9083333333333333,3023,0,0
0.85,3070,0,0
0.9083333333333333,3117,0,0
0.9333333333333333,3165,0,0
0.875,3214,0,0
0.825,3263,0,0
0.9333333333333333,3314,0,0
0.8666666666666667,3368,0,0
0.875,3418,0,0
0.9583333333333334,3466,0,0
0.8833333333333333,3516,0,0
0.975,3565,0,0
0.9666666666666667,3619,0,0
0.9,3671,0,0
0.9333333333333333,3722,0,0
0.8916666666666667,3775,0,0
0.8583333333333333,3827,0,0
0.9083333333333333,3880,0,0
0.9,3931,0,0
0.85,3985,0,0
0.8583333333333333,4036,0,0
0.8833333333333333,4088,0,0
0.9083333333333333,4139,0,0
0.875,4193,0,0
0.9416666666666667,4245,0,0
0.8166666666666667,4297,0,0
0.8083333333333333,4349,0,0
0.9,4401,0,0
0.9,4454,0,0
0.9333333333333333,4506,0,0
0.9666666666666667,4560,0,0
0.8916666666666667,4612,0,0
0.8166666666666667,4665,0,0
0.9166666666666666,4716,0,0
0.8833333333333333,4775,1,0
0.9416666666666667,4825,0,0
0.9083333333333333,4877,0,0
0.8666666666666667,4933,0,0
0.9666666666666667,4984,0,0
0.85,5039,0,0
0.8333333333333334,5090,0,0
0.9166666666666666,5142,0,0
0.9333333333333333,5192,0,0
0.9166666666666666,5246,0,0
0.85,5298,0,0
0.9,5351,0,0
0.825,5400,0,0
0.9,5449,0,0
