maxTraces,traceSize,observed,change_detected,sigDiff,GEDWRef,GEDWTrue
10,10,2,true,0.9,-0.01043478260869568,-0.01043478260869568
10,10,4,true,0.9,0.6233333333333333,0.07374999999999998
10,10,6,false,0.9,1.0,0.07374999999999998
10,10,8,true,0.9,0.8,0.15079999999999993
10,10,10,true,0.9,0.8385714285714285,0.2269230769230769
10,10,12,false,0.9,1.0,0.2269230769230769
10,10,14,false,0.9,1.0,0.2269230769230769
10,10,16,false,0.9,1.0,0.2269230769230769
10,10,18,false,0.9,1.0,0.2269230769230769
10,10,20,true,0.9,0.8822222222222222,0.29481481481481486
10,10,22,true,0.9,0.8918181818181818,0.34892857142857137
10,10,24,false,0.9,1.0,0.34892857142857137
10,10,26,false,0.9,0.9084615384615384,0.4075862068965518
10,10,28,false,0.9,0.9084615384615384,0.4075862068965518
10,10,30,true,0.9,0.8884615384615384,0.403448275862069
10,10,32,false,0.9,0.9333333333333333,0.45666666666666667
10,10,34,true,0.9,0.808235294117647,0.5449999999999999
10,10,36,false,0.9,0.9461904761904762,0.5851515151515151
10,10,38,false,0.9,0.9461904761904762,0.5851515151515151
10,10,40,true,0.9,0.8972727272727272,0.5676470588235294
10,10,42,false,0.9,0.9945833333333334,0.5638235294117647
10,10,44,false,0.9,0.9496,0.6085714285714285
10,10,46,false,0.9,0.9472,0.6068571428571429
10,10,48,false,0.9,0.9011538461538462,0.6491666666666667
10,10,50,false,0.9,0.9011538461538462,0.6491666666666667
10,10,52,false,0.9,0.9034615384615384,0.6436111111111111
10,10,54,true,0.9,0.8651851851851852,0.6799999999999999
10,10,56,false,0.9,0.9551612903225807,0.7181578947368421
10,10,58,false,0.9,0.9532258064516129,0.716578947368421
10,10,60,false,0.9,0.9153125,0.7464102564102564
10,10,62,false,0.9,0.9090625,0.7546153846153846
10,10,64,false,0.9,0.909375,0.7543589743589744
10,10,66,false,0.9,0.9071875,0.7525641025641026
10,10,68,false,0.9,0.906875,0.7492307692307691
10,10,70,true,0.9,0.8715151515151516,0.7935
10,10,72,false,0.9,0.9980555555555556,0.79175
10,10,74,false,0.9,0.9908333333333333,0.80175
10,10,76,false,0.9,0.9891666666666666,0.79975
10,10,78,false,0.9,0.9833333333333333,0.8015
10,10,80,false,0.9,0.9852777777777778,0.80325
10,10,82,false,0.9,0.9797222222222223,0.79525
10,10,84,false,0.9,0.9741666666666666,0.79725
10,10,86,false,0.9,0.9725,0.79575
10,10,88,false,0.9,0.9638888888888889,0.7875
10,10,90,false,0.9,0.9636111111111111,0.79075
10,10,92,false,0.9,0.9636111111111111,0.79075
10,10,94,false,0.9,0.9636111111111111,0.79075
10,10,96,false,0.9,0.96,0.7875
10,10,98,false,0.9,0.96,0.7875
10,10,100,false,0.9,0.9622222222222222,0.789
10,10,102,false,0.9,0.9622222222222222,0.789
10,10,104,false,0.9,0.9566666666666667,0.7905
10,10,106,false,0.9,0.9566666666666667,0.7905
10,10,108,false,0.9,0.9097368421052632,0.8511904761904762
10,10,110,false,0.9,0.9094736842105263,0.8480952380952381
10,10,112,false,0.9,0.9060526315789473,0.8483333333333334
10,10,114,false,0.9,0.9076315789473685,0.8497619047619047
10,10,116,false,0.9,0.9076315789473685,0.8497619047619047
10,10,118,false,0.9,0.9110526315789473,0.8495238095238096
10,10,120,false,0.9,0.9163157894736842,0.8509523809523809
10,10,122,false,0.9,0.9163157894736842,0.8509523809523809
10,10,124,true,0.9,0.8928205128205128,0.8776744186046512
10,10,126,false,0.9,0.996904761904762,0.8746511627906977
10,10,128,false,0.9,0.9954761904761905,0.876046511627907
10,10,130,false,0.9,0.9954761904761905,0.876046511627907
10,10,132,false,0.9,0.9938095238095238,0.8716279069767442
10,10,134,false,0.9,0.9938095238095238,0.8716279069767442
10,10,136,false,0.9,0.9938095238095238,0.8716279069767442
10,10,138,false,0.9,0.9923809523809524,0.8730232558139535
10,10,140,false,0.9,0.9923809523809524,0.8730232558139535
10,10,142,false,0.9,0.9923809523809524,0.8730232558139535
10,10,144,false,0.9,0.9923809523809524,0.8730232558139535
10,10,146,false,0.9,0.9923809523809524,0.8730232558139535
10,10,148,false,0.9,0.9938095238095238,0.8744186046511628
10,10,150,false,0.9,0.9938095238095238,0.8744186046511628
10,10,152,false,0.9,0.9938095238095238,0.8744186046511628
10,10,154,false,0.9,0.9938095238095238,0.8744186046511628
10,10,156,false,0.9,0.9938095238095238,0.8744186046511628
10,10,158,false,0.9,0.9938095238095238,0.8744186046511628
10,10,160,false,0.9,0.9938095238095238,0.8744186046511628
10,10,162,false,0.9,0.9938095238095238,0.8744186046511628
10,10,164,false,0.9,0.9938095238095238,0.8744186046511628
10,10,166,false,0.9,0.9938095238095238,0.8744186046511628
10,10,168,false,0.9,0.9938095238095238,0.8744186046511628
