maxTraces,traceSize,observed,change_detected,sigDiff,GEDWRef,GEDWTrue
5,5,5,true,0.9,0.11499999999999999,0.11499999999999999
5,5,10,true,0.9,0.76,0.19761904761904758
5,5,15,true,0.9,0.73,0.3122222222222223
5,5,20,true,0.9,0.8,0.4135416666666667
5,5,25,true,0.9,0.8826923076923077,0.474
5,5,30,true,0.9,0.8548387096774194,0.560377358490566
5,5,35,false,0.9,0.9138888888888889,0.610909090909091
5,5,40,true,0.9,0.8394736842105264,0.6596491228070176
5,5,45,false,0.9,0.9785714285714285,0.6614035087719299
5,5,50,false,0.9,0.9383720930232559,0.6956896551724139
5,5,55,false,0.9,0.9174418604651162,0.6836206896551724
5,5,60,false,0.9,0.9337209302325582,0.6836206896551724
5,5,65,false,0.9,0.9034090909090909,0.7042372881355932
5,5,70,true,0.9,0.8608695652173913,0.7442622950819673
5,5,75,false,0.9,0.987,0.7483606557377049
5,5,80,false,0.9,0.977,0.7565573770491804
5,5,85,false,0.9,0.978,0.7573770491803279
5,5,90,false,0.9,0.975,0.7598360655737705
5,5,95,false,0.9,0.974,0.760655737704918
5,5,100,false,0.9,0.978,0.7573770491803279
