sep=,
model,mutations,GED, CNE, Jaccard, W-GED, LCS
Process113,1,0.9759036144578314,0.9759036144578314,0.9736887254901962,0.9895104895104895,0.0
Process113,1,0.9090909090909091,0.9090909090909091,0.7613333333333334,0.978450487429451,0.0
Process113,1,0.9580838323353293,0.9580838323353293,0.96421504127967,0.984992496248124,0.0
Process113,1,0.9333333333333333,0.9333333333333333,0.954434523809524,0.978894472361809,0.0
Process113,1,0.9333333333333333,0.9333333333333333,0.954434523809524,0.978894472361809,0.0
Process113,1,0.9876543209876543,0.9876543209876543,0.9810780141843972,0.9923547400611621,0.0
Process113,1,0.9696969696969697,0.9696969696969697,0.9706250000000001,0.9879939969984992,0.0
Process113,1,0.9938650306748467,0.9938650306748467,0.9953333333333334,0.9984863773965691,0.0
Process113,1,0.9938650306748467,0.9938650306748467,0.9964705882352942,0.9984863773965691,0.0
Process113,1,0.9939393939393939,0.9939393939393939,0.9966666666666668,0.9984886649874055,0.0
Process113,1,0.9938650306748467,0.9938650306748467,0.9953333333333334,0.9984863773965691,0.0
Process113,1,0.9146341463414634,0.9146341463414634,0.9562566844919786,0.9786150712830958,0.0
Process113,1,1.0,1.0,1.0,1.0,0.0
Process113,1,0.9939393939393939,0.9939393939393939,0.9566666666666668,0.9984886649874055,0.0
Process113,1,0.9876543209876543,0.9876543209876543,0.9810780141843972,0.9923547400611621,0.0
Process113,1,0.9938650306748467,0.9938650306748467,0.9953333333333334,0.9984863773965691,0.0
Process113,1,0.9938650306748467,0.9938650306748467,0.93,0.9984863773965691,0.0
Process113,1,0.9939393939393939,0.9939393939393939,0.9860416666666667,0.9940149625935162,0.0
Process113,1,0.9580838323353293,0.9580838323353293,0.96421504127967,0.984992496248124,0.0
Process113,1,0.9696969696969697,0.9696969696969697,0.9706250000000001,0.9879939969984992,0.0
Process113,1,0.9404761904761905,0.9404761904761905,0.8667150412796698,0.9804609218436874,0.0
Process113,1,0.975,0.975,0.9125486024196914,0.9892638036809815,0.0
Process113,1,0.9938650306748467,0.9938650306748467,0.9964705882352942,0.9984863773965691,0.0
Process113,1,0.9620253164556962,0.9620253164556962,0.9669603671255738,0.9861538461538462,0.0
