sep=,
model,mutations,GED, CNE, Jaccard, W-GED, LCS
Process101,1,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9978902953586498,0.6700000000000002
Process101,1,0.9391304347826087,0.9391304347826087,0.9479150197628459,0.975103734439834,0.6799999999999999
Process101,1,0.9473684210526316,0.9473684210526315,0.9770454545454546,0.9872881355932204,0.6699999999999999
Process101,1,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9978902953586498,0.79
Process101,1,0.9911504424778761,0.9911504424778761,0.9971428571428572,0.9978902953586498,0.6700000000000002
Process101,1,0.9217391304347826,0.9217391304347826,0.9429347826086958,0.9708939708939709,0.6649999999999999
Process101,1,0.9401709401709402,0.9401709401709402,0.9499184782608696,0.9751552795031055,0.69
Process101,1,0.972972972972973,0.972972972972973,0.9616883116883117,0.9827213822894169,0.71
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9876288659793815,0.72
Process101,1,0.9401709401709402,0.9401709401709402,0.9499184782608696,0.9751552795031055,0.7400000000000001
Process101,1,0.8596491228070176,0.8596491228070176,0.9522171945701359,0.9657387580299786,0.75
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9876288659793815,0.645
Process101,1,0.9821428571428571,0.9821428571428571,0.9645454545454546,0.9849137931034483,0.675
Process101,1,0.9565217391304348,0.9565217391304348,0.9604347826086957,0.979296066252588,0.675
Process101,1,0.9655172413793104,0.9655172413793104,0.9630434782608697,0.981404958677686,0.715
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9876288659793815,0.675
Process101,1,0.9911504424778761,0.9911504424778761,0.9971428571428572,0.9978902953586498,0.76
Process101,1,0.9911504424778761,0.9911504424778761,0.9971428571428572,0.9978902953586498,0.675
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9876288659793815,0.715
Process101,1,1.0,1.0,1.0,1.0,0.695
Process101,1,0.9217391304347826,0.9217391304347826,0.946536231884058,0.9708939708939709,0.77
Process101,1,0.9217391304347826,0.9217391304347826,0.9429347826086958,0.9708939708939709,0.6950000000000001
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9876288659793815,0.6500000000000001
Process101,1,0.9401709401709402,0.9401709401709402,0.9499184782608696,0.9751552795031055,0.7249999999999999
Process101,1,1.0,1.0,1.0,1.0,0.7800000000000001
Process101,1,0.9911504424778761,0.9911504424778761,0.9971428571428572,0.9978902953586498,0.73
Process101,1,1.0,1.0,1.0,1.0,0.7250000000000001
Process101,1,0.9655172413793104,0.9655172413793104,0.9577445652173914,0.981404958677686,0.7150000000000001
Process101,1,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9978902953586498,0.75
Process101,1,0.8596491228070176,0.8596491228070176,0.9522171945701359,0.9657387580299786,0.6699999999999999
Process101,1,0.9541284403669725,0.9541284403669725,0.9538311688311688,0.9783080260303688,0.56
Process101,1,0.8771929824561404,0.8771929824561403,0.9594230769230769,0.9700854700854701,0.605
Process101,1,0.972972972972973,0.972972972972973,0.9616883116883117,0.9827213822894169,0.71
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9876288659793815,0.69
Process101,1,0.9473684210526316,0.9473684210526315,0.9770454545454546,0.9872881355932204,0.6400000000000001
Process101,1,0.9911504424778761,0.9911504424778761,0.9695454545454545,0.9870967741935484,0.7150000000000001
Process101,1,0.9107142857142857,0.9107142857142857,0.9668478260869566,0.9786780383795309,0.6849999999999999
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9876288659793815,0.74
Process101,1,0.9122807017543859,0.9122807017543859,0.9675,0.9787234042553191,0.705
