sep=,
model,mutations,GED, CNE, Jaccard, W-GED, LCS
Process101,1,0.8771929824561404,0.8771929824561403,0.953888888888889,0.9564315352697096,0.6399999999999999
Process101,1,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9969450101832994,0.7250000000000001
Process101,1,0.8771929824561404,0.8771929824561403,0.9560941176470589,0.9564315352697096,0.7250000000000001
Process101,1,0.9655172413793104,0.9655172413793104,0.9577445652173914,0.9790419161676647,0.6974999999999998
Process101,1,0.9473684210526316,0.9473684210526315,0.9850000000000001,0.9815573770491803,0.7650000000000001
Process101,1,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9969450101832994,0.6824999999999999
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9880597014925373,0.7775000000000001
Process101,1,0.9642857142857143,0.9642857142857143,0.9890909090909091,0.9877049180327869,0.6925
Process101,1,0.9655172413793104,0.9655172413793104,0.9577445652173914,0.9790419161676647,0.72
Process101,1,0.7719298245614035,0.7719298245614035,0.9328888888888889,0.9175475687103594,0.6474999999999999
Process101,1,0.9217391304347826,0.9217391304347826,0.9429347826086958,0.9637462235649547,0.7275
Process101,1,0.991304347826087,0.991304347826087,0.9972727272727273,0.9969543147208122,0.7350000000000001
Process101,1,0.9649122807017544,0.9649122807017544,0.9852121212121213,0.9877425944841676,0.7075
Process101,1,0.9655172413793104,0.9655172413793104,0.9577445652173914,0.9790419161676647,0.6799999999999999
Process101,1,0.9821428571428571,0.9821428571428571,0.9645454545454546,0.9844074844074844,0.7125000000000001
Process101,1,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9969450101832994,0.6049999999999998
Process101,1,0.8596491228070176,0.8596491228070176,0.9496888888888889,0.9500520291363164,0.685
Process101,1,0.9565217391304348,0.9565217391304348,0.9560816864295126,0.975975975975976,0.7800000000000001
Process101,1,0.9911504424778761,0.9911504424778761,0.9971428571428572,0.9969450101832994,0.7475
Process101,1,0.9911504424778761,0.9911504424778761,0.9695454545454545,0.9875647668393782,0.7375
Process101,1,0.9636363636363636,0.9636363636363636,0.9588311688311688,0.9780334728033473,0.7625000000000002
Process101,1,0.9642857142857143,0.9642857142857143,0.9890909090909091,0.9877049180327869,0.7600000000000001
Process101,1,0.9217391304347826,0.9217391304347826,0.9429347826086958,0.9637462235649547,0.695
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9880597014925373,0.6749999999999998
Process101,1,0.9911504424778761,0.9911504424778761,0.9950000000000001,0.9969450101832994,0.6849999999999999
Process101,1,0.991304347826087,0.991304347826087,0.8700000000000001,0.9969543147208122,0.7775000000000001
Process101,1,0.9911504424778761,0.9911504424778761,0.9971428571428572,0.9969450101832994,0.7225000000000001
Process101,1,0.991304347826087,0.991304347826087,0.9953333333333334,0.9969543147208122,0.7425
Process101,1,0.9401709401709402,0.9401709401709402,0.9499184782608696,0.96996996996997,0.77
Process101,1,0.9401709401709402,0.9401709401709402,0.9499184782608696,0.96996996996997,0.735
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9880597014925373,0.7450000000000001
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9880597014925373,0.7324999999999999
Process101,1,0.991304347826087,0.991304347826087,0.9708695652173913,0.9880597014925373,0.7600000000000001
Process101,2,0.9217391304347826,0.9217391304347826,0.9020652173913044,0.9722507708119219,0.74
Process101,2,0.8771929824561404,0.8771929824561403,0.9270460358056267,0.9481707317073171,0.6275000000000002
Process101,2,0.9655172413793104,0.9655172413793104,0.9577445652173914,0.9790419161676647,0.7175
Process101,2,0.9217391304347826,0.9217391304347826,0.946536231884058,0.9637462235649547,0.7324999999999999
Process101,2,0.9655172413793104,0.9655172413793104,0.9348333333333333,0.9706457925636007,0.7175
Process101,2,0.9310344827586207,0.9310344827586207,0.9473097826086957,0.9668674698795181,0.685
Process101,2,0.8421052631578947,0.8421052631578947,0.9486274509803923,0.9436325678496869,0.675
Process101,2,0.8518518518518519,0.8518518518518519,0.9198523599162985,0.9390374331550803,0.6249999999999998
Process101,2,0.9482758620689655,0.9482758620689655,0.8860816864295126,0.972972972972973,0.7275
Process101,2,0.9322033898305084,0.9322033898305084,0.9232155797101449,0.9587831207065751,0.7049999999999998
Process101,2,0.9565217391304348,0.9565217391304348,0.9560816864295126,0.975975975975976,0.7325000000000002
Process101,2,0.9217391304347826,0.9217391304347826,0.9407091374099048,0.9637462235649547,0.6474999999999997
Process101,2,0.9636363636363636,0.9636363636363636,0.9588311688311688,0.9780334728033473,0.595
Process101,2,0.9122807017543859,0.9122807017543859,0.9385597826086958,0.9606060606060606,0.5924999999999998
Process101,2,0.907563025210084,0.907563025210084,0.9166416666666667,0.9498031496062992,0.7250000000000001
Process101,2,0.8347826086956522,0.8347826086956521,0.9148274599542334,0.9325153374233128,0.6574999999999999
Process101,2,0.9572649572649573,0.9572649572649573,0.8277445652173914,0.9760479041916168,0.6950000000000001
Process101,2,0.9322033898305084,0.9322033898305084,0.9477445652173914,0.9669669669669669,0.5025
Process101,2,0.8695652173913043,0.8695652173913043,0.9302926421404683,0.9451219512195121,0.7175
Process101,2,0.9824561403508771,0.9824561403508771,0.865,0.9938900203665988,0.7024999999999999
Process101,2,0.9401709401709402,0.9401709401709402,0.9499184782608696,0.96996996996997,0.6624999999999999
Process101,2,0.9572649572649573,0.9572649572649573,0.9310416666666667,0.9677103718199609,0.7
Process101,2,0.972972972972973,0.972972972972973,0.9616883116883117,0.9812304483837331,0.73
Process101,2,0.9401709401709402,0.9401709401709402,0.9499184782608696,0.96996996996997,0.7250000000000001
Process101,2,0.9824561403508771,0.9824561403508771,0.9680124223602485,0.9850299401197605,0.7375
Process101,2,0.9565217391304348,0.9565217391304348,0.9286141304347827,0.9663951120162932,0.69
Process101,2,0.8771929824561404,0.8771929824561403,0.9020332480818416,0.937952430196484,0.7025
Process101,2,0.991304347826087,0.991304347826087,0.9708695652173913,0.9880597014925373,0.7025000000000001
Process101,2,0.9827586206896551,0.9827586206896551,0.9008695652173914,0.9850746268656716,0.6975000000000002
Process101,2,0.9026548672566371,0.9026548672566371,0.9650000000000001,0.9658738366080661,0.6149999999999999
Process101,2,0.8347826086956522,0.8347826086956521,0.9166815310293572,0.9325153374233128,0.575
Process101,2,0.9649122807017544,0.9649122807017544,0.9604150197628459,0.978978978978979,0.7475
Process101,2,0.8547008547008547,0.8547008547008547,0.8986915535444947,0.9312749003984064,0.7150000000000001
Process101,3,0.8793103448275862,0.8793103448275862,0.9026207729468598,0.9404170804369414,0.4799999999999998
Process101,3,0.9230769230769231,0.9230769230769231,0.920606884057971,0.9557086614173228,0.74
Process101,3,0.905982905982906,0.905982905982906,0.9131436487638533,0.9496544916090819,0.7375
Process101,3,0.9203539823008849,0.9203539823008849,0.8930357142857144,0.945619335347432,0.6699999999999999
Process101,3,0.9230769230769231,0.9230769230769231,0.8755434782608696,0.963855421686747,0.6575
Process101,3,0.6440677966101696,0.6440677966101694,0.8523217468805704,0.8512396694214877,0.6424999999999998
Process101,3,0.8793103448275862,0.8793103448275862,0.9044607843137256,0.9404170804369414,0.6375
Process101,3,0.8760330578512396,0.8760330578512396,0.8818666666666667,0.9303000968054211,0.7024999999999999
Process101,3,0.9734513274336283,0.9734513274336283,0.9367391304347827,0.9725050916496945,0.6950000000000001
Process101,3,0.9827586206896551,0.9827586206896551,0.9441666666666666,0.9765853658536585,0.73
Process101,3,0.9243697478991597,0.9243697478991597,0.7932155797101449,0.9558390578999019,0.7675000000000001
Process101,3,0.8547008547008547,0.8547008547008547,0.8756941176470588,0.923828125,0.6399999999999999
Process101,3,0.9565217391304348,0.9565217391304348,0.9286141304347827,0.9663951120162932,0.7174999999999999
Process101,3,0.9243697478991597,0.9243697478991597,0.8986489130434783,0.9480269489894129,0.7325000000000002
Process101,3,0.896551724137931,0.896551724137931,0.9105349531116795,0.9465346534653465,0.6950000000000001
Process101,3,0.9298245614035088,0.9298245614035088,0.9484927536231885,0.9667673716012084,0.7350000000000001
Process101,3,0.8067226890756303,0.8067226890756303,0.8679772819472618,0.9056974459724951,0.7125000000000001
Process101,3,0.8103448275862069,0.8103448275862069,0.8842476383265857,0.9155778894472362,0.5774999999999999
Process101,3,0.8717948717948718,0.8717948717948718,0.9019444444444444,0.9374379344587884,0.6975
Process101,3,0.9217391304347826,0.9217391304347826,0.9164130434782609,0.9538934426229508,0.5899999999999999
Process101,3,0.954954954954955,0.954954954954955,0.904751552795031,0.9562043795620438,0.5225
Process101,3,0.9217391304347826,0.9217391304347826,0.918179347826087,0.9538934426229508,0.7649999999999999
Process101,3,0.8947368421052632,0.8947368421052632,0.8907416879795397,0.9627714581178903,0.6950000000000001
Process101,3,0.9739130434782609,0.9739130434782609,0.9631422924901186,0.9820359281437125,0.7024999999999999
Process101,3,0.7521367521367521,0.7521367521367521,0.8965017491254373,0.9006211180124224,0.5374999999999999
Process101,3,0.9345794392523364,0.9345794392523364,0.9205194805194805,0.9580645161290322,0.585
